object,lower_open_hours,upper_closed_hours,count,rms_m,max_m,median_m,p95_m
G05,0.0,0.25,3,0.3730707082726101,0.385513801654425,0.3726048557671541,0.3842229070656979
G05,0.25,1.0,9,0.4578815493050724,0.5179231933062007,0.4548429413127427,0.5113396785978882
G05,1.0,6.0,60,0.8875762792937684,0.9959645218627122,0.9435338554738968,0.9943164115750113
G05,6.0,12.0,72,1.256147549398238,1.7186020416604664,1.179659245825619,1.6570941450328671
G05,12.0,24.0,144,2.11458666201702,3.0718084989178207,2.0148435008244325,2.798783724535555
G05,24.0,48.0,288,5.596705261875739,8.168608793413297,5.78913354613019,7.313437846356141
G05,48.0,72.0,288,11.917342920717385,15.71892981370917,12.205613504323935,14.459916230391567
G05,72.0,168.0,1152,43.29858682387282,71.79958488701931,38.5398418641181,66.20812653014622
C03,0.0,0.25,3,3.0216520442722645,3.0255993921147284,3.021603268034069,3.0251997797066625
C03,0.25,1.0,9,2.9890777566453783,3.0131940697586503,2.9900322101002716,3.011098532022935
C03,1.0,6.0,60,2.7523471703472286,2.954044966310808,2.7074646829554547,2.9292020823972456
C03,6.0,12.0,72,2.8089551465997817,2.8998504068778166,2.826847620376074,2.898415962269653
C03,12.0,24.0,144,3.7832073497163354,4.654148101348493,3.8492646853352985,4.643622022650856
C03,24.0,48.0,288,4.188776314043871,5.658216373725802,3.9694554447278283,5.623423888396382
C03,48.0,72.0,288,5.198084560830111,7.022129672387909,5.0089123564476115,6.965201194111761
C03,72.0,168.0,577,62237.3882272497,100604.17371492105,64797.31107464765,93231.02859207094
C06,0.0,0.25,3,1.1045255147361872,1.1192667705291626,1.1042504076355186,1.117765134239798
C06,0.25,1.0,9,1.1913315915640836,1.2459161062344466,1.1915556441873028,1.2407188606232267
C06,1.0,6.0,60,1.3318301845381775,1.4314133938885303,1.3574583476643234,1.429858741906833
C06,6.0,12.0,72,0.9705774353365905,1.26512622778731,0.9308113478771827,1.2269677821016451
C06,12.0,24.0,144,1.2997793759849705,2.107834964016492,1.2911148967859036,1.9165809043818833
C06,24.0,48.0,288,1.858231214238771,2.913323868211163,1.8494334618136041,2.441181295453232
C06,48.0,72.0,288,2.5096100629623166,3.743288850543958,2.4498455931342993,3.431868286887305
C06,72.0,168.0,1152,4.306619501503897,7.628694796156033,3.9410811003577066,6.626295966641735
CHANDRA,0.0,0.25,3,0.12867195246554897,0.12907520987507032,0.12860559533320098,0.1290282484208834
CHANDRA,0.25,1.0,9,0.13118649307563462,0.1328485352180361,0.13113972606590213,0.13265494027276215
CHANDRA,1.0,6.0,60,0.14522552542213307,0.1569060928700736,0.1450539571331183,0.15566700683321677
CHANDRA,6.0,12.0,72,0.17267963961982535,0.18876422461538725,0.17215238302966326,0.18696442449537307
CHANDRA,12.0,24.0,144,0.23628956878050028,0.289813080890197,0.2317991773829289,0.2834402073610181
CHANDRA,24.0,48.0,288,0.6629750895974869,4.524090585016147,0.3300240395872055,0.5234550299785072
CHANDRA,48.0,72.0,288,0.36255798827698543,0.5847548738970678,0.30782746900467417,0.5507077959557894
CHANDRA,72.0,168.0,1152,2719.415280575534,5663.182315034143,2546.7070064145046,4773.172092124145
