object,lower_open_hours,upper_closed_hours,count,rms_m,max_m,median_m,p95_m
G05,0.0,0.25,3,20.704394315198165,21.742452669430822,20.67374529290547,21.635581931778287
G05,0.25,1.0,9,27.946418596725533,32.98045648195486,27.639152166124614,32.42688448937412
G05,1.0,6.0,60,83.39047036857535,114.99216052104093,82.4500649272036,113.08171617928001
G05,6.0,12.0,72,125.63143327331183,143.89974042957718,122.9830203927219,139.8786616983711
G05,12.0,24.0,144,228.95793823687922,285.33028943154795,245.54475241617337,269.6498830719946
G05,24.0,48.0,288,603.1097738001008,819.2505614962084,548.5582798410396,777.0091710853444
G05,48.0,72.0,288,1288.6355580647014,1614.4130573355758,1213.4516091327096,1556.3779463355029
G05,72.0,168.0,1152,4612.781994406782,7402.9597069978545,3991.3862966495817,7217.209533997603
C03,0.0,0.25,3,0.4804456019620977,0.5076106824387339,0.4784193293245399,0.5046915471273145
C03,0.25,1.0,9,0.7084135600077026,0.8785695728763521,0.6933267413409,0.8591912827438507
C03,1.0,6.0,60,3.4293056932008583,5.900783892315065,2.9335358693884483,5.561625839260067
C03,6.0,12.0,72,11.273264476957284,16.018691284061152,10.774517495926563,15.528867156588008
C03,12.0,24.0,144,19.416172308817096,20.599831400861227,19.613259059589513,20.58604557875968
C03,24.0,48.0,288,46.75924861404567,59.85652835517164,50.7050289401146,59.765723086790956
C03,48.0,72.0,288,95.714089127745,116.32413073090481,102.46574074242461,116.19028002060115
C03,72.0,168.0,1152,334.8099667883015,532.5819309717917,283.72951318857736,529.2899523002518
C06,0.0,0.25,3,1.2325936157113693,1.260443134175529,1.2317647066785695,1.257575291425833
C06,0.25,1.0,9,1.4130213779505472,1.5380839486595008,1.4087804035941323,1.5247726002630457
C06,1.0,6.0,60,3.0785305442972426,4.8766839052359625,2.7966005045989757,4.585134849090667
C06,6.0,12.0,72,12.922055768396023,21.6809197446961,11.129442906210318,20.513631838487292
C06,12.0,24.0,144,38.541542004216716,44.68437010031101,40.64495435851893,44.54334613036217
C06,24.0,48.0,288,94.45681028084077,133.7454791776376,86.27319168184994,133.63658345035353
C06,48.0,72.0,288,204.52166319837187,267.2111580270635,194.7202526609895,267.11699535351596
C06,72.0,168.0,1152,748.3381916787584,1237.2416115679423,663.2998537913949,1223.1472444681378
CHANDRA,0.0,0.25,3,0.0015656672024991281,0.002047615135334206,0.0014112167539269257,0.001983975297193478
CHANDRA,0.25,1.0,9,0.0057974765842956286,0.008470509549273716,0.005506063595189933,0.008120921406493509
CHANDRA,1.0,6.0,60,0.044526566166668356,0.07694858368688462,0.038196197683067146,0.07244532287910957
CHANDRA,6.0,12.0,72,0.16387481555866998,0.2587261822754274,0.1478105188296337,0.24580858797974922
CHANDRA,12.0,24.0,144,32.353379747197145,76.50633887375226,0.8435810599577971,72.0787837642392
CHANDRA,24.0,48.0,288,141.11928313917974,236.5999153835594,120.75662017422724,219.78982367326674
CHANDRA,48.0,72.0,288,564.1402510855794,987.1289018451318,483.21480750182354,912.6211985430825
CHANDRA,72.0,168.0,1152,5363.976820440647,19399.30731939248,3206.330530377068,11190.677254278567
