object,lower_open_hours,upper_closed_hours,count,rms_m,max_m,median_m,p95_m
G05,0.0,0.25,3,0.4525558790383746,0.47417449580428256,0.45239428450014507,0.4719964746738688
G05,0.25,1.0,9,0.5795315064644746,0.6552979257075414,0.5789389198905598,0.6478068077860075
G05,1.0,6.0,60,0.7045359664430383,0.8747212721026888,0.7499308784819019,0.8731557637108526
G05,6.0,12.0,72,0.7754820763606932,1.0357619257952277,0.7767008386181595,1.0320003266746864
G05,12.0,24.0,144,0.7281865666790267,1.0566454205381106,0.6989133750159031,1.0438499937837602
G05,24.0,48.0,288,1.1887379147132255,1.791331080752201,1.1698040438632098,1.7196062175414752
G05,48.0,72.0,288,1.860370601938687,2.8453885989860632,1.8356279409810985,2.7535531185655953
G05,72.0,168.0,1152,6.906105126766136,12.998084174854771,5.647308946792863,11.645348069699079
C03,0.0,0.25,3,1.3318467282148927,1.367501468469248,1.3310648533258371,1.3638578069549068
C03,0.25,1.0,9,1.5543626180156271,1.7024594443626018,1.550510295821319,1.6871106407378869
C03,1.0,6.0,60,3.1454248795435387,4.350051079916787,3.0441188546398554,4.235591268499849
C03,6.0,12.0,72,5.079682926917169,5.304255269103576,5.191360208474837,5.3024460058640805
C03,12.0,24.0,144,3.4651337836685543,5.139960629880447,3.248985596102121,5.010550077058321
C03,24.0,48.0,288,9.738356334718528,12.526752668156549,9.472468913283606,12.489811910683777
C03,48.0,72.0,288,16.83637510914529,20.76481909016043,16.53383865358998,20.71032096841206
C03,72.0,168.0,1152,48.51915839045776,78.71731190580223,42.65536890883279,76.31126087233855
C06,0.0,0.25,3,0.5389480556908726,0.5467425809679891,0.5392376834853186,0.545992091219722
C06,0.25,1.0,9,0.583109259916799,0.6091402268307639,0.5838000282069125,0.6067413849816609
C06,1.0,6.0,60,0.6587969334520974,0.6891823783221246,0.6631964013180831,0.688594559687258
C06,6.0,12.0,72,0.8812360357570709,1.0920023473088643,0.8777680190919606,1.0899773414303
C06,12.0,24.0,144,0.9278225320404172,1.1723338290572496,0.9205924802295683,1.1360327522311653
C06,24.0,48.0,288,1.271529371748545,1.7119926548552806,1.1613367065123545,1.680877323561506
C06,48.0,72.0,288,1.8341941784220535,2.369146529518609,1.7436924829595877,2.3496971691105077
C06,72.0,168.0,1152,3.7052015331527506,8.083522160286135,2.712965084401917,7.169655029660434
CHANDRA,0.0,0.25,3,0.00273142627517901,0.002923846991147711,0.002689296758164967,0.002900391967849437
CHANDRA,0.25,1.0,9,0.0056229230392015475,0.007876820046553363,0.005362382532382483,0.007579473984538973
CHANDRA,1.0,6.0,60,0.041913025380876615,0.07375458659411713,0.03524899472787649,0.06923509067685779
CHANDRA,6.0,12.0,72,0.15053698459603498,0.22705077903883367,0.13996196392129984,0.2173610372257953
CHANDRA,12.0,24.0,144,1.6470143769357914,8.092835636702235,0.4244052893765762,2.554251132809081
CHANDRA,24.0,48.0,288,5.417321810443529,8.912319883162837,4.824061325829422,8.417737604154745
CHANDRA,48.0,72.0,288,17.34506055721845,28.33807483541711,15.504749634102488,26.435825444788037
CHANDRA,72.0,168.0,1152,7159.708109928391,25635.95112864787,4123.450171274659,15156.550368575616
