object,lower_open_hours,upper_closed_hours,count,rms_m,max_m,median_m,p95_m
G05,0.0,0.25,3,0.4525558790383746,0.47417449580428256,0.45239428450014507,0.4719964746738688
G05,0.25,1.0,9,0.5795315064644746,0.6552979257075414,0.5789389198905598,0.6478068077860075
G05,1.0,6.0,60,0.7045359664430383,0.8747212721026888,0.7499308784819019,0.8731557637108526
G05,6.0,12.0,72,0.7754820764336673,1.0357619257952277,0.7767008391849293,1.0320003266746864
G05,12.0,24.0,144,0.7281865757376286,1.0566454164096823,0.6989133664774163,1.0438499870592293
G05,24.0,48.0,288,1.188738466821695,1.7913321451406479,1.1698047275126058,1.7196072855424651
G05,48.0,72.0,288,1.8603736119046441,2.845392597082571,1.8356317511735942,2.75355713644005
G05,72.0,168.0,1152,6.906128708569654,12.998120628556883,5.64733271468617,11.645385831970227
C03,0.0,0.25,3,1.3318467282148927,1.367501468469248,1.3310648533258371,1.3638578069549068
C03,0.25,1.0,9,1.5543626180156271,1.7024594443626018,1.550510295821319,1.6871106407378869
C03,1.0,6.0,60,3.1454248795435387,4.350051079916787,3.0441188546398554,4.235591268499849
C03,6.0,12.0,72,5.079682926917169,5.304255269103576,5.191360208474837,5.3024460058640805
C03,12.0,24.0,144,3.4651337868155556,5.139960629880447,3.2489856026564734,5.010550077058321
C03,24.0,48.0,288,9.73835601204322,12.526752487768064,9.472468171413533,12.489811727498436
C03,48.0,72.0,288,16.83637195870954,20.76481626558451,16.533835946246203,20.710318167883962
C03,72.0,168.0,1152,48.519132183681876,78.71727539214406,42.655348025343514,76.3112246554543
C06,0.0,0.25,3,0.5389480556908726,0.5467425809679891,0.5392376834853186,0.545992091219722
C06,0.25,1.0,9,0.583109259916799,0.6091402268307639,0.5838000282069125,0.6067413849816609
C06,1.0,6.0,60,0.6587969334520974,0.6891823783221246,0.6631964013180831,0.688594559687258
C06,6.0,12.0,72,0.8812360357570709,1.0920023473088643,0.8777680190919606,1.0899773414303
C06,12.0,24.0,144,0.9278225320404172,1.1723338290572496,0.9205924802295683,1.1360327522311653
C06,24.0,48.0,288,1.271529391304606,1.711992717143354,1.1613367181634158,1.6808773844494524
C06,48.0,72.0,288,1.8341941263066153,2.3691457008576604,1.7436923338200478,2.349696360757722
C06,72.0,168.0,1152,3.7052048945323515,8.083535370685949,2.712964058750389,7.169667847936492
CHANDRA,0.0,0.25,3,0.00273142627517901,0.002923846991147711,0.002689296758164967,0.002900391967849437
CHANDRA,0.25,1.0,9,0.0056229230392015475,0.007876820046553363,0.005362382532382483,0.007579473984538973
CHANDRA,1.0,6.0,60,0.041913025380876615,0.07375458659411713,0.03524899472787649,0.06923509067685779
CHANDRA,6.0,12.0,72,0.15053698459603498,0.22705077903883367,0.13996196392129984,0.2173610372257953
CHANDRA,12.0,24.0,144,1.6470143789044194,8.092835635505262,0.4244052886695718,2.5542511301213624
CHANDRA,24.0,48.0,288,5.4173221925384905,8.912320601282886,4.824061643464708,8.417738287585092
CHANDRA,48.0,72.0,288,17.34506205188735,28.338077322847536,15.504750937473506,26.435827767489627
CHANDRA,72.0,168.0,1152,7159.708108061844,25635.951109507318,4123.450171515694,15156.550365776853
