object,threshold_m,observed_exceedance,first_sample_seconds,previous_sample_seconds,first_sample_error_m,tested_through_seconds
G05,10.0,True,522600.0,522300.0,10.059943470155718,604800.0
G05,100.0,False,,,,604800.0
G05,1000.0,False,,,,604800.0
G05,10000.0,False,,,,604800.0
C03,10.0,True,104700.0,104400.0,10.033932546698713,604800.0
C03,100.0,False,,,,604800.0
C03,1000.0,False,,,,604800.0
C03,10000.0,False,,,,604800.0
C06,10.0,False,,,,604800.0
C06,100.0,False,,,,604800.0
C06,1000.0,False,,,,604800.0
C06,10000.0,False,,,,604800.0
CHANDRA,10.0,True,181748.81599664688,181448.81599664688,10.022164733839974,604748.8158562183
CHANDRA,100.0,True,297548.8159580231,297248.8159580231,102.46586181571556,604748.8158562183
CHANDRA,1000.0,True,302648.8159561157,302348.81595635414,23839.03281523013,604748.8158562183
CHANDRA,10000.0,True,302648.8159561157,302348.81595635414,23839.03281523013,604748.8158562183
