seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,3.659222526188719e-06,3.6981645621381176e-06,1.006678896686708e-06,-1.1634164974093437,43732165.935511515,-17.956706648641635,False
600.0,3.637110644609682e-06,3.6900156317187793e-06,9.54380634965446e-07,-1.1925693973898888,43735405.995449565,-17.98747636705023,False
900.0,3.6142003877940738e-06,3.6799847293877974e-06,9.032562218180828e-07,-1.222544938325882,43738631.90212927,-18.01828680508995,False
1200.0,3.5895653770048374e-06,3.667932389816997e-06,8.501506805203007e-07,-1.2527830749750137,43741842.16283875,-18.049123917975937,False
1500.0,3.5638094953149352e-06,3.6536254413022107e-06,7.984022190044016e-07,-1.2822729647159576,43745035.29486083,-18.079973663103157,False
1800.0,3.5366514637124442e-06,3.6375746503836126e-06,7.446987382309089e-07,-1.3115727975964546,43748209.828094065,-18.110821992229997,False
2100.0,3.5097224959076797e-06,3.620757496491933e-06,6.922903139638947e-07,-1.3411914259195328,43751364.30402578,-18.14165487000347,False
2400.0,3.479874319900358e-06,3.6004477408368984e-06,6.381289985313288e-07,-1.3705109804868698,43754497.27523679,-18.17245826639698,False
2700.0,3.4499589771208802e-06,3.579038519774258e-06,5.854359024226596e-07,-1.399356484413147,43757607.30754341,-18.20321817456117,False
3000.0,3.4193520934411293e-06,3.5563983828978962e-06,5.313143169871637e-07,-1.4286872670054436,43760692.98125147,-18.233920603706533,False
3300.0,3.386513218911448e-06,3.5305342294122966e-06,4.776122715099973e-07,-1.457809068262577,43763752.88892158,-18.264551595221747,False
3600.0,3.3535787930037477e-06,3.5038580961099797e-06,4.2337915573398277e-07,-1.4864654764533043,43766785.63800363,-18.295097220372337,False
3900.0,3.3196117663256554e-06,3.4752860074149794e-06,3.690107739373616e-07,-1.5150530487298965,43769789.85158561,-18.32554358967452,False
4200.0,3.283795463622147e-06,3.443814705406112e-06,3.156522900837899e-07,-1.54389488697052,43772764.168190815,-18.35587685751389,False
4500.0,3.2476067123774487e-06,3.4112579214706784e-06,2.607468552184855e-07,-1.5723930820822716,43775707.24144429,-18.38608322289686,False
4800.0,3.210491156910864e-06,3.3768387197596894e-06,2.056056445098875e-07,-1.6000239923596382,43778617.74157232,-18.416148942211148,False
5100.0,3.1720542061682087e-06,3.340080411362578e-06,1.506744311541297e-07,-1.6278855502605438,43781494.3574441,-18.44606032967041,False
5400.0,3.131507085188693e-06,3.300136000916609e-06,9.587826355073048e-08,-1.6554727852344513,43784335.79383191,-18.475803762825027,False
5700.0,3.091268455530494e-06,3.259528511989629e-06,4.140676423958212e-08,-1.6831272691488266,43787140.77433538,-18.50536568850153,False
6000.0,3.0503725994267473e-06,3.2172089845516894e-06,-1.49424970175005e-08,-1.7100823447108269,43789908.03989187,-18.534732625288626,False
6300.0,3.0084049395106924e-06,3.172667192075096e-06,-6.998138601943538e-08,-1.7370590567588806,43792636.351827726,-18.56389117645074,False
6600.0,2.966288126053392e-06,3.126850884882515e-06,-1.2494977852384181e-07,-1.7630008980631828,43795324.4890386,-18.592828025229146,False
6900.0,2.922211406368889e-06,3.0777353572375432e-06,-1.8082683084230666e-07,-1.7895209416747093,43797971.252872504,-18.62152994463896,False
7200.0,2.878320839563614e-06,3.0275926405920472e-06,-2.361981970011584e-07,-1.8149894997477531,43800575.461643614,-18.649983804698774,False
7500.0,2.8333595822674917e-06,2.9749730856565293e-06,-2.918532793216855e-07,-1.8400795310735703,43803135.95659433,-18.678176572919003,False
7800.0,2.7886527728756164e-06,2.9213994707788515e-06,-3.4619769806454315e-07,-1.8648852333426476,43805651.599420555,-18.706095323963506,False
8100.0,2.742921338050435e-06,2.8650227363868908e-06,-4.024400830360264e-07,-1.8897801265120506,43808121.27352704,-18.73372723752512,False
8400.0,2.696275998594033e-06,2.806173114322519e-06,-4.580970767165127e-07,-1.913132205605507,43810543.882130176,-18.761059613871186,False
8700.0,2.65110586221734e-06,2.7473126351651445e-06,-5.133694926939825e-07,-1.9367094933986664,43812918.354041584,-18.78807987050578,False
9000.0,2.604889970391292e-06,2.685476033548184e-06,-5.690221129839301e-07,-1.959303855895996,43815243.63766011,-18.814775549315602,False
9300.0,2.5596334680020052e-06,2.622680881358974e-06,-6.250180426548013e-07,-1.98082584887743,43817518.7054258,-18.84113432294842,False
9600.0,2.5131599167469465e-06,2.5564992824911315e-06,-6.809768713367248e-07,-2.0027331858873367,43819742.554597534,-18.86714399935404,False
9900.0,2.4679157845908332e-06,2.4896002059904276e-06,-7.364390910424845e-07,-2.022664539515972,43821914.20222666,-18.892792526504866,False
10200.0,2.422701673069255e-06,2.4207295723499556e-06,-7.909004402506525e-07,-2.043063700199127,43824032.69411142,-18.918067997331615,False
10500.0,2.3779618094823258e-06,2.3494667686918547e-06,-8.464153609111236e-07,-2.061977006494999,43826097.0959152,-18.94295865207425,False
10800.0,2.3350400340540427e-06,2.2778675656809355e-06,-9.010495602979063e-07,-2.080550894141197,43828106.50097546,-18.96745288976702,False
