seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,6.318578599197829e-07,4.021475774607097e-07,-5.97841790295206e-07,-0.07966168597340584,31898137.352375776,-59.43095018845906,False
600.0,6.523069850853745e-07,3.891124151778058e-07,-6.237976961642744e-07,-0.07953463867306709,31973683.601312816,-60.64716821168685,False
900.0,6.741961737220351e-07,3.6761650790140266e-07,-6.514417734138078e-07,-0.08036362007260323,32042692.29330669,-61.806940981964395,False
1200.0,6.964013747227831e-07,3.3727928894222714e-07,-6.792449056547412e-07,-0.08147405460476875,32105103.242797554,-62.90362027878068,False
1500.0,7.193958972107147e-07,2.909806653406122e-07,-7.079392361220016e-07,-0.0818650983273983,32160874.159031868,-63.92999995144516,False
1800.0,7.435156631756254e-07,2.2622850792686222e-07,-7.372863990440237e-07,-0.08236635848879814,32209980.70695473,-64.87838433998313,False
2100.0,7.668207505999153e-07,1.4434448303290992e-07,-7.645239179510099e-07,-0.08366796374320984,32252416.52934551,-65.74071952723274,False
2400.0,7.932333534836648e-07,4.209312010061694e-08,-7.930558751922945e-07,-0.08402207493782043,32288193.233590517,-66.50880238948085,False
2700.0,8.193684683718775e-07,-8.490582104059285e-08,-8.187061979469945e-07,-0.08461454510688782,32317340.350516662,-67.17457696976308,False
3000.0,8.474685787177267e-07,-2.3178469632512133e-07,-8.429041997715103e-07,-0.08516805246472359,32339905.247109573,-67.73051611031387,False
3300.0,8.751809441998845e-07,-4.0373481624556007e-07,-8.622080258646747e-07,-0.08486994355916977,32355953.007317808,-68.17006863057709,False
3600.0,9.042815522516041e-07,-5.891609760055871e-07,-8.780951361586631e-07,-0.08550871536135674,32365566.27679002,-68.48813075021476,False
3900.0,9.357510713740185e-07,-7.931043910502922e-07,-8.902207753180846e-07,-0.08591900765895844,32368845.0594747,-68.6814812489614,False
4200.0,9.661067535503652e-07,-1.0045505689504353e-06,-8.948698848598724e-07,-0.08517461270093918,32365906.48222941,-68.74911095073368,False
4500.0,9.983999896515082e-07,-1.2122911527967517e-06,-8.959619890447357e-07,-0.08505955338478088,32356884.51656993,-68.69238570203446,False
4800.0,1.0316808777899541e-06,-1.4181021015247097e-06,-8.914027773698763e-07,-0.08390949293971062,32341929.648159485,-68.51500918464764,False
5100.0,1.065215759744318e-06,-1.6136818885570392e-06,-8.810644942514045e-07,-0.08249786868691444,32321208.51314676,-68.22279045325448,False
5400.0,1.1007763945656192e-06,-1.7940796510629298e-06,-8.678167802145254e-07,-0.08125458657741547,32294903.479021423,-67.82325849030128,False
5700.0,1.1349664776768073e-06,-1.9514514235652314e-06,-8.498327446204712e-07,-0.0791318267583847,32263212.17865186,-67.32518980369899,False
6000.0,1.1705812531177077e-06,-2.092909028306167e-06,-8.288885879892405e-07,-0.07713655009865761,32226346.998871274,-66.73811954261056,False
6300.0,1.2063002744874752e-06,-2.210283724934925e-06,-8.071577894952497e-07,-0.07474149018526077,32184534.51019539,-66.07189435652225,False
6600.0,1.241826704869264e-06,-2.3102676891539886e-06,-7.827720622799461e-07,-0.07119625061750412,32138014.848123554,-65.33630386295643,False
6900.0,1.278220318283702e-06,-2.3941013864714478e-06,-7.580907777082757e-07,-0.06795026734471321,32087041.040759977,-64.54080554818837,False
7200.0,1.3139162462342676e-06,-2.46138674242502e-06,-7.325015758397058e-07,-0.06462806463241577,32031878.2738565,-63.69434074712012,False
7500.0,1.3481773781405187e-06,-2.5129907612608804e-06,-7.061009199560431e-07,-0.060775045305490494,31972803.10433641,-62.80522884446546,False
7800.0,1.3846444622962893e-06,-2.5557511094120855e-06,-6.828933223346212e-07,-0.05679747089743614,31910102.61479261,-61.88112253320273,False
8100.0,1.4193878973204067e-06,-2.5876577467442985e-06,-6.586324374779906e-07,-0.05214802548289299,31844073.506362543,-60.929006892022805,False
8400.0,1.4531574023733532e-06,-2.60908836935414e-06,-6.36570533174563e-07,-0.047901444137096405,31775021.136810943,-59.95522725741844,False
8700.0,1.4859206398047737e-06,-2.6247598725603893e-06,-6.138387576015703e-07,-0.042591698467731476,31703258.492773578,-58.965534128093225,False
9000.0,1.519076451127218e-06,-2.6367232521806727e-06,-5.928584343450893e-07,-0.037901975214481354,31629105.113289107,-57.96513638090675,False
9300.0,1.5502018654332625e-06,-2.64221716861357e-06,-5.724118778971388e-07,-0.03253095597028732,31552885.94399525,-56.95875688288687,False
9600.0,1.5815526630574506e-06,-2.6457088040388044e-06,-5.539985892255572e-07,-0.026740416884422302,31474930.14612434,-55.95068662067981,False
9900.0,1.6105549888731509e-06,-2.6442964724537887e-06,-5.358744346040112e-07,-0.022066015750169754,31395569.84704836,-54.94483508477957,False
10200.0,1.6390238662426047e-06,-2.64138836314487e-06,-5.191635565893193e-07,-0.01642787829041481,31315138.835572608,-53.94477567390769,False
10500.0,1.6658721911955831e-06,-2.6364513701082615e-06,-5.022570803703275e-07,-0.011306710541248322,31233971.2223536,-52.95378564925004,False
10800.0,1.6909368399940549e-06,-2.628086690492637e-06,-4.882284585505658e-07,-0.005498558282852173,31152400.044455335,-51.97488057159497,False
11100.0,1.7164590560105332e-06,-2.6220641302643344e-06,-4.7393417901275825e-07,-0.0010370798408985138,31070755.844961654,-51.01084347887632,False
11400.0,1.7389076013130923e-06,-2.6124441490082972e-06,-4.598537302058503e-07,0.005266156047582626,30989365.207275055,-50.064249137288115,False
11700.0,1.7604401405303352e-06,-2.602363224468718e-06,-4.47604406872415e-07,0.009692911058664322,30908549.286114246,-49.137483838922,False
12000.0,1.7792311807649337e-06,-2.590524957213347e-06,-4.336943959515338e-07,0.01458820328116417,30828622.2974198,-48.232761196970415,False
12300.0,1.7969695423611924e-06,-2.577782510115867e-06,-4.232069059639798e-07,0.019095074385404587,30749890.02322988,-47.35213436657027,False
12600.0,1.8140524685298152e-06,-2.566723566133078e-06,-4.1092757641081334e-07,0.023467760533094406,30672648.30522547,-46.49750517335825,False
12900.0,1.828307581281489e-06,-2.5533857410664496e-06,-3.9890398539910166e-07,0.02806732803583145,30597181.55607475,-45.67063048204106,False
13200.0,1.842777455459063e-06,-2.5417511722025665e-06,-3.8893884379831434e-07,0.03179927170276642,30523761.294680588,-44.873126238255225,False
13500.0,1.8548118068441383e-06,-2.5290702012625843e-06,-3.774863870376066e-07,0.035463977605104446,30452644.71124355,-44.10646949993289,False
13800.0,1.864237684096246e-06,-2.514893935767759e-06,-3.6527173108424904e-07,0.0384795218706131,30384073.285449177,-43.37199876409298,False
14100.0,1.8744008670699838e-06,-2.5037252839865687e-06,-3.5287021660224127e-07,0.042260728776454926,30318271.456495173,-42.670912913563406,False
14400.0,1.881012689369642e-06,-2.4896993124912115e-06,-3.3970799506732874e-07,0.04412762448191643,30255445.37314298,-42.00426904213498,False
14700.0,1.8865465492448627e-06,-2.4761473582657345e-06,-3.260495589074708e-07,0.04704051464796066,30195781.710423987,-41.37297941693733,False
15000.0,1.8910923135950508e-06,-2.4631214898818143e-06,-3.1189966165356964e-07,0.04863854497671127,30139446.601121858,-40.77780782635964,False
15300.0,1.8942476899272701e-06,-2.449896982170685e-06,-2.9783294763774393e-07,0.04960239306092262,30086584.653073538,-40.2193655354386,False
15600.0,1.8932518440218799e-06,-2.4333224928341224e-06,-2.812255033290967e-07,0.05069155618548393,30037318.093260005,-39.698107067001835,False
15900.0,1.893589828984931e-06,-2.4203253872201458e-06,-2.6301156452746e-07,0.05092785134911537,29991746.035593346,-39.21432598962054,False
16200.0,1.8929093224839943e-06,-2.407343458799005e-06,-2.451131422276376e-07,0.05070352554321289,29949943.87686623,-38.76815091199532,False
16500.0,1.8908400484335254e-06,-2.3942339737459406e-06,-2.2508544361699023e-07,0.0501871183514595,29911962.83742779,-38.35954183953261,False
