seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,8.178216615114804e-07,7.40366090212774e-07,-4.436362139870198e-07,-0.14272678643465042,28419056.997121155,-21.87965069625125,False
600.0,8.630759825587342e-07,7.974502409524575e-07,-4.5765407108433465e-07,-0.13846752420067787,28591091.198006667,-23.421189785772203,False
900.0,9.066959027754065e-07,8.540093574538332e-07,-4.719883790471613e-07,-0.13289858028292656,28763007.03108882,-24.9737665790516,False
1200.0,9.476859338880487e-07,9.090765615837881e-07,-4.864500340318045e-07,-0.12715711444616318,28934431.073099453,-26.535675484456462,False
1500.0,9.886049773003768e-07,9.656342569996923e-07,-5.018237878573473e-07,-0.12128506228327751,29104992.457062073,-28.105240644730863,False
1800.0,1.0282233169049542e-06,1.0212575034529436e-06,-5.196176076083248e-07,-0.1159055344760418,29274324.144126877,-29.680810365122557,False
2100.0,1.0657899969114752e-06,1.077684004258117e-06,-5.359684180916702e-07,-0.10885947197675705,29442064.125807635,-31.260750420258855,False
2400.0,1.1027208461405502e-06,1.134299395744165e-06,-5.548035417746178e-07,-0.10226020216941833,29607856.571750134,-32.8434362009461,False
2700.0,1.1362803031229918e-06,1.1892280440406466e-06,-5.735086361369213e-07,-0.0953778401017189,29771352.89874069,-34.42724370715508,False
3000.0,1.1707988041226224e-06,1.247254971303846e-06,-5.940195251241676e-07,-0.0881311409175396,29932212.78655078,-36.01053926434458,False
3300.0,1.2020628854348225e-06,1.3036689097134513e-06,-6.14709840363048e-07,-0.08182699605822563,30090105.12849998,-37.59166790560665,False
3600.0,1.233567453711908e-06,1.3621152561427152e-06,-6.37564752992148e-07,-0.07349958270788193,30244708.91466504,-39.168940247953195,False
3900.0,1.2615433335068438e-06,1.418902854766202e-06,-6.600997224381899e-07,-0.06603352725505829,30395714.07174568,-40.74061771828685,False
4200.0,1.288197368153862e-06,1.4754501478364546e-06,-6.846359852374917e-07,-0.058782290667295456,30542822.226300776,-42.30489588122403,False
4500.0,1.3145638099770447e-06,1.5343025836500601e-06,-7.100738486087721e-07,-0.05046859011054039,30685747.425254118,-43.85988564663564,False
4800.0,1.3394643342422e-06,1.5927196272969013e-06,-7.373297563617598e-07,-0.04322895407676697,30824216.80469579,-45.403592027153266,False
5100.0,1.3637367483640273e-06,1.6509362694705487e-06,-7.674040318761399e-07,-0.03529367595911026,30957971.196635835,-46.9338901298113,False
5400.0,1.38486661978943e-06,1.707784917925892e-06,-7.966845743112572e-07,-0.028093956410884857,31086765.70162635,-48.44849801071895,False
5700.0,1.4059202520728124e-06,1.7640580551869789e-06,-8.293998448039019e-07,-0.019216716289520264,31210370.200719,-49.94494599401141,False
6000.0,1.42407076516409e-06,1.8171442093262158e-06,-8.624983607319336e-07,-0.010836619883775711,31328569.838327,-51.42054213955446,False
6300.0,1.44176204951081e-06,1.8692755929805571e-06,-8.975846057523995e-07,-0.002756938338279724,31441165.44693153,-52.87233351485876,False
6600.0,1.4579253109463556e-06,1.916817524261205e-06,-9.350034559929554e-07,0.005474835634231567,31547973.939755544,-54.297063179216224,False
6900.0,1.4739342117632617e-06,1.9609537389442266e-06,-9.750872536073985e-07,0.013689029961824417,31648828.662584953,-55.69112299844425,False
7200.0,1.4871716243087896e-06,1.997079181137451e-06,-1.0157884204886614e-06,0.023136578500270844,31743579.704369105,-57.05050291393878,False
7500.0,1.4985528929736004e-06,2.022852100935779e-06,-1.0584467418084387e-06,0.031373728066682816,31832094.17781036,-58.37073800793926,False
7800.0,1.5096644884468978e-06,2.041762797944102e-06,-1.1020695893648735e-06,0.040633559226989746,31914256.450238958,-59.646855851147485,False
8100.0,1.5191009522746103e-06,2.043871802470676e-06,-1.1480262429586219e-06,0.049782074987888336,31989968.355424136,-60.87332817244804,False
8400.0,1.5273837938290324e-06,2.0303867813709076e-06,-1.1945373117328018e-06,0.05837366357445717,32059149.35836207,-62.04403310270197,False
8700.0,1.5327662303895965e-06,1.9924653429370665e-06,-1.2408304215227872e-06,0.06796027347445488,32121736.688249256,-63.15223696665503,False
9000.0,1.5364063127988677e-06,1.929537177147722e-06,-1.2863946068364385e-06,0.0780806764960289,32177685.442387097,-64.19060783221728,False
9300.0,1.54040158246787e-06,1.842323683831637e-06,-1.3317166889237342e-06,0.08762680739164352,32226968.65030642,-65.15127616981444,False
9600.0,1.5406509582108357e-06,1.7187016965181101e-06,-1.373286636408011e-06,0.09727149084210396,32269577.30223,-66.02596014873828,False
9900.0,1.5379319769238371e-06,1.5548479836979823e-06,-1.410759693953878e-06,0.10729542374610901,32305520.34716084,-66.80617265374617,False
10200.0,1.5359419993555965e-06,1.3597639849649568e-06,-1.4449803131810768e-06,0.11739649251103401,32334824.653467145,-67.48352207957585,False
10500.0,1.5301515042317745e-06,1.1256271363890846e-06,-1.4711659730437532e-06,0.1264355480670929,32357534.933300544,-68.05010725922281,False
10800.0,1.523764508649025e-06,8.658444698994572e-07,-1.4903519769404738e-06,0.13634228333830833,32373713.625758395,-68.4989879445121,False
11100.0,1.51267219306538e-06,5.731535566155799e-07,-1.4984369300918843e-06,0.1464751549065113,32383440.75148459,-68.82468849339682,False
11400.0,1.5016291247178237e-06,2.700746790651465e-07,-1.4985134697553804e-06,0.1564595028758049,32386813.719537225,-69.02366995009227,False
11700.0,1.48737416900394e-06,-3.232227641092322e-08,-1.487329441829388e-06,0.16527856513857841,32383947.097476482,-69.09469423023157,False
12000.0,1.4729139114566936e-06,-3.2694842388991674e-07,-1.4682628375339846e-06,0.1746649295091629,32374972.335243467,-69.03901171227581,False
12300.0,1.4548993649408752e-06,-6.038961544163612e-07,-1.4385059472488138e-06,0.18442120775580406,32360037.453723755,-68.86033266500604,False
12600.0,1.433806809487791e-06,-8.432454592366412e-07,-1.4002984443095556e-06,0.19320989772677422,32339306.68290114,-68.56458571449089,False
12900.0,1.4106305042745626e-06,-1.0495301694390946e-06,-1.3555172273527205e-06,0.20234306529164314,32312960.050458625,-68.1595087904349,False
13200.0,1.3863803866150962e-06,-1.2187794595774903e-06,-1.3066497501768026e-06,0.21018177643418312,32281192.931569282,-67.6541450218384,False
13500.0,1.3585114364111923e-06,-1.3442493127513444e-06,-1.2533946147641473e-06,0.21805961057543755,32244215.537306186,-67.05832129377892,False
13800.0,1.3294823183486269e-06,-1.4346237833251507e-06,-1.1988223747039228e-06,0.22596386447548866,32202252.361800306,-66.38217328184267,False
14100.0,1.2976892708372244e-06,-1.4910910408616473e-06,-1.142634701523093e-06,0.23331305384635925,32155541.571222696,-65.63575683643975,False
14400.0,1.2634968349483324e-06,-1.5165534534844483e-06,-1.086445095666022e-06,0.2412753328680992,32104334.336648636,-64.8287609939311,False
14700.0,1.2277312758745852e-06,-1.5155557377966034e-06,-1.0319838779082602e-06,0.2477816306054592,32048894.118280508,-63.970319051380635,False
15000.0,1.1897832434394743e-06,-1.4962459431444586e-06,-9.779249054986394e-07,0.25398408994078636,31989495.881081246,-63.06890295372121,False
15300.0,1.1485528017596974e-06,-1.4560147860720463e-06,-9.251886652350549e-07,0.2600587531924248,31926425.262940813,-62.13228188215439,False
15600.0,1.105872605596633e-06,-1.4053645145395421e-06,-8.738570898003672e-07,0.2651650793850422,31859977.67985651,-61.16752623932706,False
15900.0,1.0609845612581196e-06,-1.3408825054739282e-06,-8.252925454144133e-07,0.2703996114432812,31790457.3689083,-60.18104093417365,False
16200.0,1.0142954514133903e-06,-1.2713792045815353e-06,-7.774719463782276e-07,0.274453341960907,31718176.379322764,-59.17861548008341,False
16500.0,9.649449637640856e-07,-1.194549895444652e-06,-7.308281482210077e-07,0.27841464057564735,31643453.495630603,-58.165481866669396,False
16800.0,9.142180523508306e-07,-1.1117370490865142e-06,-6.870598454611354e-07,0.28237515315413475,31566613.111212924,-57.14637412272173,False
17100.0,8.60472612723956e-07,-1.0251338551370281e-06,-6.433771559954948e-07,0.2856389209628105,31487984.041955717,-56.12558571618399,False
17400.0,8.067789956538762e-07,-9.380723895446863e-07,-6.024378791380514e-07,0.28716442361474037,31407898.285530716,-55.107022540725545,False
17700.0,7.492054207391055e-07,-8.478702397951565e-07,-5.604146195992143e-07,0.2894287630915642,31326689.725946933,-54.094250405422706,False
18000.0,6.899489031649393e-07,-7.563424730960833e-07,-5.193368437517165e-07,0.29012712836265564,31244692.802531943,-53.09053658235139,False
18300.0,6.308161109184474e-07,-6.667832224138692e-07,-4.797420913860151e-07,0.2904820293188095,31162241.11892666,-52.09888550246684,False
18600.0,5.688673358267603e-07,-5.75430448179759e-07,-4.395014627789351e-07,0.29123975336551666,31079666.026197184,-51.12206887693581,False
18900.0,5.049090215388783e-07,-4.834758158267505e-07,-3.987566685736965e-07,0.28997620195150375,30997295.172472503,-50.162650679829305,False
19200.0,4.431029553865171e-07,-3.9428488207704504e-07,-3.6059226005136225e-07,0.28859131783246994,30915451.017122414,-49.223007493417,False
19500.0,3.7808276617116e-07,-3.04479982560224e-07,-3.192631083948072e-07,0.28564804419875145,30834449.342572965,-48.30534472369611,False
19800.0,3.156662140523676e-07,-2.166142394344206e-07,-2.795657394472073e-07,0.28297848254442215,30754597.742928587,-47.41170912485251,False
20100.0,2.537753968971544e-07,-1.2972216723028396e-07,-2.375737508941711e-07,0.27861163392663,30676194.126736067,-46.543998154979285,False
20400.0,1.9747943668736915e-07,-4.163271682955383e-08,-1.953273667254507e-07,0.27398286387324333,30599525.216055155,-45.70396650874767,False
20700.0,1.5601447737993305e-07,4.348436277723522e-08,-1.529429596303089e-07,0.2691017687320709,30524865.07893413,-44.893230267720725,False
21000.0,1.4308820429877125e-07,1.2712723673757864e-07,-1.1019749734941797e-07,0.2620719335973263,30452473.69021483,-44.11326898883414,False
21300.0,1.6372589515351338e-07,2.067554589757492e-07,-6.491056581126031e-08,0.2552242763340473,30382595.530135963,-43.365426068286475,False
21600.0,2.1226037715242952e-07,2.8738435275954544e-07,-1.9422934371959855e-08,0.24721599370241165,30315458.253374796,-42.650907669781496,False
21900.0,2.7268249789926035e-07,3.6500691180663125e-07,2.6645594175533915e-08,0.2389315403997898,30251271.41277431,-41.97078051816771,False
22200.0,3.3984396282344644e-07,4.417630350417312e-07,7.3734796046665e-08,0.2293734773993492,30190225.27355657,-41.325968795713,False
