seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,8.1632709684295e-07,-8.138370617416513e-07,6.350635644025715e-07,-0.029732517898082733,37193052.24523585,50.931743593090474,True
600.0,8.275490585970473e-07,-8.068737145094929e-07,6.442258495553688e-07,-0.0352136567234993,37254704.853494704,49.92724583124358,True
900.0,8.372267278969987e-07,-8.0142848446485e-07,6.510389667369054e-07,-0.03993455320596695,37316497.31003767,48.94166795023223,True
1200.0,8.471995392518596e-07,-7.959661161294207e-07,6.58641923223513e-07,-0.04546668380498886,37378306.59294314,47.97549739272504,True
1500.0,8.569948200839624e-07,-7.95565767930384e-07,6.636074729726715e-07,-0.05127202719449997,37440010.207892574,47.02921276800265,True
1800.0,8.649673949913728e-07,-7.934308143831004e-07,6.674740404832846e-07,-0.05707109719514847,37501486.418967135,46.10328407422479,True
2100.0,8.74795885487461e-07,-7.94256294511797e-07,6.72330443762803e-07,-0.0632328912615776,37562614.471440464,45.19817286689154,True
2400.0,8.827907982344184e-07,-7.944850608510023e-07,6.753986383500887e-07,-0.06919711828231812,37623274.80632556,44.314332365721334,True
2700.0,8.901366084670651e-07,-7.956912781992287e-07,6.772635572360741e-07,-0.07549383491277695,37683349.27203018,43.452207490891055,True
3000.0,8.966705155746619e-07,-7.980133602814021e-07,6.775667955594145e-07,-0.08190498501062393,37742721.32549282,42.61223485925845,True
3300.0,9.042306680051537e-07,-8.024074986678897e-07,6.78057190839354e-07,-0.08878710120916367,37801276.22968262,41.794842724272655,True
3600.0,9.105074070410883e-07,-8.064607470714691e-07,6.77186619668646e-07,-0.09536352753639221,37858901.2411694,41.00045087839454,True
3900.0,9.185416550965416e-07,-8.140385716615128e-07,6.763653530583724e-07,-0.1022396981716156,37915485.79494612,40.22947050052971,True
4200.0,9.226691894056772e-07,-8.190617108994047e-07,6.720719838426703e-07,-0.1089080274105072,37970921.6772277,39.48230397665579,True
4500.0,9.277598901018437e-07,-8.242562330451619e-07,6.690463933978208e-07,-0.11562738567590714,38025103.19559411,38.75934466067348,True
4800.0,9.33087205025277e-07,-8.326247495915595e-07,6.639864125190797e-07,-0.12337116152048111,38077927.340178326,38.06097662829401,True
5100.0,9.379155005479904e-07,-8.395791724069568e-07,6.593054706627299e-07,-0.13057388365268707,38129293.934655786,37.38757436668962,True
5400.0,9.419619564205765e-07,-8.476240509480704e-07,6.526140410301196e-07,-0.13777005672454834,38179105.78817407,36.7395024566341,True
5700.0,9.443793500224475e-07,-8.540544342849898e-07,6.448774243494881e-07,-0.14474807679653168,38227268.83290658,36.11711520672049,True
6000.0,9.473170968198042e-07,-8.625032137388189e-07,6.360909026170702e-07,-0.15208178758621216,38273692.25916666,35.52075627353299,True
6300.0,9.504001353876256e-07,-8.719028130599327e-07,6.265262015858752e-07,-0.15989664942026138,38318288.641024634,34.95075825263608,True
6600.0,9.518890008361005e-07,-8.791921288775484e-07,6.163868988551258e-07,-0.16818200796842575,38360974.056833506,34.40744225066656,True
6900.0,9.536021731414101e-07,-8.879561050889606e-07,6.050236507348927e-07,-0.1756022945046425,38401668.20171748,33.89111744071023,True
7200.0,9.555870822802224e-07,-8.963852451415733e-07,5.942665950442461e-07,-0.18324339389801025,38440294.498566456,33.402080599938245,True
7500.0,9.555974080449975e-07,-9.040489317158062e-07,5.809705925230446e-07,-0.19044017791748047,38476780.19479217,32.940615648126865,True
7800.0,9.5592463152199e-07,-9.127080318194203e-07,5.668668165981217e-07,-0.19831735640764236,38511056.46059044,32.5069931628503,True
8100.0,9.55367519863887e-07,-9.196685653023451e-07,5.529867905806896e-07,-0.20621320605278015,38543058.473991156,32.10146990810201,True
8400.0,9.554145226899345e-07,-9.283861288622575e-07,5.37802318234526e-07,-0.21494575589895248,38572725.50676668,31.72428836132612,True
8700.0,9.532678143527428e-07,-9.351342384888994e-07,5.208558206959424e-07,-0.22252628952264786,38600000.99691254,31.375676241276803,True
9000.0,9.522379240357335e-07,-9.419761681783712e-07,5.055452589886045e-07,-0.23066265881061554,38624832.62614817,31.055846047257898,True
9300.0,9.4907672315959e-07,-9.473191084907739e-07,4.879979194072348e-07,-0.2383769527077675,38647172.37886305,30.76499462700504,True
9600.0,9.462706048732564e-07,-9.530194517992641e-07,4.703058422705908e-07,-0.2465669959783554,38666976.60643283,30.503302739065518,True
9900.0,9.431196079188183e-07,-9.586190401478234e-07,4.517025935513175e-07,-0.2557716965675354,38684206.07925468,30.270934660106622,True
10200.0,9.40613790043049e-07,-9.648411776197463e-07,4.33039762270937e-07,-0.26353465020656586,38698826.03297754,30.068037805636905,True
10500.0,9.354944222148504e-07,-9.679115464678034e-07,4.1354724444886415e-07,-0.2720842584967613,38710806.219719745,29.894742388781765,True
