seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,6.620088172920669e-07,-2.4181041453630314e-06,4.5048739139019744e-07,-0.20081962645053864,32909997.511142332,-78.42739809378675,False
600.0,7.069557619203636e-07,-2.304515135165275e-06,4.80176680639488e-07,-0.20051367953419685,32866521.378612656,-76.98831443244202,False
900.0,7.513886134911413e-07,-2.2171857949615514e-06,5.082829659386334e-07,-0.1990312859416008,32817942.07813,-75.54685280085288,False
1200.0,7.941592238237626e-07,-2.145689592225608e-06,5.341702689065642e-07,-0.19740844145417213,32764343.88366246,-74.10460210403065,False
1500.0,8.375415014005085e-07,-2.092158297273272e-06,5.59258651833261e-07,-0.19579436630010605,32705810.6250346,-72.6625012153864,False
1800.0,8.801181168320757e-07,-2.045188807642262e-06,5.840731489570317e-07,-0.19496026635169983,32642425.438227255,-71.22108439170144,False
2100.0,9.220874329084051e-07,-2.008641160955449e-06,6.068830202821118e-07,-0.19227709248661995,32574270.531786323,-69.7806219744311,False
2400.0,9.638774716774249e-07,-1.976907014977769e-06,6.298366912460551e-07,-0.19030775874853134,32501426.988387387,-68.34120486130146,False
2700.0,1.0033145600954565e-06,-1.946572410815861e-06,6.50781586841731e-07,-0.1879313699901104,32423974.572338693,-66.90279723808956,False
3000.0,1.0443343469755507e-06,-1.92462582049302e-06,6.722561920469161e-07,-0.18537793308496475,32341991.57522517,-65.46527066039083,False
3300.0,1.082698709842991e-06,-1.9026198287974694e-06,6.913795971286163e-07,-0.1835872232913971,32255554.680884134,-64.02842672668143,False
3600.0,1.1223807935210228e-06,-1.8849315210900386e-06,7.119500509134014e-07,-0.18003066256642342,32164738.852576,-62.5920126022186,False
3900.0,1.1591244096656681e-06,-1.8667256540538801e-06,7.297609556644602e-07,-0.1770324558019638,32069617.259052705,-61.15573187534445,False
4200.0,1.1950205894779828e-06,-1.8492368667466508e-06,7.473972942761975e-07,-0.17431941628456116,31970261.21185665,-59.71925236737547,False
4500.0,1.2315144502535306e-06,-1.836033590052466e-06,7.647774040719924e-07,-0.1704953908920288,31866740.139081243,-58.28221183655755,False
4800.0,1.2667430895433896e-06,-1.82318814268001e-06,7.812578175503404e-07,-0.16770028322935104,31759121.590315916,-56.84422225892878,False
5100.0,1.3019749220059085e-06,-1.8109442976310675e-06,7.987050878455193e-07,-0.16438155248761177,31647471.258088995,-55.40487310574904,False
5400.0,1.3344640067723951e-06,-1.79891725338166e-06,8.12895748936171e-07,-0.1613021306693554,31531853.041238308,-53.963733896565635,False
5700.0,1.367733404525003e-06,-1.7877420646073006e-06,8.29081493236572e-07,-0.15681343898177147,31412329.126459192,-52.52035626501315,False
6000.0,1.3984104724068396e-06,-1.775661388592198e-06,8.431085873894517e-07,-0.15247438475489616,31288960.1092461,-51.07427561980701,False
6300.0,1.4288985705123824e-06,-1.7655040664976696e-06,8.566020994749124e-07,-0.14833909645676613,31161805.133596215,-49.62501256975658,False
6600.0,1.4582073327482918e-06,-1.754675025722463e-06,8.700775779857395e-07,-0.14401007071137428,31030922.066526778,-48.17207412894983,False
6900.0,1.4876598453866408e-06,-1.7454639760217106e-06,8.837115146320684e-07,-0.13968593999743462,30896367.701498177,-46.714954784595065,False
7200.0,1.515045136528209e-06,-1.7351230781059712e-06,8.962906221654521e-07,-0.13383545726537704,30758197.987143796,-45.25313745702189,False
7500.0,1.5403499464346683e-06,-1.723606828818447e-06,9.07934328608917e-07,-0.12902073934674263,30616468.292505346,-43.78609438662545,False
7800.0,1.5660395752753954e-06,-1.715214125397324e-06,9.185576104187021e-07,-0.12291529402136803,30471233.68540095,-42.31328796191575,False
8100.0,1.5901247465736747e-06,-1.705074851088284e-06,9.296342611264663e-07,-0.11690060049295425,30322549.255797323,-40.83417151342877,False
8400.0,1.613036055089325e-06,-1.6959960760232207e-06,9.390339954506999e-07,-0.11111517623066902,30170470.452453963,-39.34819007693178,False
