epoch_id,channel,residual_m
0,0,0
0,1,0
0,2,3.7252902984619141e-09
0,3,3.7252902984619141e-09
0,4,3.7252902984619141e-09
0,5,7.4505805969238281e-09
0,6,3.7252902984619141e-09
0,7,3.7252902984619141e-09
0,8,3.7252902984619141e-09
0,9,0
0,10,3.7252902984619141e-09
0,11,0
1,0,0
1,1,0
1,2,-3.7252902984619141e-09
1,3,-3.7252902984619141e-09
1,4,0
1,5,0
1,6,0
1,7,0
1,8,-3.7252902984619141e-09
1,9,0
1,10,-7.4505805969238281e-09
1,11,0
2,0,3.7252902984619141e-09
2,1,0
2,2,0
2,3,-3.7252902984619141e-09
2,4,0
2,5,-3.7252902984619141e-09
2,6,0
2,7,0
2,8,-3.7252902984619141e-09
2,9,-3.7252902984619141e-09
2,10,0
2,11,-3.7252902984619141e-09
3,0,3.7252902984619141e-09
3,1,0
3,2,-3.7252902984619141e-09
3,3,0
3,4,3.7252902984619141e-09
3,5,0
3,6,3.7252902984619141e-09
3,7,0
3,8,0
3,9,0
3,10,3.7252902984619141e-09
3,11,0
4,0,0
4,1,0
4,2,-3.7252902984619141e-09
4,3,-3.7252902984619141e-09
4,4,-3.7252902984619141e-09
4,5,-3.7252902984619141e-09
4,6,0
4,7,-3.7252902984619141e-09
4,8,-3.7252902984619141e-09
4,9,-3.7252902984619141e-09
4,10,0
4,11,0
5,0,0
5,1,0
5,2,-3.7252902984619141e-09
5,3,0
5,4,-3.7252902984619141e-09
5,5,-3.7252902984619141e-09
5,6,0
5,7,0
5,8,0
5,9,3.7252902984619141e-09
5,10,0
5,11,0
6,0,3.7252902984619141e-09
6,1,0
6,2,0
6,3,0
6,4,3.7252902984619141e-09
6,5,3.7252902984619141e-09
6,6,3.7252902984619141e-09
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
7,0,0
7,1,3.7252902984619141e-09
7,2,3.7252902984619141e-09
7,3,0
7,4,0
7,5,-3.7252902984619141e-09
7,6,-3.7252902984619141e-09
7,7,3.7252902984619141e-09
7,8,0
7,9,0
7,10,3.7252902984619141e-09
7,11,3.7252902984619141e-09
8,0,0
8,1,0
8,2,0
8,3,0
8,4,3.7252902984619141e-09
8,5,7.4505805969238281e-09
8,6,0
8,7,0
8,8,3.7252902984619141e-09
8,9,0
8,10,0
8,11,3.7252902984619141e-09
9,0,0
9,1,0
9,2,0
9,3,0
9,4,-3.7252902984619141e-09
9,5,0
9,6,-3.7252902984619141e-09
9,7,-3.7252902984619141e-09
9,8,0
9,9,-3.7252902984619141e-09
9,10,-3.7252902984619141e-09
9,11,0
10,0,-3.7252902984619141e-09
10,1,-3.7252902984619141e-09
10,2,-3.7252902984619141e-09
10,3,0
10,4,0
10,5,0
10,6,0
10,7,-3.7252902984619141e-09
10,8,0
10,9,-3.7252902984619141e-09
10,10,0
10,11,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,7.4505805969238281e-09
11,5,0
11,6,0
11,7,0
11,8,-3.7252902984619141e-09
11,9,0
11,10,-3.7252902984619141e-09
11,11,0
12,0,0
12,1,-3.7252902984619141e-09
12,2,0
12,3,3.7252902984619141e-09
12,4,-3.7252902984619141e-09
12,5,0
12,6,3.7252902984619141e-09
12,7,3.7252902984619141e-09
12,8,7.4505805969238281e-09
12,9,3.7252902984619141e-09
12,10,0
12,11,3.7252902984619141e-09
13,0,0
13,1,0
13,2,0
13,3,0
13,4,3.7252902984619141e-09
13,5,3.7252902984619141e-09
13,6,-3.7252902984619141e-09
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
14,0,0
14,1,0
14,2,-3.7252902984619141e-09
14,3,0
14,4,0
14,5,-3.7252902984619141e-09
14,6,-3.7252902984619141e-09
14,7,-3.7252902984619141e-09
14,8,3.7252902984619141e-09
14,9,0
14,10,0
14,11,0
15,0,0
15,1,0
15,2,0
15,3,0
15,4,3.7252902984619141e-09
15,5,3.7252902984619141e-09
15,6,3.7252902984619141e-09
15,7,3.7252902984619141e-09
15,8,3.7252902984619141e-09
15,9,0
15,10,-3.7252902984619141e-09
15,11,3.7252902984619141e-09
16,0,0
16,1,3.7252902984619141e-09
16,2,3.7252902984619141e-09
16,3,0
16,4,0
16,5,0
16,6,7.4505805969238281e-09
16,7,0
16,8,7.4505805969238281e-09
16,9,3.7252902984619141e-09
16,10,0
16,11,7.4505805969238281e-09
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,-7.4505805969238281e-09
17,6,0
17,7,-3.7252902984619141e-09
17,8,-3.7252902984619141e-09
17,9,0
17,10,-3.7252902984619141e-09
17,11,-3.7252902984619141e-09
18,0,-3.7252902984619141e-09
18,1,0
18,2,-3.7252902984619141e-09
18,3,0
18,4,0
18,5,-3.7252902984619141e-09
18,6,0
18,7,-3.7252902984619141e-09
18,8,-3.7252902984619141e-09
18,9,-3.7252902984619141e-09
18,10,0
18,11,0
19,0,0
19,1,0
19,2,0
19,3,0
19,4,-3.7252902984619141e-09
19,5,0
19,6,0
19,7,0
19,8,0
19,9,3.7252902984619141e-09
19,10,0
19,11,0
20,0,3.7252902984619141e-09
20,1,3.7252902984619141e-09
20,2,3.7252902984619141e-09
20,3,3.7252902984619141e-09
20,4,3.7252902984619141e-09
20,5,3.7252902984619141e-09
20,6,0
20,7,0
20,8,-3.7252902984619141e-09
20,9,0
20,10,3.7252902984619141e-09
20,11,3.7252902984619141e-09
21,0,3.7252902984619141e-09
21,1,3.7252902984619141e-09
21,2,3.7252902984619141e-09
21,3,0
21,4,3.7252902984619141e-09
21,5,3.7252902984619141e-09
21,6,3.7252902984619141e-09
21,7,3.7252902984619141e-09
21,8,-3.7252902984619141e-09
21,9,0
21,10,0
21,11,3.7252902984619141e-09
22,0,0
22,1,0
22,2,3.7252902984619141e-09
22,3,7.4505805969238281e-09
22,4,3.7252902984619141e-09
22,5,3.7252902984619141e-09
22,6,3.7252902984619141e-09
22,7,7.4505805969238281e-09
22,8,0
22,9,3.7252902984619141e-09
22,10,3.7252902984619141e-09
22,11,7.4505805969238281e-09
23,0,0
23,1,0
23,2,0
23,3,-3.7252902984619141e-09
23,4,0
23,5,0
23,6,0
23,7,0
23,8,-3.7252902984619141e-09
23,9,0
23,10,-3.7252902984619141e-09
23,11,0
24,0,0
24,1,0
24,2,-3.7252902984619141e-09
24,3,0
24,4,-3.7252902984619141e-09
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,-3.7252902984619141e-09
24,11,-3.7252902984619141e-09
25,0,0
25,1,0
25,2,3.7252902984619141e-09
25,3,0
25,4,-3.7252902984619141e-09
25,5,3.7252902984619141e-09
25,6,0
25,7,3.7252902984619141e-09
25,8,3.7252902984619141e-09
25,9,3.7252902984619141e-09
25,10,-3.7252902984619141e-09
25,11,0
26,0,3.7252902984619141e-09
26,1,3.7252902984619141e-09
26,2,3.7252902984619141e-09
26,3,0
26,4,3.7252902984619141e-09
26,5,0
26,6,0
26,7,-3.7252902984619141e-09
26,8,0
26,9,3.7252902984619141e-09
26,10,3.7252902984619141e-09
26,11,0
27,0,0
27,1,3.7252902984619141e-09
27,2,3.7252902984619141e-09
27,3,3.7252902984619141e-09
27,4,3.7252902984619141e-09
27,5,3.7252902984619141e-09
27,6,7.4505805969238281e-09
27,7,0
27,8,3.7252902984619141e-09
27,9,3.7252902984619141e-09
27,10,3.7252902984619141e-09
27,11,7.4505805969238281e-09
28,0,-3.7252902984619141e-09
28,1,0
