input file  : capture.rtcm3 (RTCM 3)
->rinex obs : capture.obs
->rinex nav : capture.nav
->rinex gnav: capture.gnav
->rinex hnav: capture.hnav
->rinex qnav: capture.qnav
->rinex lnav: capture.lnav
->sbas log  : capture.sbs

2026/09/14 21:41:23: O=1 
2026/09/14 21:41:27: O=5 
2026/09/14 21:41:27: O=5 
2026/09/14 21:41:30: O=8 E=2
2026/09/14 21:41:32: O=10 E=4
2026/09/14 21:41:34: O=12 E=6
2026/09/14 21:41:36: O=14 E=8
2026/09/14 21:41:44: O=22 E=8
2026/09/14 21:41:48: O=26 N=4 E=8
2026/09/14 21:41:50: O=28 N=13 E=8
2026/09/14 21:41:57: O=35 N=13 E=8
2026/09/14 21:41:58: O=36 N=13 E=10
2026/09/14 21:42:06: O=44 N=13 E=12
2026/09/14 21:42:07: O=45 N=13 E=14
2026/09/14 21:42:16: O=54 N=13 E=14
2026/09/14 21:42:22: O=60 N=13 E=16
2026/09/14 21:42:27: O=65 N=13 E=18
2026/09/14 21:42:36: O=74 N=13 E=20
2026/09/14 21:42:41: O=79 N=13 E=22
2026/09/14 21:42:49: O=87 N=13 E=22
2026/09/14 21:42:56: O=94 N=13 E=22
2026/09/14 21:43:00: O=98 N=13 E=24
2026/09/14 21:43:06: O=104 N=13 E=27
2026/09/14 21:43:11: O=109 N=13 E=30
2026/09/14 21:43:19: O=117 N=13 E=30
2026/09/14 21:43:27: O=125 N=13 E=32
2026/09/14 21:43:33: O=131 N=13 E=34
2026/09/14 21:43:39: O=137 N=13 E=36
2026/09/14 21:43:48: O=146 N=13 E=36
2026/09/14 21:43:57: O=155 N=13 E=36
2026/09/14 21:44:01: O=159 N=13 E=40
2026/09/14 21:44:08: O=166 N=13 E=44
2026/09/14 21:44:16: O=174 N=13 E=44
2026/09/14 21:44:24: O=182 N=13 E=44
2026/09/14 21:44:29: O=187 N=13 E=46
2026/09/14 21:44:36: O=194 N=13 E=50
2026/09/14 21:44:44: O=202 N=13 E=50
2026/09/14 21:44:50: O=208 N=13 E=52
2026/09/14 21:44:58: O=216 N=13 E=54
2026/09/14 21:45:04: O=222 N=13 E=56
2026/09/14 21:45:10: O=228 N=13 E=58
2026/09/14 21:45:19: O=237 N=13 E=58
2026/09/14 21:45:27: O=245 N=13 E=59
2026/09/14 21:45:32: O=250 N=13 E=62
2026/09/14 21:45:39: O=257 N=13 E=64
2026/09/14 21:45:47: O=265 N=13 E=66
2026/09/14 21:45:55: O=273 N=13 E=66
2026/09/14 21:46:00: O=278 N=13 E=68
2026/09/14 21:46:07: O=285 N=13 E=72
2026/09/14 21:46:15: O=293 N=13 E=72
2026/09/14 21:41:23-09/14 21:46:22: O=300 N=13 E=72

