API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: Sep 02, 2026  Chandra Spacecraft (X-ray observatory) / (Earth)   -151
                          http://xrtpub.harvard.edu/index.html

 Chandra X-ray Observatory:
  Deployment (STS-93)    = July 23, 1999   Data storage             = 1.8 gbs
  Science mission        = ~5 years        Length (sun shade open)  = 45.3 m
  Orbital check-out      = 2 months        Length (sun shade clsd)  = 38.7 m

 ORBITAL DATA:
  Inclination            = 28.5 degrees    Orbital period           = ~64 hours 
  Apogee altitude        = ~ 86,487 km     Observing time / orbit   = ~55 hours
  Perigee altitude       = ~  5,999 km   

 WEIGHTS & PROPULSION:
  Dry                    = 10,560 lbs      Propellant               = 2,153 lbs
  Pressurant             = 10 lb           Total launch weight      = 12,930 lb
  Engines                = 4               Thrust per engine        = 105 lb

 SPACECRAFT TRAJECTORY (from CFA): 
  Trajectory after 2026-Sep-01 is a prediction

  Trajectory name               Start        Stop
  ----------------------------  -----------  -----------
  cxo_99219_06045               1999-Aug-07  2006-Feb-14
  cxo_06002_10103               2006-Feb-03  2010-Feb-25 
  CXO_10056_27061               2010-Feb-25  2027-Mar-02
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 19:49:04 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Chandra Observatory (spacecraft) (-151) {source: chandra_merged}
Center body name: Earth (399)                     {source: chandra_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Jan-09 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000, -1.340614285587568E+04, -1.022391849134108E+05,  8.787321372194045E+04,  4.997685165325343E-01, -7.944769414025049E-01,  2.632304866526408E-01,
2460676.503472222, A.D. 2025-Jan-01 00:05:00.0000, -1.325611589153118E+04, -1.024767908891707E+05,  8.795154904962399E+04,  5.004095387091912E-01, -7.895648991724896E-01,  2.590077532495780E-01,
2460676.506944444, A.D. 2025-Jan-01 00:10:00.0000, -1.310589815217015E+04, -1.027129250461208E+05,  8.802861999760383E+04,  5.010403668512906E-01, -7.846647909986791E-01,  2.548012577033427E-01,
2460676.510416667, A.D. 2025-Jan-01 00:15:00.0000, -1.295549268088204E+04, -1.029475909420993E+05,  8.810443140954735E+04,  5.016611014944494E-01, -7.797764680159878E-01,  2.506108158522804E-01,
2460676.513888889, A.D. 2025-Jan-01 00:20:00.0000, -1.280490249086739E+04, -1.031807920905278E+05,  8.817898807424819E+04,  5.022718413851290E-01, -7.748997829947786E-01,  2.464362460339853E-01,
2460676.517361111, A.D. 2025-Jan-01 00:25:00.0000, -1.265413056589439E+04, -1.034125319610110E+05,  8.825229472640541E+04,  5.028726835160291E-01, -7.700345903085076E-01,  2.422773690359905E-01,
2460676.520833333, A.D. 2025-Jan-01 00:30:00.0000, -1.250317986105261E+04, -1.036428139794578E+05,  8.832435604723910E+04,  5.034637231597784E-01, -7.651807459129821E-01,  2.381340080562852E-01,
2460676.524305556, A.D. 2025-Jan-01 00:35:00.0000, -1.235205330299152E+04, -1.038716415289682E+05,  8.839517666533779E+04,  5.040450539027880E-01, -7.603381073086170E-01,  2.340059886508774E-01,
2460676.527777778, A.D. 2025-Jan-01 00:40:00.0000, -1.220075379052588E+04, -1.040990179501329E+05,  8.846476115730937E+04,  5.046167676773819E-01, -7.555065335160902E-01,  2.298931386927778E-01,
2460676.531250000, A.D. 2025-Jan-01 00:45:00.0000, -1.204928419516416E+04, -1.043249465414283E+05,  8.853311404845158E+04,  5.051789547937066E-01, -7.506858850505562E-01,  2.257952883299990E-01,
2460676.534722222, A.D. 2025-Jan-01 00:50:00.0000, -1.189764736156376E+04, -1.045494305597030E+05,  8.860023981344164E+04,  5.057317039707342E-01, -7.458760238939258E-01,  2.217122699427368E-01,
