API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 20:52:10 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jan-24 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Feb-10 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460699.500000000, A.D. 2025-Jan-24 00:00:00.0000, -2.147136273723610E+05, -2.955223901685335E+05, -1.612527433855863E+05,  8.474632522109802E-01, -4.341382827650059E-01, -2.343005822985700E-01,
2460699.503472222, A.D. 2025-Jan-24 00:05:00.0000, -2.144593262808771E+05, -2.956525474738968E+05, -1.613229875515443E+05,  8.478772835549820E-01, -4.335770375187898E-01, -2.339938309128197E-01,
2460699.506944444, A.D. 2025-Jan-24 00:10:00.0000, -2.142049010467182E+05, -2.957825363617728E+05, -1.613931396682348E+05,  8.482908699979680E-01, -4.330154995527516E-01, -2.336869205357010E-01,
2460699.510416667, A.D. 2025-Jan-24 00:15:00.0000, -2.139503518033968E+05, -2.959123567443783E+05, -1.614631996879785E+05,  8.487040112565551E-01, -4.324536690848154E-01, -2.333798512869808E-01,
2460699.513888889, A.D. 2025-Jan-24 00:20:00.0000, -2.136956786845110E+05, -2.960420085339954E+05, -1.615331675631318E+05,  8.491167070473837E-01, -4.318915463331056E-01, -2.330726232865353E-01,
2460699.517361111, A.D. 2025-Jan-24 00:25:00.0000, -2.134408818237435E+05, -2.961714916429716E+05, -1.616030432460873E+05,  8.495289570871161E-01, -4.313291315159467E-01, -2.327652366543506E-01,
2460699.520833333, A.D. 2025-Jan-24 00:30:00.0000, -2.131859613548621E+05, -2.963008059837202E+05, -1.616728266892733E+05,  8.499407610924382E-01, -4.307664248518640E-01, -2.324576915105226E-01,
2460699.524305556, A.D. 2025-Jan-24 00:35:00.0000, -2.129309174117198E+05, -2.964299514687199E+05, -1.617425178451544E+05,  8.503521187800593E-01, -4.302034265595828E-01, -2.321499879752575E-01,
2460699.527777778, A.D. 2025-Jan-24 00:40:00.0000, -2.126757501282542E+05, -2.965589280105151E+05, -1.618121166662313E+05,  8.507630298667124E-01, -4.296401368580303E-01, -2.318421261688710E-01,
2460699.531250000, A.D. 2025-Jan-24 00:45:00.0000, -2.124204596384882E+05, -2.966877355217157E+05, -1.618816231050407E+05,  8.511734940691532E-01, -4.290765559663336E-01, -2.315341062117896E-01,
2460699.534722222, A.D. 2025-Jan-24 00:50:00.0000, -2.121650460765295E+05, -2.968163739149977E+05, -1.619510371141554E+05,  8.515835111041622E-01, -4.285126841038224E-01, -2.312259282245500E-01,
2460699.538194444, A.D. 2025-Jan-24 00:55:00.0000, -2.119095095765708E+05, -2.969448431031029E+05, -1.620203586461845E+05,  8.519930806885428E-01, -4.279485214900272E-01, -2.309175923277990E-01,
