API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 20:40:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2024-Dec-25 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Jan-01 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460669.500000000, A.D. 2024-Dec-25 00:00:00.0000, -3.641393649796720E+05, -1.546420159154125E+05, -8.278238721010290E+04,  4.289995975170666E-01, -7.620945987353908E-01, -4.146322000688615E-01,
2460669.503472222, A.D. 2024-Dec-25 00:05:00.0000, -3.640105642405019E+05, -1.548706022467600E+05, -8.290675428039368E+04,  4.296719599593460E-01, -7.618142069314919E-01, -4.144815636488174E-01,
2460669.506944444, A.D. 2024-Dec-25 00:10:00.0000, -3.638815618259063E+05, -1.550991043975869E+05, -8.303107612536251E+04,  4.303441003028080E-01, -7.615333952824874E-01, -4.143306979318713E-01,
2460669.510416667, A.D. 2024-Dec-25 00:15:00.0000, -3.637523578025610E+05, -1.553275222419553E+05, -8.315535267622868E+04,  4.310160182382982E-01, -7.612521638916937E-01, -4.141796029737114E-01,
2460669.513888889, A.D. 2024-Dec-25 00:20:00.0000, -3.636229522372350E+05, -1.555558556539581E+05, -8.327958386422819E+04,  4.316877134566609E-01, -7.609705128625378E-01, -4.140282788300873E-01,
2460669.517361111, A.D. 2024-Dec-25 00:25:00.0000, -3.634933451967897E+05, -1.557841045077193E+05, -8.340376962061376E+04,  4.323591856487374E-01, -7.606884422985587E-01, -4.138767255568101E-01,
2460669.520833333, A.D. 2024-Dec-25 00:30:00.0000, -3.633635367481793E+05, -1.560122686773941E+05, -8.352790987665490E+04,  4.330304345053683E-01, -7.604059523034071E-01, -4.137249432097524E-01,
2460669.524305556, A.D. 2024-Dec-25 00:35:00.0000, -3.632335269584509E+05, -1.562403480371686E+05, -8.365200456363783E+04,  4.337014597173915E-01, -7.601230429808451E-01, -4.135729318448480E-01,
2460669.527777778, A.D. 2024-Dec-25 00:40:00.0000, -3.631033158947442E+05, -1.564683424612602E+05, -8.377605361286561E+04,  4.343722609756430E-01, -7.598397144347471E-01, -4.134206915180930E-01,
2460669.531250000, A.D. 2024-Dec-25 00:45:00.0000, -3.629729036242918E+05, -1.566962518239175E+05, -8.390005695565810E+04,  4.350428379709568E-01, -7.595559667690994E-01, -4.132682222855446E-01,
2460669.534722222, A.D. 2024-Dec-25 00:50:00.0000, -3.628422902144188E+05, -1.569240759994202E+05, -8.402401452335197E+04,  4.357131903941649E-01, -7.592718000880001E-01, -4.131155242033223E-01,
2460669.538194444, A.D. 2024-Dec-25 00:55:00.0000, -3.627114757325434E+05, -1.571518148620792E+05, -8.414792624730075E+04,  4.363833179360967E-01, -7.589872144956602E-01, -4.129625973276070E-01,
