line,session_id,seq,kind,rat,clock_segment,received_elapsed_ns,received_unix_ms,source_elapsed_ns,measurement_elapsed_ns,source_time_status,age_ns,stale_by_policy,chronology_valid,duplicate_status,identity_json,source_field,metric,unit,raw_value_json,value,value_status,raw_json
4,988d445c-690e-4b3e-a54a-fca38f1769d2,3,wifi,WIFI,0,985883507361,1789620847461,961067262000,961067262000,valid_reported_timestamp,24816245361,False,True,unique_timestamped_observation,"{""bssid"":""00:13:10:85:fe:01"",""frequency_mhz"":2447,""kind"":""wifi""}",rssi_dbm,rssi,dBm,-50,-50,available,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":3,""kind"":""wifi"",""received_elapsed_ns"":""985883507361"",""received_unix_ms"":1789620847461,""source_elapsed_ns"":""961067262000"",""payload"":{""ssid"":""AndroidWifi"",""bssid"":""00:13:10:85:fe:01"",""frequency_mhz"":2447,""channel_width"":0,""center_frequency0_mhz"":2447,""center_frequency1_mhz"":0,""rssi_dbm"":-50,""capabilities"":""[ESS]"",""batch_id"":1,""origin"":""initial_cache"",""results_updated"":null,""source_timestamp_unit"":""us""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",dbm,reported_power,dBm,-97,-97,available,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",ss_rsrp_dbm,ss_rsrp,dBm,-97,-97,available,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",ss_rsrq_db,ss_rsrq,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",ss_sinr_db,ss_sinr,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",csi_rsrp_dbm,csi_rsrp,dBm,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",csi_rsrq_db,csi_rsrq,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
6,988d445c-690e-4b3e-a54a-fca38f1769d2,5,cell,NR,0,985905257958,1789620847483,976766000000,976766000000,valid_reported_timestamp,9139257958,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":null}",csi_sinr_db,csi_sinr,dB,null,,unavailable,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":5,""kind"":""cell"",""received_elapsed_ns"":""985905257958"",""received_unix_ms"":1789620847483,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":null,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""initial_cache"",""subscription_scope"":""device_wide"",""source_timestamp_unit"":""ms""}}"
8,988d445c-690e-4b3e-a54a-fca38f1769d2,7,cell,NR,0,985913587714,1789620847491,976766000000,976766000000,valid_reported_timestamp,9147587714,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",dbm,reported_power,dBm,-97,-97,available,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""985913587714"",""received_unix_ms"":1789620847491,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""callback"",""subscription_scope"":""query_context"",""source_timestamp_unit"":""ms""}}"
8,988d445c-690e-4b3e-a54a-fca38f1769d2,7,cell,NR,0,985913587714,1789620847491,976766000000,976766000000,valid_reported_timestamp,9147587714,False,True,unique_timestamped_observation,"{""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""nrarfcn"":9000,""pci"":555,""tac"":8514},""kind"":""cell"",""rat"":""NR"",""subscription_id"":1}",ss_rsrp_dbm,ss_rsrp,dBm,-97,-97,available,"{""schema"":""atomos.radio.v1"",""session_id"":""988d445c-690e-4b3e-a54a-fca38f1769d2"",""seq"":7,""kind"":""cell"",""received_elapsed_ns"":""985913587714"",""received_unix_ms"":1789620847491,""source_elapsed_ns"":""976766000000"",""payload"":{""subscription_id"":1,""rat"":""NR"",""registered"":true,""connection_status"":1,""identity"":{""mcc"":""310"",""mnc"":""260"",""nci"":100500,""tac"":8514,""pci"":555,""nrarfcn"":9000},""signal"":{""dbm"":-97,""ss_rsrp_dbm"":-97,""ss_rsrq_db"":null,""ss_sinr_db"":null,""csi_rsrp_dbm"":null,""csi_rsrq_db"":null,""csi_sinr_db"":null},""origin"":""callback"",""subscription_scope"":""query_context"",""source_timestamp_unit"":""ms""}}"
