frame.number,frame.time_epoch,frame.len,frame.cap_len,frame.protocols,_ws.col.protocol,eth.src,eth.dst,eth.type,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.analysis.retransmission,udp.stream,udp.srcport,udp.dstport,udp.length,dns.id,dns.flags.response,dns.qry.name,dns.qry.type,dns.a,dns.aaaa,tls.record.content_type,tls.record.opaque_type,tls.handshake.type,tls.handshake.extensions_server_name,tls.handshake.extensions_alpn_str,http.request.method,http.host,http.request.uri,http.response.code,http.content_type,quic.version,_ws.expert.message,_ws.col.info
"1","1700000000.100000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"2","1700000001.101000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"3","1700000002.102000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"0","40003","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40003 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"4","1700000003.103000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"5","1700000004.104000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"6","1700000005.105000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"1","40006","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40006 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"7","1700000006.106000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"8","1700000007.107000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
"9","1700000008.108000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"2","40009","49152","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 49152","40009 → 49152 [SYN] Seq=0 Win=65535 Len=0"
"10","1700000009.109000000","61","61","eth:ethertype:ip:udp:data","UDP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"17",,,,,,,,,"0","49000","49001","27",,,,,,,,,,,,,,,,,,,"49000 → 49001 Len=19"
