frame.number,frame.time_epoch,frame.len,frame.cap_len,frame.protocols,_ws.col.protocol,eth.src,eth.dst,eth.type,ip.src,ip.dst,ipv6.src,ipv6.dst,ip.proto,ipv6.nxt,tcp.stream,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.analysis.retransmission,udp.stream,udp.srcport,udp.dstport,udp.length,dns.id,dns.flags.response,dns.qry.name,dns.qry.type,dns.a,dns.aaaa,tls.record.content_type,tls.record.opaque_type,tls.handshake.type,tls.handshake.extensions_server_name,tls.handshake.extensions_alpn_str,http.request.method,http.host,http.request.uri,http.response.code,http.content_type,quic.version,_ws.expert.message,_ws.col.info
"1","1700000000.100000000","72","72","eth:ethertype:ip:udp:dns","DNS","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","192.0.2.53",,,"17",,,,,,,,,"0","53000","53","38","0x1919","False","example.test","1",,,,,,,,,,,,,,,"Standard query 0x1919 A example.test"
"2","1700000001.101000000","88","88","eth:ethertype:ip:udp:dns","DNS","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.53","192.0.2.10",,,"17",,,,,,,,,"0","53","53000","54","0x1919","True","example.test","1","203.0.113.7",,,,,,,,,,,,,,"Standard query response 0x1919 A example.test A 203.0.113.7"
"3","1700000002.102000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"0","40000","80","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 80","40000 → 80 [SYN] Seq=0 Win=65535 Len=0"
"4","1700000003.103000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","198.51.100.20","192.0.2.10",,,"6",,"0","80","40000","0x0012","0","1",,,,,,,,,,,,,,,,,,,,,,,"Connection establish acknowledge (SYN+ACK): server port 80","80 → 40000 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"5","1700000004.104000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"0","40000","80","0x0010","1","1",,,,,,,,,,,,,,,,,,,,,,,,"40000 → 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","1700000005.105000000","120","120","eth:ethertype:ip:tcp:http","HTTP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"0","40000","80","0x0018","1","1",,,,,,,,,,,,,,,,,"GET","example.test","/synthetic",,,,,"GET /synthetic HTTP/1.1 "
"7","1700000006.106000000","129","129","eth:ethertype:ip:tcp:http:data-text-lines","HTTP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","198.51.100.20","192.0.2.10",,,"6",,"0","80","40000","0x0018","1","67",,,,,,,,,,,,,,,,,,,"/synthetic","200","text/plain",,,"HTTP/1.1 200 OK  (text/plain)"
"8","1700000007.107000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"1","40001","443","0x0002","0","0",,,,,,,,,,,,,,,,,,,,,,,"Connection establish request (SYN): server port 443","40001 → 443 [SYN] Seq=0 Win=65535 Len=0"
"9","1700000008.108000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","198.51.100.20","192.0.2.10",,,"6",,"1","443","40001","0x0012","0","1",,,,,,,,,,,,,,,,,,,,,,,"Connection establish acknowledge (SYN+ACK): server port 443","443 → 40001 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0"
"10","1700000009.109000000","54","54","eth:ethertype:ip:tcp","TCP","02:19:00:00:00:01","02:19:00:00:00:02","0x0800","192.0.2.10","198.51.100.20",,,"6",,"1","40001","443","0x0010","1","1",,,,,,,,,,,,,,,,,,,,,,,,"40001 → 443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
