epoch_id,channel,satellite_id,sx_rx_m,sy_rx_m,sz_rx_m,code_m,add_correction_m,sigma_m,ready
0,0,G01,-7778244.620116928,-680257.2714323524,22412597.29083683,21075002.0,-2.0,0.75,1
0,1,G02,-822273.9656201536,8496043.402612582,23877423.954530515,21175001.915852904,-1.9158529015192103,1.25,1
0,2,G03,8607662.612047408,11586129.510659128,22354000.402614675,21275001.909070257,-1.9090702573174319,1.75,1
0,3,G04,15770761.842014443,7987218.218953805,20965939.100514337,21375001.985888004,-1.9858879991940133,0.75,1
0,4,G05,14428301.079746772,18955768.53526334,3948735.9799734494,21475002.07568025,-2.0756802495307927,1.25,1
0,5,G06,22737929.389676966,10719715.56813917,5687167.243736092,21575002.09589243,-2.095892427466314,1.75,1
0,6,G07,24604362.68589746,2152853.7632556697,10956575.152828142,21675002.02794155,-2.0279415498198925,0.75,1
0,7,G08,21428750.29798546,-1490617.9920829055,17690397.93395982,21775001.93430134,-1.934301340128121,1.25,1
0,8,G09,17754536.343246575,-16470347.299181275,3929033.6942312447,21875001.901064176,-1.9010641753376618,1.75,1
0,9,G10,13359243.055244297,-16616116.766624857,15146474.348813161,21975001.958788153,-1.9587881514758243,0.75,1
0,10,G11,10736632.746167958,-10302006.17215746,23008762.369989533,22075002.05440211,-2.0544021110889368,1.25,1
0,11,G12,12465854.44302886,-2336809.2495734263,25206716.065888386,22175002.09999902,-2.0999990206550705,1.75,1
1,0,G01,-7784239.050894167,-610639.9165026322,22412522.847213097,21075001.935852904,-1.9158529015192103,0.75,1
1,1,G02,-803265.7711884691,8549572.847324744,23858985.135285243,21175001.92907026,-1.9090702573174319,1.25,1
1,2,G03,8635435.912815442,11610375.536796143,22330733.601992015,21275002.005888,-1.9858879991940133,1.75,1
1,3,G04,15788841.762655782,7988761.07740453,20951762.718578413,21375002.095680248,-2.0756802495307927,0.75,1
1,4,G05,14479771.581333531,18924426.6961299,3910810.5233168583,21475002.115892425,-2.095892427466314,1.25,1
1,5,G06,22766339.466796704,10669247.619346632,5668492.370280536,21575002.04794155,-2.0279415498198925,1.75,1
1,6,G07,24608172.45774411,2108600.9498946588,10956623.79639626,21675001.954301342,-1.934301340128121,0.75,1
1,7,G08,21421282.63884177,-1511643.8009828955,17697642.33544644,21775001.921064176,-1.9010641753376618,1.25,1
1,8,G09,17708324.995602522,-16510684.61063967,3967747.784963468,21875001.97878815,-1.9587881514758243,1.75,1
1,9,G10,13310573.963767702,-16620264.411478536,15184637.05041972,21975002.074402113,-2.0544021110889368,0.75,1
1,10,G11,10703929.502758767,-10282090.368269436,23032860.085747797,22075002.11999902,-2.0999990206550705,1.25,1
1,11,G12,12454699.205938516,-2316992.2102257363,25214049.42207531,22175002.073657293,-2.0536572918000435,1.75,1
2,0,G01,-7790027.247976819,-541180.6872424163,22412298.651578043,21075001.94907026,-1.9090702573174319,0.75,1
2,1,G02,-784154.740573471,8602876.547457185,23840481.64402459,21175002.025888,-1.9858879991940133,1.25,1
2,2,G03,8663210.562623229,11634434.79536828,22307478.463993933,21275002.11568025,-2.0756802495307927,1.75,1
2,3,G04,15806883.264117533,7990220.108376298,20937621.94181948,21375002.135892425,-2.095892427466314,0.75,1
2,4,G05,14531034.123405416,18892940.947324727,3873056.718424759,21475002.06794155,-2.0279415498198925,1.25,1
2,5,G06,22794543.232601564,10618788.170909118,5649977.487638062,21575001.97430134,-1.934301340128121,1.75,1
2,6,G07,24611851.12445702,2064448.6554227918,10956767.630992442,21675001.94106418,-1.9010641753376618,0.75,1
2,7,G08,21413774.57939813,-1532580.9314787216,17704912.13750662,21775001.998788156,-1.9587881514758243,1.25,1
2,8,G09,17662111.39687039,-16550711.17367585,4006442.4627257884,21875002.09440211,-2.0544021110889368,1.75,1
2,9,G10,13262008.279290752,-16624186.41187185,15222703.89906463,21975002.13999902,-2.0999990206550705,0.75,1
2,10,G11,10671358.384930145,-10262083.129988285,23056848.735348172,22075002.093657292,-2.0536572918000435,1.25,1
2,11,G12,12443624.968529118,-2297178.508632583,25221319.957406137,22175001.99798329,-1.9579832963173358,1.75,1
3,0,G01,-7795596.827964542,-472054.2094920089,22411926.951652095,21075002.045888,-1.9858879991940133,0.75,1
3,1,G02,-764990.5663114316,8655821.66502505,23821961.197469983,21175002.135680247,-2.0756802495307927,1.25,1
3,2,G03,8690916.004467228,11658248.282150773,22284293.91681831,21275002.155892424,-2.095892427466314,1.75,1
3,3,G04,15824840.95425927,7991592.550036818,20923552.282562427,21375002.087941553,-2.0279415498198925,0.75,1
3,4,G05,14581960.845108006,18861392.86930339,3835568.5208971156,21475001.994301338,-1.934301340128121,1.25,1
3,5,G06,22822471.369159568,10568465.280735807,5631667.821900685,21575001.961064175,-1.9010641753376618,1.75,1
3,6,G07,24615390.8100436,2020507.8877609745,10957005.222667057,21675002.018788155,-1.9587881514758243,0.75,1
3,7,G08,21406245.6368801,-1553377.2014382994,17712188.591359474,21775002.11440211,-2.0544021110889368,1.25,1
3,8,G09,17616012.935272515,-16590328.816008354,4045019.672875895,21875002.15999902,-2.0999990206550705,1.75,1
3,9,G10,13213668.17858983,-16627875.33433845,15260579.29183979,21975002.113657292,-2.0536572918000435,0.75,1
3,10,G11,10639000.626653995,-10242036.290785676,23080668.617878087,22075002.0179833,-1.9579832963173358,1.25,1
3,11,G12,12432658.943416389,-2277418.423893334,25228509.910627726,22175001.960939262,-1.900939264430513,1.75,1
4,0,G01,-7800937.368356859,-403434.3631639563,22411411.47065658,21075002.155680247,-2.0756802495307927,0.75,1
4,1,G02,-745824.1750090676,8708276.961254068,23803472.364040222,21175002.175892424,-2.095892427466314,1.25,1
4,2,G03,8718481.344481237,11681758.549519166,22261239.044953752,21275002.10794155,-2.0279415498198925,1.75,1
4,3,G04,15842669.608612733,7992876.448037042,20909589.067747068,21375002.014301337,-1.934301340128121,0.75,1
4,4,G05,14632425.33365868,18829865.824780084,3798438.638021769,21475001.981064174,-1.9010641753376618,1.25,1
4,5,G06,22850056.25906676,10518407.511074401,5613607.241376529,21575002.03878815,-1.9587881514758243,1.75,1
4,6,G07,24618784.88511941,1976889.1806567113,10957334.19960846,21675002.13440211,-2.0544021110889368,0.75,1
4,7,G08,21398715.813357953,-1573981.0569376652,17719452.613740966,21775002.17999902,-2.0999990206550705,1.25,1
4,8,G09,17570147.559642207,-16629441.955258619,4083381.1008972144,21875002.133657288,-2.0536572918000435,1.75,1
4,9,G10,13165675.38728412,-16631325.918964654,15298168.125083975,21975002.037983295,-1.9579832963173358,0.75,1
4,10,G11,10606936.541931905,-10222002.816505793,23104260.825657368,22075001.98093926,-1.900939264430513,1.25,1
4,11,G12,12421827.675613094,-2257762.4331175936,25235602.05367461,22175002.014971215,-1.9349712159842882,1.75,1
5,0,G01,-7806040.3993208045,-335493.8267181658,22410757.36993715,21075002.195892427,-2.095892427466314,0.75,1
5,1,G02,-726707.5669855932,8760113.121188736,23785064.416988194,21175002.127941553,-2.0279415498198925,1.25,1
5,2,G03,8745835.549560808,11704909.832664656,22238372.926820647,21275002.03430134,-1.934301340128121,1.75,1
5,3,G04,15860324.28936537,7994070.645820538,20895767.347030714,21375002.00106418,-1.9010641753376618,0.75,1
5,4,G05,14682302.938746344,18798444.700674176,3761758.3016940076,21475002.058788154,-1.9587881514758243,1.25,1
5,5,G06,22877232.136462405,10468743.572139226,5595838.163368488,21575002.15440211,-2.0544021110889368,1.75,1
5,6,G07,24622027.96171371,1933702.3041138796,10957751.275952842,21675002.199999027,-2.0999990206550705,0.75,1
5,7,G08,21391205.532786675,-1594341.6997731747,17726684.84463829,21775002.153657295,-2.0536572918000435,1.25,1
5,8,G09,17524633.45067399,-16667957.808946019,4121428.4426173493,21875002.057983298,-1.9579832963173358,1.75,1
5,9,G10,13118150.859645497,-16634535.053296747,15335376.041863184,21975002.000939265,-1.900939264430513,0.75,1
5,10,G11,10575245.32507635,-10202036.641404612,23127567.388566315,22075002.034971222,-1.9349712159842882,1.25,1
5,11,G12,12411156.983269677,-2238261.071501646,25242579.7283125,22175002.128790334,-2.0287903316665066,1.75,1
6,0,G01,-7810899.376654874,-268403.62467882177,22409971.197157715,21075002.147941552,-2.0279415498198925,0.75,1
6,1,G02,-707693.6426900132,8811203.065934723,23766787.17808522,21175002.054301344,-1.934301340128121,1.25,1
6,2,G03,8772907.649976358,11727648.162072254,22215754.46946338,21275002.021064177,-1.9010641753376618,1.75,1
6,3,G04,15877760.463808399,7995174.767132924,20882121.80183714,21375002.078788154,-1.9587881514758243,0.75,1
6,4,G05,14731471.075916909,18767215.63071966,3725617.051223927,21475002.17440211,-2.0544021110889368,1.25,1
6,5,G06,22903935.223154005,10419601.957727576,5578401.473086166,21575002.219999027,-2.0999990206550705,1.75,1
