trajectory_id,step,before,drive,x,asa,na,hits,output,j,k,after
0,0,0,5,5,5,5,0,5,5,0,5
0,1,5,5,5,5,5,0,5,5,0,5
0,2,5,5,5,5,5,0,5,5,0,5
0,3,5,5,5,5,5,0,5,5,0,5
0,4,5,5,5,5,5,0,5,5,0,5
0,5,5,5,5,5,5,0,5,5,0,5
1,0,0,15,15,15,15,0,15,15,15,15
1,1,15,15,15,15,15,0,15,15,15,0
1,2,0,15,15,15,15,0,15,15,15,15
1,3,15,15,15,15,15,0,15,15,15,0
1,4,0,15,15,15,15,0,15,15,15,15
1,5,15,15,15,15,15,0,15,15,15,0
1,6,0,15,15,15,15,0,15,15,15,15
1,7,15,15,15,15,15,0,15,15,15,0
2,0,2,15,15,15,15,1,0,0,0,2
2,1,2,15,15,15,15,1,0,0,0,2
2,2,2,15,15,15,15,1,0,0,0,2
2,3,2,15,15,15,15,1,0,0,0,2
3,0,2147483648,2147483648,0,0,0,0,0,4294967295,4294967295,0
3,1,0,2147483648,2147483648,2147483648,2147483648,0,2147483648,4294967295,4294967295,2147483648
3,2,2147483648,2147483648,0,0,0,0,0,4294967295,4294967295,0
3,3,0,2147483648,2147483648,2147483648,2147483648,0,2147483648,4294967295,4294967295,2147483648
3,4,2147483648,2147483648,0,0,0,0,0,4294967295,4294967295,0
3,5,0,2147483648,2147483648,2147483648,2147483648,0,2147483648,4294967295,4294967295,2147483648
4,0,10,12,6,6,6,0,6,12,12,6
4,1,6,12,10,10,2,0,2,4,12,2
4,2,2,12,14,14,6,0,6,4,12,6
4,3,6,12,10,10,2,0,2,4,12,2
4,4,2,12,14,14,6,0,6,4,12,6
4,5,6,12,10,10,2,0,2,4,12,2
4,6,2,12,14,14,6,0,6,4,12,6
4,7,6,12,10,10,2,0,2,4,12,2
5,0,0,4294967295,4294967295,0,0,0,0,0,0,0
5,1,0,4294967295,4294967295,0,0,0,0,0,0,0
