epoch_id,channel,residual_m
0,0,3.7252902984619141e-09
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,3.7252902984619141e-09
0,9,3.7252902984619141e-09
0,10,0
0,11,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,-3.7252902984619141e-09
1,8,-3.7252902984619141e-09
1,9,0
1,10,0
1,11,0
2,0,3.7252902984619141e-09
2,1,0
2,2,3.7252902984619141e-09
2,3,0
2,4,0
2,5,-3.7252902984619141e-09
2,6,0
2,7,3.7252902984619141e-09
2,8,-3.7252902984619141e-09
2,9,3.7252902984619141e-09
2,10,0
2,11,0
3,0,0
3,1,0
3,2,-3.7252902984619141e-09
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
4,0,0
4,1,-3.7252902984619141e-09
4,2,-3.7252902984619141e-09
4,3,-3.7252902984619141e-09
4,4,-3.7252902984619141e-09
4,5,-3.7252902984619141e-09
4,6,0
4,7,0
4,8,-3.7252902984619141e-09
4,9,0
4,10,0
4,11,0
5,0,3.7252902984619141e-09
5,1,3.7252902984619141e-09
5,2,-3.7252902984619141e-09
5,3,3.7252902984619141e-09
5,4,0
5,5,0
5,6,0
5,7,3.7252902984619141e-09
5,8,3.7252902984619141e-09
5,9,3.7252902984619141e-09
5,10,7.4505805969238281e-09
5,11,3.7252902984619141e-09
6,0,0
6,1,0
6,2,-3.7252902984619141e-09
6,3,0
6,4,0
6,5,0
6,6,0
6,7,-3.7252902984619141e-09
6,8,-3.7252902984619141e-09
6,9,0
6,10,0
6,11,0
7,0,0
7,1,-3.7252902984619141e-09
7,2,0
7,3,-3.7252902984619141e-09
7,4,0
7,5,-3.7252902984619141e-09
7,6,-3.7252902984619141e-09
7,7,-3.7252902984619141e-09
7,8,-7.4505805969238281e-09
7,9,-7.4505805969238281e-09
7,10,-3.7252902984619141e-09
7,11,0
8,0,0
8,1,0
8,2,0
8,3,-3.7252902984619141e-09
8,4,0
8,5,-3.7252902984619141e-09
8,6,-3.7252902984619141e-09
8,7,-7.4505805969238281e-09
8,8,-3.7252902984619141e-09
8,9,-3.7252902984619141e-09
8,10,-3.7252902984619141e-09
8,11,0
9,0,0
9,1,0
9,2,3.7252902984619141e-09
9,3,3.7252902984619141e-09
9,4,0
9,5,3.7252902984619141e-09
9,6,0
9,7,-3.7252902984619141e-09
9,8,3.7252902984619141e-09
9,9,3.7252902984619141e-09
9,10,0
9,11,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,-3.7252902984619141e-09
10,8,0
10,9,0
10,10,0
10,11,-3.7252902984619141e-09
11,0,-3.7252902984619141e-09
11,1,-3.7252902984619141e-09
11,2,0
11,3,0
11,4,3.7252902984619141e-09
11,5,-3.7252902984619141e-09
11,6,-3.7252902984619141e-09
11,7,0
11,8,-7.4505805969238281e-09
11,9,0
11,10,0
11,11,0
12,0,-3.7252902984619141e-09
12,1,-3.7252902984619141e-09
12,2,0
12,3,0
12,4,0
12,5,0
12,6,-3.7252902984619141e-09
12,7,-3.7252902984619141e-09
12,8,0
12,9,-3.7252902984619141e-09
12,10,-3.7252902984619141e-09
12,11,0
13,0,0
13,1,0
13,2,0
13,3,3.7252902984619141e-09
13,4,3.7252902984619141e-09
13,5,0
13,6,-3.7252902984619141e-09
13,7,0
13,8,0
13,9,0
13,10,-3.7252902984619141e-09
13,11,0
14,0,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,3.7252902984619141e-09
14,6,0
14,7,0
14,8,3.7252902984619141e-09
14,9,0
14,10,0
14,11,0
15,0,0
15,1,-3.7252902984619141e-09
15,2,0
15,3,0
15,4,3.7252902984619141e-09
15,5,0
15,6,3.7252902984619141e-09
15,7,3.7252902984619141e-09
15,8,3.7252902984619141e-09
15,9,0
15,10,3.7252902984619141e-09
15,11,3.7252902984619141e-09
16,0,3.7252902984619141e-09
16,1,3.7252902984619141e-09
16,2,3.7252902984619141e-09
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,7.4505805969238281e-09
16,9,3.7252902984619141e-09
16,10,0
16,11,3.7252902984619141e-09
17,0,0
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,-3.7252902984619141e-09
18,0,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,-3.7252902984619141e-09
18,9,0
18,10,0
18,11,0
19,0,0
19,1,3.7252902984619141e-09
19,2,0
19,3,3.7252902984619141e-09
19,4,0
19,5,0
19,6,0
19,7,3.7252902984619141e-09
19,8,0
19,9,0
19,10,0
19,11,-3.7252902984619141e-09
20,0,-3.7252902984619141e-09
20,1,-3.7252902984619141e-09
20,2,-3.7252902984619141e-09
20,3,-3.7252902984619141e-09
20,4,-3.7252902984619141e-09
20,5,0
20,6,-3.7252902984619141e-09
20,7,0
20,8,-3.7252902984619141e-09
20,9,-3.7252902984619141e-09
20,10,-3.7252902984619141e-09
20,11,-3.7252902984619141e-09
21,0,-3.7252902984619141e-09
21,1,0
21,2,0
21,3,0
21,4,-3.7252902984619141e-09
21,5,-3.7252902984619141e-09
21,6,0
21,7,0
21,8,-3.7252902984619141e-09
21,9,0
21,10,0
21,11,0
22,0,0
22,1,0
22,2,3.7252902984619141e-09
22,3,3.7252902984619141e-09
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,3.7252902984619141e-09
22,10,3.7252902984619141e-09
22,11,3.7252902984619141e-09
23,0,0
23,1,3.7252902984619141e-09
23,2,0
23,3,0
23,4,0
23,5,0
23,6,0
23,7,0
23,8,-3.7252902984619141e-09
23,9,0
23,10,0
23,11,3.7252902984619141e-09
24,0,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,0
24,9,0
24,10,-3.7252902984619141e-09
24,11,0
25,0,0
25,1,0
25,2,0
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,-3.7252902984619141e-09
25,9,0
25,10,-3.7252902984619141e-09
25,11,0
26,0,0
26,1,0
26,2,0
26,3,0
26,4,3.7252902984619141e-09
26,5,0
26,6,0
