epoch_id,t_rx_gpst_s,status,fit,iterations,used,asa,na,hits,active,x_m,y_m,z_m,clock_bias_m,var_x_m2,var_y_m2,var_z_m2,var_clock_m2,rms_m,weighted_sse,max_normalized
0,1400000000,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920120.4984929054,343217.05823310569,5002808.2671809541,74999.999999998065,0.61384333867016894,0.41578627642227856,1.6795653739951355,0.95750013203596129,1.862645149230957e-09,5.3874768088386277e-17,4.9670537312825518e-09
1,1400000001,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920119.9846683899,343218.51900904626,5002809.0743893608,75000.019999999116,0.61353155263375569,0.41588959450297552,1.6797738419508494,0.95750013203595996,1.5208433958286904e-09,1.3413306746491688e-17,2.9802322387695314e-09
2,1400000002,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920119.4683967237,343219.97957088362,5002809.8784535965,75000.039999999484,0.61322509303061878,0.41599225708865772,1.6799776389683048,0.95750013203596041,2.6341780319308772e-09,7.1819597384368399e-17,4.9670537312825518e-09
3,1400000003,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920118.9472552142,343221.43970666616,5002810.6762609007,75000.059999997364,0.61292467783201077,0.4160940119770008,1.6801762992785694,0.95750013203595996,1.0753986783132436e-09,4.5315225494904345e-18,2.1287373134068079e-09
4,1400000004,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920118.4188698228,343222.89920869126,5002811.4647610467,75000.080000000235,0.61263097620542895,0.41619461218728471,1.6803694006948664,0.95750013203595996,2.6341780319308772e-09,5.6029758811921737e-17,4.9670537312825518e-09
5,1400000005,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920117.8809388843,343224.35787558544,5002812.2409967761,75000.099999999162,0.61234460762685017,0.41629381650328168,1.6805565649574523,0.95750013203596218,3.7252902984619141e-09,1.4090014113882258e-16,5.9604644775390628e-09
6,1400000006,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920117.3312561209,343225.81551433279,5002813.0021334011,75000.120000000446,0.61206614145071736,0.41639138997218161,1.6807374576646836,0.95750013203596085,1.862645149230957e-09,1.7944829295982122e-17,2.9802322387695314e-09
7,1400000007,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920116.7677326635,343227.27194217802,5002813.7454870809,75000.140000002968,0.61179609692807224,0.41648710435944464,1.6809117878000648,0.95750013203595996,4.0237734084376822e-09,1.9733270195514346e-16,9.9341074625651036e-09
8,1400000008,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920116.1884179423,343228.72698846174,5002814.4685516534,75000.160000000018,0.61153494365866812,0.41658073855987326,1.6810793068690408,0.95750013203596085,3.4007092162045721e-09,1.2748683439233093e-16,5.9604644775390628e-09
9,1400000009,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920115.5915191709,343230.18049634411,5002815.1690236945,75000.180000000735,0.61128310245864581,0.41667207896561503,1.6812398076633186,0.95750013203595929,2.6341780319308772e-09,7.1819597384368399e-17,4.9670537312825518e-09
10,1400000010,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920114.9754192391,343231.63232433901,5002815.8448255006,75000.199999999633,0.61104094662122233,0.41676091979216728,1.6813931226741907,0.95750013203595996,1.5208433958286904e-09,1.3413306746491688e-17,2.9802322387695314e-09
11,1400000011,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920114.3386929147,343233.08234776004,5002816.4941258756,75000.220000002024,0.61080880354401046,0.41684706336380795,1.6815391221797618,0.95750013203595974,3.2261960349397309e-09,8.9764426680350514e-17,4.9670537312825518e-09
12,1400000012,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920113.6801210358,343234.53045994462,5002817.1153584095,75000.239999998885,0.61058695669311736,0.41693032036019256,1.6816777120342714,0.95750013203596041,2.6341780319308772e-09,1.0066022089934753e-16,4.9670537312825518e-09
13,1400000013,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920112.998702731,343235.9765733243,5002817.7072371496,75000.260000004724,0.61037564787092524,0.41701051002612133,1.6818088311905333,0.95750013203595974,2.1507973566264873e-09,6.7106813932898364e-17,4.9670537312825518e-09
14,1400000014,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920112.2936653779,343237.42062030378,5002818.2687694179,75000.280000001061,0.61017507975175711,0.41708746034674399,1.6819324489890812,0.95750013203596085,1.5208433958286904e-09,9.063045098980869e-18,2.1287373134068079e-09
15,1400000015,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920111.5644723806,343238.86255393625,5002818.7992657619,75000.299999998475,0.60998541864714872,0.41716100819064633,1.6820485622497885,0.95750013203596129,2.8452374630643926e-09,6.9261804656433805e-17,4.9670537312825518e-09
16,1400000016,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920110.8108284776,343240.30234839371,5002819.2983468352,75000.319999999134,0.60980679746059163,0.41723099942344066,1.6821571922035488,0.95750013203595996,3.2261960349397309e-09,8.5414165032839706e-17,4.9670537312825518e-09
17,1400000017,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920110.0326827108,343241.73999921838,5002819.7659471557,75000.339999995442,0.60963931879005673,0.41729728899459684,1.6822583813029297,0.95750013203596174,1.0753986783132436e-09,4.5315225494904345e-18,2.1287373134068079e-09
18,1400000018,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920109.2302289526,343243.17552337068,5002820.2023158213,75000.360000000132,0.60948305813556258,0.41735974100032996,1.6823521899516924,0.95750013203596174,1.0753986783132436e-09,4.5315225494904345e-18,2.1287373134068079e-09
19,1400000019,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920108.4039039407,343244.60895905731,5002820.6080139633,75000.379999998171,0.60933806716857153,0.41741822872540862,1.6824386931936011,0.95750013203596041,2.1507973566264873e-09,4.6966713712940864e-17,4.9670537312825518e-09
20,1400000020,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920107.5543829226,343246.0403653541,5002820.9839091646,75000.400000001711,0.60920437701979935,0.417472634666744,1.682517977401037,0.95750013203595996,3.4007092162045721e-09,1.3892641131726676e-16,4.9670537312825518e-09
21,1400000021,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920106.6825729255,343247.46982161677,5002821.331166801,75000.420000006765,0.60908200154249026,0.41752285054159077,1.6825901370034975,0.95750013203595929,2.1507973566264873e-09,4.2616452065430043e-17,4.9670537312825518e-09
22,1400000022,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920105.7896036706,343248.89742668514,5002821.651238366,75000.44000000153,0.60897094050903666,0.41756877728313319,1.6826552712954108,0.95750013203596041,2.4046645476218417e-09,6.7288074834877971e-17,4.9670537312825518e-09
23,1400000023,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920104.8768162997,343250.32329789398,5002821.9458470112,75000.460000001665,0.60887118270012297,0.41761032502611489,1.6827134813613445,0.95750013203596129,1.862645149230957e-09,1.7944829295982122e-17,2.9802322387695314e-09
24,1400000024,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920103.9457499715,343251.74756990472,5002822.2169702826,75000.480000000418,0.60878270884730801,0.41764741308506087,1.6827648671552113,0.95750013203595974,1.0753986783132436e-09,8.881784197001254e-18,2.9802322387695314e-09
25,1400000025,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920102.9981264817,343253.170393351,5002822.4668204049,75000.500000000611,0.6087054943921395,0.41767996992747836,1.6828095247679633,0.95750013203595974,1.5208433958286904e-09,1.3413306746491688e-17,2.9802322387695314e-09
26,1400000026,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920102.0358330566,343254.5919333389,5002822.6978221415,75000.519999997938,0.60863951202740996,0.41770793314424548,1.6828475439159258,0.95750013203596085,1.862645149230957e-09,4.243519116345043e-17,4.9670537312825518e-09
27,1400000027,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920101.0609034994,343256.01236780907,5002822.912588588,75000.53999999637,0.60858473398908552,0.41773124941920842,1.6828790056792899,0.95750013203596174,3.7252902984619141e-09,1.8826965685616261e-16,9.9341074625651036e-09
28,1400000028,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920100.075497875,343257.43188574538,5002823.1138950605,75000.55999999796,0.60854113407069155,0.41774987449977224,1.6829039805171204,0.95750013203596174,2.6341780319308772e-09,7.6169859031879219e-17,4.9670537312825518e-09
29,1400000029,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920099.0818809206,343258.85068528127,5002823.3046513619,75000.57999999779,0.60850868933541913,0.41776377317006524,1.682922526582096,0.95750013203595996,1.862645149230957e-09,5.3874768088386277e-17,4.9670537312825518e-09
30,1400000030,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920098.0823994074,343260.26897173683,5002823.4878727011,75000.600000003207,0.60848738150503834,0.4177729192279836,1.6829346883545584,0.95750013203595996,1.5208433958286904e-09,3.3553406966449176e-17,4.9670537312825518e-09
31,1400000031,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920097.0794587182,343261.68695555441,5002823.6666495837,75000.620000002076,0.6084771980087037,0.41777729546718845,1.6829404956116893,0.95750013203596085,3.0416867916573809e-09,5.3653226985966751e-17,2.9802322387695314e-09
32,1400000032,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920096.0754987923,343263.10485019773,5002823.8441169159,75000.640000001004,0.60847813267887929,0.41777689366485093,1.6829399627438486,0.95750013203595885,3.2261960349397309e-09,8.7025373050436326e-17,5.9604644775390628e-09
33,1400000033,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920095.0729697491,343264.52287002793,5002824.023422691,75000.659999998868,0.60849018608595751,0.41777171457567236,1.6829330884259524,0.95750013203596129,1.0753986783132436e-09,8.881784197001254e-18,2.9802322387695314e-09
34,1400000034,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920094.0743074198,343265.94122815004,5002824.2076965412,75000.679999999353,0.60851336550748181,0.41776176793243808,1.6829198556476597,0.95750013203595974,1.5208433958286904e-09,1.3413306746491688e-17,2.9802322387695314e-09
35,1400000035,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920093.0819089925,343267.36013429658,5002824.4000184415,75000.699999998847,0.60854768453239005,0.41774707245307541,1.6829002321021145,0.95750013203596041,1.862645149230957e-09,1.3594567648471304e-17,2.1287373134068079e-09
36,1400000036,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920092.098109067,343268.77979270765,5002824.6033879733,75000.719999996334,0.60859316230502936,0.41772765585392052,1.6828741709286328,0.95750013203596085,2.8452374630643926e-09,1.0084148180132715e-16,4.9670537312825518e-09
37,1400000037,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920091.125156349,343270.20040013391,5002824.8206943227,75000.74000000261,0.6086498224181649,0.41770355486861632,1.6828416118007989,0.95750013203596041,1.5208433958286904e-09,1.3413306746491688e-17,2.9802322387695314e-09
38,1400000038,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920090.1651911284,343271.62214381661,5002825.0546874134,75000.759999998438,0.60871769146842392,0.41767481527180256,1.6828024823473551,0.95750013203596129,1.862645149230957e-09,5.3874768088386277e-17,4.9670537312825518e-09
39,1400000039,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920089.2202239712,343273.04519965837,5002825.3079504715,75000.780000001701,0.60879679729178793,0.41764149190648331,1.68275669988931,0.95750013203595996,1.0753986783132436e-09,8.881784197001254e-18,2.9802322387695314e-09
40,1400000040,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920088.2921155458,343274.46973045141,5002825.5828741491,75000.799999999057,0.6088871669007232,0.41760364871371902,1.6827041734731396,0.95750013203596085,2.1507973566264873e-09,4.6966713712940864e-17,4.9670537312825518e-09
41,1400000041,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920087.3825581018,343275.8958842408,5002825.8816326968,75000.820000001055,0.60898882414825151,0.41756135876302686,1.6826448061763037,0.95750013203596085,2.1507973566264873e-09,4.2616452065430043e-17,4.9670537312825518e-09
42,1400000042,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920086.4930585143,343277.32379286899,5002826.206162205,75000.83999999988,0.60910178714778129,0.41751470428166848,1.6825784976581331,0.95750013203596085,2.4046645476218417e-09,8.3077913407324633e-17,4.9670537312825518e-09
