epoch_id,x_m,y_m,z_m,clock_bias_m,fixture_class
0,3920120.498492907,343217.0582331092,5002808.267180957,75000.0,noiseless
1,3920119.9846683894,343218.51900904515,5002809.074389361,75000.02,noiseless
2,3920119.4683967237,343219.97957088344,5002809.878453594,75000.04,noiseless
3,3920118.947255214,343221.4397066656,5002810.676260901,75000.06,noiseless
4,3920118.418869821,343222.89920869004,5002811.464761044,75000.08,noiseless
5,3920117.880938885,343224.35787558765,5002812.240996778,75000.1,noiseless
6,3920117.3312561205,343225.81551433355,5002813.002133402,75000.12,noiseless
7,3920116.767732665,343227.27194217587,5002813.74548708,75000.14,noiseless
8,3920116.1884179446,343228.72698846157,5002814.468551654,75000.16,noiseless
9,3920115.591519169,343230.1804963417,5002815.169023693,75000.18,noiseless
10,3920114.975419241,343231.6323243387,5002815.844825499,75000.2,noiseless
11,3920114.3386929147,343233.08234775974,5002816.494125874,75000.22,noiseless
12,3920113.6801210367,343234.5304599426,5002817.11535841,75000.24,noiseless
13,3920112.998702727,343235.9765733217,5002817.707237148,75000.26,noiseless
14,3920112.2936653793,343237.4206203027,5002818.268769418,75000.28,noiseless
15,3920111.5644723815,343238.86255393823,5002818.799265766,75000.3,noiseless
16,3920110.810828477,343240.30234839657,5002819.298346834,75000.32,noiseless
17,3920110.0326827136,343241.73999922,5002819.765947159,75000.34,noiseless
18,3920109.230228954,343243.17552336934,5002820.202315824,75000.36,noiseless
19,3920108.403903939,343244.60895905446,5002820.608013963,75000.38,noiseless
20,3920107.554382922,343246.04036535235,5002820.983909165,75000.4,noiseless
21,3920106.6825729236,343247.46982161707,5002821.331166796,75000.42,noiseless
22,3920105.7896036697,343248.8974266868,5002821.651238364,75000.44,noiseless
23,3920104.8768163,343250.3232978961,5002821.945847007,75000.46,noiseless
24,3920103.9457499725,343251.74756990373,5002822.216970283,75000.48,noiseless
25,3920102.998126482,343253.17039334733,5002822.466820405,75000.5,noiseless
26,3920102.035833056,343254.59193333786,5002822.697822141,75000.52,noiseless
27,3920101.0609035003,343256.01236781036,5002822.91258859,75000.54,noiseless
28,3920100.075497876,343257.43188574555,5002823.113895063,75000.56,noiseless
29,3920099.0818809182,343258.8506852822,5002823.304651361,75000.58,noiseless
30,3920098.0823994065,343260.26897173683,5002823.4878727,75000.6,noiseless
31,3920097.0794587173,343261.6869555526,5002823.666649582,75000.62,noiseless
32,3920096.07549879,343263.1048501967,5002823.844116914,75000.64,noiseless
33,3920095.072969748,343264.52287002694,5002824.023422692,75000.66,noiseless
34,3920094.074307417,343265.9412281506,5002824.20769654,75000.68,noiseless
35,3920093.081908989,343267.36013429484,5002824.400018443,75000.7,noiseless
36,3920092.0981090693,343268.7797927109,5002824.603387974,75000.72,noiseless
37,3920091.1251563476,343270.20040013397,5002824.82069432,75000.74,noiseless
38,3920090.165191134,343271.62214381667,5002825.054687416,75000.76,noiseless
39,3920089.220223971,343273.04519965884,5002825.30795047,75000.78,noiseless
40,3920088.2921155463,343274.4697304495,5002825.582874149,75000.8,noiseless
41,3920087.382558099,343275.89588424034,5002825.881632696,75000.82,noiseless
42,3920086.493058515,343277.32379286684,5002826.206162203,75000.84,noiseless
43,3920085.624923267,343278.75357063056,5002826.558141267,75000.86,noiseless
44,3920084.779245363,343280.1853131573,5002826.938974219,75000.88,noiseless
45,3920083.956893425,343281.6190964416,5002827.34977709,75000.9,noiseless
46,3920083.158503009,343283.0549760874,5002827.791366463,75000.92,noiseless
47,3920082.3844702556,343284.4929867526,5002828.26425131,75000.94,noiseless
48,3920081.634947932,343285.93314180255,5002828.768627913,75000.96,noiseless
49,3920080.9098439044,343287.3754331766,5002829.304377895,75000.98,noiseless
50,3920080.208822061,343288.8198314687,5002829.871069409,75001.0,noiseless
51,3920079.531305667,343290.2662862212,5002830.467961448,75001.02,noiseless
52,3920078.8764831307,343291.71472642897,5002831.094011255,75001.04,noiseless
53,3920078.243316109,343293.16506124876,5002831.747884734,75001.06,noiseless
54,3920077.630549886,343294.61718090717,5002832.427969786,75001.08,noiseless
55,3920077.0367259057,343296.07095779706,5002833.132392417,75001.1,noiseless
56,3920076.4601963493,343297.526247753,5002833.859035456,75001.12,noiseless
57,3920075.899140597,343298.9828914914,5002834.605559714,75001.14,noiseless
58,3920075.35158342,343300.4407162021,5002835.369427358,75001.16,noiseless
59,3920074.8154147156,343301.899537275,5002836.147927263,75001.18,noiseless
60,3920074.2884105924,343303.35916014493,5002836.938202104,75001.2,noiseless
61,3920073.7682555886,343304.8193822352,5002837.737276903,75001.22,noiseless
62,3920073.252565809,343306.2799949818,5002838.542088761,75001.24,noiseless
63,3920072.7389127426,343307.74078591785,5002839.349517451,75001.26,noiseless
64,3920072.224847528,343309.2015407956,5002840.156416601,75001.28,noiseless
65,3920071.707925424,343310.6620457279,5002840.95964513,75001.3,noiseless
66,3920071.1857302315,343312.12208932475,5002841.756098633,75001.32,noiseless
67,3920070.6558984406,343313.58146480576,5002842.542740399,75001.34,noiseless
68,3920070.1161428425,343315.0399720661,5002843.316631751,75001.36,noiseless
69,3920069.564275384,343316.4974196761,5002844.074961414,75001.38,noiseless
70,3920068.9982290305,343317.95362679346,5002844.815073594,75001.4,noiseless
71,3920068.4160784176,343319.40842497064,5002845.534494526,75001.42,noiseless
72,3920067.816059089,343320.8616598378,5002846.230957182,75001.44,noiseless
73,3920067.1965851267,343322.3131926451,5002846.902423926,75001.46,noiseless
74,3920066.556264998,343323.7629016491,5002847.547106871,75001.48,noiseless
75,3920065.893915457,343325.2106833293,5002848.163485751,75001.5,noiseless
76,3920065.2085733693,343326.6564534223,5002848.750323097,75001.52,noiseless
77,3920064.4995053336,343328.10014776385,5002849.306676616,75001.54,noiseless
78,3920063.766215011,343329.54172292986,5002849.831908594,75001.56,noiseless
79,3920063.008448084,343330.98115667043,5002850.325692276,75001.58,noiseless
80,3920062.226194796,343332.41844813206,5002850.788015128,75001.6,noiseless
81,3920061.419690051,343333.8536178661,5002851.219178961,75001.62,noiseless
82,3920060.5894110664,343335.2867076237,5002851.619796918,75001.64,noiseless
83,3920059.7360726013,343336.7177799382,5002851.990787345,75001.66,noiseless
84,3920058.86061982,343338.1469175007,5002852.333364617,75001.68,noiseless
85,3920057.964218845,343339.57422233373,5002852.649027005,75001.7,noiseless
86,3920057.0482451054,343340.99981477176,5002852.939541701,75001.72,noiseless
87,3920056.1142695965,343342.42383225897,5002853.20692717,75001.74,noiseless
88,3920055.1640431792,343343.84642797604,5002853.453432972,75001.76,noiseless
89,3920054.19947909,343345.2677693093,5002853.681517291,75001.78,noiseless
90,3920053.222633822,343346.68803617865,5002853.893822373,75001.8,noiseless
