epoch_id,t_rx_gpst_s,status,fit,iterations,used,asa,na,hits,active,x_m,y_m,z_m,clock_bias_m,var_x_m2,var_y_m2,var_z_m2,var_clock_m2,rms_m,weighted_sse,max_normalized
0,1400000000,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920120.4984929101,343217.05823310721,5002808.267180955,74999.999999997919,0.61384333867016871,0.41578627642227856,1.6795653739951357,0.95750013203596085,3.5666939160091359e-09,1.0317773342684221e-16,4.9670537312825518e-09
1,1400000001,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920119.9846683894,343218.51900904567,5002809.074389359,75000.019999998331,0.61353155263375603,0.41588959450297569,1.679773841950851,0.95750013203596129,2.8452374630643926e-09,6.9261804656433805e-17,5.9604644775390628e-09
2,1400000002,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920119.4683967223,343219.97957088274,5002809.8784535928,75000.039999997811,0.6132250930306189,0.41599225708865761,1.6799776389683063,0.95750013203596085,2.6341780319308772e-09,8.7609435956815073e-17,4.9670537312825518e-09
3,1400000003,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920118.9472552133,343221.43970666651,5002810.6762609016,75000.059999999154,0.61292467783201032,0.41609401197700097,1.6801762992785703,0.95750013203596041,2.4046645476218417e-09,7.1638336482388779e-17,4.9670537312825518e-09
4,1400000004,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920118.4188698214,343222.8992086912,5002811.4647610476,75000.080000000424,0.61263097620542906,0.41619461218728482,1.6803694006948657,0.95750013203595929,2.8452374630643926e-09,8.0701381581369659e-17,4.9670537312825518e-09
5,1400000005,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920117.8809388843,343224.35787558492,5002812.2409967771,75000.100000000966,0.6123446076268495,0.41629381650328157,1.6805565649574519,0.95750013203596129,2.1507973566264873e-09,4.2616452065430043e-17,4.9670537312825518e-09
6,1400000006,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920117.3312561209,343225.81551433285,5002813.0021333992,75000.11999999726,0.61206614145071758,0.41639138997218161,1.6807374576646834,0.95750013203596085,2.1507973566264873e-09,6.2756552285387531e-17,4.9670537312825518e-09
7,1400000007,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920116.7677326659,343227.2719421761,5002813.7454870818,75000.140000001775,0.61179609692807269,0.41648710435944464,1.6809117878000659,0.95750013203596041,2.8452374630643926e-09,6.4911543008922985e-17,4.9670537312825518e-09
8,1400000008,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920116.1884179469,343228.72698846128,5002814.4685516544,75000.160000000149,0.61153494365866745,0.41658073855987315,1.6810793068690415,0.95750013203595996,2.8452374630643926e-09,3.6070919493943863e-17,4.2574746268136158e-09
9,1400000009,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920115.59151917,343230.18049634289,5002815.1690236963,75000.180000002074,0.61128310245864603,0.41667207896561487,1.6812398076633204,0.95750013203595974,2.4046645476218417e-09,7.5988598129899599e-17,4.9670537312825518e-09
10,1400000010,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920114.9754192424,343231.63232433656,5002815.8448254969,75000.199999997523,0.61104094662122144,0.41676091979216728,1.6813931226741929,0.95750013203596041,2.4046645476218417e-09,7.1638336482388779e-17,4.9670537312825518e-09
11,1400000011,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920114.3386929147,343233.08234776132,5002816.4941258729,75000.219999997731,0.61080880354401157,0.41684706336380811,1.6815391221797598,0.95750013203596041,2.6341780319308772e-09,4.8940443534496704e-17,5.9604644775390628e-09
12,1400000012,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920113.6801210381,343234.53045994125,5002817.1153584095,75000.239999996265,0.61058695669311669,0.41693032036019245,1.6816777120342716,0.95750013203596041,3.5666939160091359e-09,1.2331783364679968e-16,4.9670537312825518e-09
13,1400000013,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920112.9987027282,343235.97657332395,5002817.7072371468,75000.260000001785,0.61037564787092524,0.41701051002612133,1.6818088311905339,0.95750013203595974,1.862645149230957e-09,3.808492951593961e-17,4.9670537312825518e-09
14,1400000014,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920112.2936653784,343237.42062030348,5002818.2687694151,75000.280000000697,0.61017507975175689,0.41708746034674415,1.6819324489890806,0.95750013203596129,2.4046645476218417e-09,4.7147974614920477e-17,4.9670537312825518e-09
15,1400000015,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920111.5644723801,343238.86255393852,5002818.7992657609,75000.299999996336,0.60998541864714884,0.4171610081906465,1.6820485622497869,0.95750013203596129,2.8452374630643926e-09,6.4911543008922985e-17,4.9670537312825518e-09
16,1400000016,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920110.810828479,343240.30234839412,5002819.2983468361,75000.320000000458,0.60980679746059163,0.41723099942344066,1.6821571922035488,0.95750013203595974,4.1650011716406603e-09,1.7302360098965477e-16,9.9341074625651036e-09
17,1400000017,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920110.0326827108,343241.73999922012,5002819.7659471584,75000.339999999473,0.60963931879005651,0.41729728899459662,1.6822583813029277,0.95750013203595996,3.0416867916573809e-09,4.4952703690945117e-17,4.2574746268136158e-09
18,1400000018,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920109.230228954,343243.17552336917,5002820.202315825,75000.360000002256,0.60948305813556147,0.4173597410003298,1.6823521899516904,0.95750013203596041,2.6341780319308772e-09,7.1819597384368399e-17,4.9670537312825518e-09
19,1400000019,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920108.4039039407,343244.60895905289,5002820.6080139643,75000.37999999871,0.60933806716857131,0.41741822872540879,1.6824386931935993,0.95750013203595974,1.5208433958286904e-09,3.3553406966449176e-17,4.9670537312825518e-09
20,1400000020,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920107.5543829207,343246.04036535526,5002820.9839091646,75000.399999995701,0.60920437701979968,0.41747263466674417,1.6825179774010375,0.95750013203596041,3.2261960349397309e-09,9.4114688327861359e-17,4.9670537312825518e-09
21,1400000021,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920106.6825729245,343247.4698216191,5002821.3311668001,75000.420000001905,0.60908200154248948,0.41752285054159088,1.6825901370035001,0.95750013203595929,3.2261960349397309e-09,9.4114688327861359e-17,4.9670537312825518e-09
22,1400000022,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920105.7896036725,343248.89742668573,5002821.651238367,75000.440000001341,0.60897094050903577,0.41756877728313319,1.6826552712954128,0.95750013203595974,4.5625301874860709e-09,2.2850957709563771e-16,9.9341074625651036e-09
23,1400000023,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920104.8768162988,343250.32329789549,5002821.9458470084,75000.459999999046,0.60887118270012253,0.41761032502611489,1.6827134813613451,0.95750013203596085,1.862645149230957e-09,3.808492951593961e-17,4.9670537312825518e-09
24,1400000024,CONVERGED,WITHIN_RESIDUAL_BUDGET,3,12,4095,4095,0,4095,3920103.9457499706,343251.74756990367,5002822.2169702826,75000.479999999501,0.60878270884730856,0.41764741308506076,1.6827648671552113,0.95750013203596041,2.1507973566264873e-09,2.6826613492983376e-17,2.9802322387695314e-09
