trajectory_id,q0,drive,present,asa_mask,na_mask,boundary_mask,x_lut,j_lut,k_lut,steps
0,2232288289,3035744711,2806932771,901034405,1847249369,0,7,170,225,1
1,2500362258,1407823057,2508773650,97662330,1434076923,3944117451,7,150,58,14
2,1140985926,414762377,3702682566,2987310952,542715497,0,5,172,15,27
3,33558049,1889483295,239513449,3315250486,2072250909,2958144684,8,60,51,8
4,2684420492,4113928073,3877208476,848275260,2554771984,0,8,85,0,21
5,268963849,2308572058,1584059339,2632066719,2848623277,900043416,1,240,102,2
6,958465704,2977595820,992577192,3719850303,974041016,0,0,0,150,15
7,4863140,1405558286,550434725,2902082206,2374900136,2057722690,14,128,60,28
8,67379969,2383064546,2505352073,2731509774,2658067597,0,5,85,255,9
9,614469888,140077518,748788099,3081114995,3277523667,2701453911,1,60,172,22
10,1956728386,1266028996,1956867806,2281640720,2125875079,0,1,150,123,3
11,3112181888,1399697382,3215110282,3956614515,1015264189,1164493226,12,254,0,16
12,264,4242746326,1638353224,1587324432,520846611,0,12,254,202,29
13,1346388017,160918862,1372112951,3142444556,1461570367,3438741282,2,102,255,10
14,285212676,2854363835,3682796309,2839408461,1780286784,0,1,58,58,23
15,681002072,1970412171,3919006814,1537143209,1408339411,908573026,6,170,172,4
16,237011088,757790622,1847759092,1355652045,1641474689,0,6,128,172,17
17,2422479297,1478505606,2640600521,452144320,342637165,1037553150,10,0,0,30
18,67178496,2029717072,344019479,1810714590,379965740,0,4,225,150,11
19,33722496,1231210998,780843652,1783424571,4062414533,276033789,10,90,204,24
20,131161,2670736186,287730297,1218984395,951284012,0,14,15,15,5
21,604246562,3337700633,1965330998,461994039,3711606209,1268835560,7,255,123,18
22,1614438415,272805264,2092592687,3286262170,3012810487,0,14,240,123,31
23,1583104,2678287952,1620703810,4215554192,3209554311,466457189,8,15,254,12
24,542704656,1423055871,544934992,2546073755,3240355429,0,6,172,254,25
25,1427472440,949678227,1561707706,3855552357,1770564480,3760924968,7,204,123,6
26,53776656,1631021067,1396095314,691583183,1367400827,0,6,240,128,19
27,537011201,2757699042,1748477409,397294314,241486806,2789567164,6,0,150,32
28,3767010315,2264521620,3841754139,633497318,1777708596,0,15,216,172,13
