epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,1400000000,3920250.498492907,343127.0582331092,5002878.267180957,0.0,4294967295,4294967295,0
1,1400000001,3920249.9846683894,343128.51900904515,5002879.074389361,0.0,4294967295,4294967295,0
2,1400000002,3920249.4683967237,343129.97957088344,5002879.878453594,0.0,4294967295,4294967295,0
3,1400000003,3920248.947255214,343131.4397066656,5002880.676260901,0.0,4294967295,4294967295,0
4,1400000004,3920248.418869821,343132.89920869004,5002881.464761044,0.0,4294967295,4294967295,0
5,1400000005,3920247.880938885,343134.35787558765,5002882.240996778,0.0,4294967295,4294967295,0
6,1400000006,3920247.3312561205,343135.81551433355,5002883.002133402,0.0,4294967295,4294967295,0
7,1400000007,3920246.767732665,343137.27194217587,5002883.74548708,0.0,4294967295,4294967295,0
8,1400000008,3920246.1884179446,343138.72698846157,5002884.468551654,0.0,4294967295,4294967295,0
9,1400000009,3920245.591519169,343140.1804963417,5002885.169023693,0.0,4294967295,4294967295,0
10,1400000010,3920244.975419241,343141.6323243387,5002885.844825499,0.0,4294967295,4294967295,0
11,1400000011,3920244.3386929147,343143.08234775974,5002886.494125874,0.0,4294967295,4294967295,0
12,1400000012,3920243.6801210367,343144.5304599426,5002887.11535841,0.0,4294967295,4294967295,0
13,1400000013,3920242.998702727,343145.9765733217,5002887.707237148,0.0,4294967295,4294967295,0
14,1400000014,3920242.2936653793,343147.4206203027,5002888.268769418,0.0,4294967295,4294967295,0
15,1400000015,3920241.5644723815,343148.86255393823,5002888.799265766,0.0,4294967295,4294967295,0
16,1400000016,3920240.810828477,343150.30234839657,5002889.298346834,0.0,4294967295,4294967295,0
17,1400000017,3920240.0326827136,343151.73999922,5002889.765947159,0.0,4294967295,4294967295,0
18,1400000018,3920239.230228954,343153.17552336934,5002890.202315824,0.0,4294967295,4294967295,0
19,1400000019,3920238.403903939,343154.60895905446,5002890.608013963,0.0,4294967295,4294967295,0
20,1400000020,3920237.554382922,343156.04036535235,5002890.983909165,0.0,4294967295,4294967295,0
21,1400000021,3920236.6825729236,343157.46982161707,5002891.331166796,0.0,4294967295,4294967295,0
22,1400000022,3920235.7896036697,343158.8974266868,5002891.651238364,0.0,4294967295,4294967295,0
23,1400000023,3920234.8768163,343160.3232978961,5002891.945847007,0.0,4294967295,4294967295,0
24,1400000024,3920233.9457499725,343161.74756990373,5002892.216970283,0.0,4294967295,4294967295,0
25,1400000025,3920232.998126482,343163.17039334733,5002892.466820405,0.0,4294967295,4294967295,0
26,1400000026,3920232.035833056,343164.59193333786,5002892.697822141,0.0,4294967295,4294967295,0
27,1400000027,3920231.0609035003,343166.01236781036,5002892.91258859,0.0,4294967295,4294967295,0
28,1400000028,3920230.075497876,343167.43188574555,5002893.113895063,0.0,4294967295,4294967295,0
29,1400000029,3920229.0818809182,343168.8506852822,5002893.304651361,0.0,4294967295,4294967295,0
30,1400000030,3920228.0823994065,343170.26897173683,5002893.4878727,0.0,4294967295,4294967295,0
31,1400000031,3920227.0794587173,343171.6869555526,5002893.666649582,0.0,4294967295,4294967295,0
32,1400000032,3920226.07549879,343173.1048501967,5002893.844116914,0.0,4294967295,4294967295,0
33,1400000033,3920225.072969748,343174.52287002694,5002894.023422692,0.0,4294967295,4294967295,0
34,1400000034,3920224.074307417,343175.9412281506,5002894.20769654,0.0,4294967295,4294967295,0
35,1400000035,3920223.081908989,343177.36013429484,5002894.400018443,0.0,4294967295,4294967295,0
36,1400000036,3920222.0981090693,343178.7797927109,5002894.603387974,0.0,4294967295,4294967295,0
37,1400000037,3920221.1251563476,343180.20040013397,5002894.82069432,0.0,4294967295,4294967295,0
38,1400000038,3920220.165191134,343181.62214381667,5002895.054687416,0.0,4294967295,4294967295,0
39,1400000039,3920219.220223971,343183.04519965884,5002895.30795047,0.0,4294967295,4294967295,0
40,1400000040,3920218.2921155463,343184.4697304495,5002895.582874149,0.0,4294967295,4294967295,0
41,1400000041,3920217.382558099,343185.89588424034,5002895.881632696,0.0,4294967295,4294967295,0
42,1400000042,3920216.493058515,343187.32379286684,5002896.206162203,0.0,4294967295,4294967295,0
43,1400000043,3920215.624923267,343188.75357063056,5002896.558141267,0.0,4294967295,4294967295,0
44,1400000044,3920214.779245363,343190.1853131573,5002896.938974219,0.0,4294967295,4294967295,0
45,1400000045,3920213.956893425,343191.6190964416,5002897.34977709,0.0,4294967295,4294967295,0
46,1400000046,3920213.158503009,343193.0549760874,5002897.791366463,0.0,4294967295,4294967295,0
47,1400000047,3920212.3844702556,343194.4929867526,5002898.26425131,0.0,4294967295,4294967295,0
48,1400000048,3920211.634947932,343195.93314180255,5002898.768627913,0.0,4294967295,4294967295,0
49,1400000049,3920210.9098439044,343197.3754331766,5002899.304377895,0.0,4294967295,4294967295,0
50,1400000050,3920210.208822061,343198.8198314687,5002899.871069409,0.0,4294967295,4294967295,0
51,1400000051,3920209.531305667,343200.2662862212,5002900.467961448,0.0,4294967295,4294967295,0
52,1400000052,3920208.8764831307,343201.71472642897,5002901.094011255,0.0,4294967295,4294967295,0
53,1400000053,3920208.243316109,343203.16506124876,5002901.747884734,0.0,4294967295,4294967295,0
54,1400000054,3920207.630549886,343204.61718090717,5002902.427969786,0.0,4294967295,4294967295,0
55,1400000055,3920207.0367259057,343206.07095779706,5002903.132392417,0.0,4294967295,4294967295,0
56,1400000056,3920206.4601963493,343207.526247753,5002903.859035456,0.0,4294967295,4294967295,0
57,1400000057,3920205.899140597,343208.9828914914,5002904.605559714,0.0,4294967295,4294967295,0
58,1400000058,3920205.35158342,343210.4407162021,5002905.369427358,0.0,4294967295,4294967295,0
59,1400000059,3920204.8154147156,343211.899537275,5002906.147927263,0.0,4294967295,4294967295,0
60,1400000060,3920204.2884105924,343213.35916014493,5002906.938202104,0.0,4294967295,4294967295,0
61,1400000061,3920203.7682555886,343214.8193822352,5002907.737276903,0.0,4294967295,4294967295,0
62,1400000062,3920203.252565809,343216.2799949818,5002908.542088761,0.0,4294967295,4294967295,0
63,1400000063,3920202.7389127426,343217.74078591785,5002909.349517451,0.0,4294967295,4294967295,0
64,1400000064,3920202.224847528,343219.2015407956,5002910.156416601,0.0,4294967295,4294967295,0
65,1400000065,3920201.707925424,343220.6620457279,5002910.95964513,0.0,4294967295,4294967295,0
66,1400000066,3920201.1857302315,343222.12208932475,5002911.756098633,0.0,4294967295,4294967295,0
67,1400000067,3920200.6558984406,343223.58146480576,5002912.542740399,0.0,4294967295,4294967295,0
68,1400000068,3920200.1161428425,343225.0399720661,5002913.316631751,0.0,4294967295,4294967295,0
69,1400000069,3920199.564275384,343226.4974196761,5002914.074961414,0.0,4294967295,4294967295,0
70,1400000070,3920198.9982290305,343227.95362679346,5002914.815073594,0.0,4294967295,4294967295,0
71,1400000071,3920198.4160784176,343229.40842497064,5002915.534494526,0.0,4294967295,4294967295,0
