epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,1473458354.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
1,1473458355.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
2,1473458356.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
3,1473458357.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
4,1473458358.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
5,1473458359.0,4426043.052900927,-89428.12556652717,4576297.954725994,16679.660447029994,4294967295,4294967295,0
6,1473458360.0,4426043.1078655105,-89428.15969517424,4576297.896297499,16827.88605294775,4294967295,4294967295,0
7,1473458361.0,4426043.221807107,-89428.1982515652,4576298.024102124,16976.25076861454,4294967295,4294967295,0
8,1473458362.0,4426043.347775104,-89428.16891335383,4576298.132605686,17124.618445234526,4294967295,4294967295,0
9,1473458363.0,4426043.511942306,-89428.09732530407,4576298.12808667,17272.991595476487,4294967295,4294967295,0
10,1473458364.0,4426043.617667791,-89428.05971953279,4576298.29234554,17421.296921910525,4294967295,4294967295,0
11,1473458365.0,4426043.669538482,-89428.04271602837,4576298.375058527,17569.496998396175,4294967295,4294967295,0
12,1473458366.0,4426043.585235025,-89428.04854754155,4576298.321145881,17717.468085525317,4294967295,4294967295,0
13,1473458367.0,4426043.563171564,-89428.0474548099,4576298.369154294,17865.67562757339,4294967295,4294967295,0
14,1473458368.0,4426043.634879832,-89428.01694960648,4576298.486949411,18013.942370030527,4294967295,4294967295,0
15,1473458369.0,4426043.494438492,-89428.06925459453,4576298.320733796,18161.94868571878,4294967295,4294967295,0
16,1473458370.0,4426043.482725793,-89428.1492364473,4576298.312600312,18310.062315675284,4294967295,4294967295,0
17,1473458371.0,4426043.339205751,-89428.14505394563,4576298.180379473,18458.1359393047,4294967295,4294967295,0
18,1473458372.0,4426043.371911646,-89428.15520043527,4576298.234859344,18606.37580896511,4294967295,4294967295,0
19,1473458373.0,4426043.322184173,-89428.09291342509,4576298.101159578,18754.480711446908,4294967295,4294967295,0
20,1473458374.0,4426043.417540078,-89428.12248321419,4576298.133318198,18902.777941700355,4294967295,4294967295,0
21,1473458375.0,4426043.321615719,-89428.15485214267,4576298.0226498265,19050.868189483765,4294967295,4294967295,0
22,1473458376.0,4426043.471580872,-89428.20611448927,4576298.127886328,19199.2327992282,4294967295,4294967295,0
23,1473458377.0,4426043.579983375,-89428.21404333744,4576298.131271219,19347.484871191908,4294967295,4294967295,0
24,1473458378.0,4426043.62392338,-89428.12118612792,4576298.176821295,19495.724420137623,4294967295,4294967295,0
25,1473458379.0,4426043.738354474,-89428.080505558,4576298.265007046,19644.03504701142,4294967295,4294967295,0
26,1473458380.0,4426043.763075117,-89428.09571430883,4576298.185055557,19792.162861879904,4294967295,4294967295,0
27,1473458381.0,4426043.924024137,-89427.9980654513,4576298.3344689105,19940.52047110299,4294967295,4294967295,0
28,1473458382.0,4426043.929136228,-89428.09421134762,4576298.266552687,20088.625515163367,4294967295,4294967295,0
29,1473458383.0,4426043.826853565,-89428.08342290945,4576298.152127899,20236.700544815718,4294967295,4294967295,0
30,1473458384.0,4426043.7050306685,-89428.10045238661,4576298.007947829,20384.766175280078,4294967295,4294967295,0
31,1473458385.0,4426043.490837807,-89428.14284330435,4576297.862235638,20532.7071318091,4294967295,4294967295,0
32,1473458386.0,4426043.367967328,-89428.15242199515,4576297.745344387,20680.546299056383,4294967295,4294967295,0
33,1473458387.0,4426043.325582301,-89428.1777323027,4576297.702287125,20828.52502166903,4294967295,4294967295,0
34,1473458388.0,4426043.275019597,-89428.19801383307,4576297.688606037,20976.57163859016,4294967295,4294967295,0
35,1473458389.0,4426043.413946107,-89428.17262427213,4576297.760816665,21124.90828889832,4294967295,4294967295,0
36,1473458390.0,4426043.319993848,-89428.11029320632,4576297.838279938,21273.122142028496,4294967295,4294967295,0
37,1473458391.0,4426043.309856073,-89428.10184518744,4576297.853454345,21421.392132635596,4294967295,4294967295,0
38,1473458392.0,4426043.4164015995,-89428.06675261878,4576297.989718614,21569.815408796083,4294967295,4294967295,0
39,1473458393.0,4426043.469865638,-89428.03649224858,4576298.101875989,21718.127472952277,4294967295,4294967295,0
40,1473458394.0,4426043.57056435,-89428.04899622357,4576298.14281949,21866.431545007305,4294967295,4294967295,0
41,1473458395.0,4426043.520001595,-89428.07103634859,4576298.0809943015,22014.6445967567,4294967295,4294967295,0
42,1473458396.0,4426043.654500587,-89428.07443016952,4576298.006098902,22162.96641519197,4294967295,4294967295,0
43,1473458397.0,4426043.692354294,-89428.01340389081,4576298.073113127,22311.33033432686,4294967295,4294967295,0
44,1473458398.0,4426043.799991282,-89428.03827009455,4576298.164614694,22459.743797820774,4294967295,4294967295,0
45,1473458399.0,4426043.699509431,-89428.04172881786,4576298.1406637225,22607.934294141745,4294967295,4294967295,0
46,1473458400.0,4426043.667053867,-89428.03249541087,4576298.0037689,22756.108817198503,4294967295,4294967295,0
47,1473458401.0,4426043.689617367,-89428.00535370123,4576298.128380978,22904.400541889267,4294967295,4294967295,0
48,1473458402.0,4426043.518159937,-89428.01013549605,4576297.9749353435,23052.436069703737,4294967295,4294967295,0
49,1473458403.0,4426043.480469099,-89428.00893784114,4576297.911466346,23200.634694186145,4294967295,4294967295,0
50,1473458404.0,4426043.494773963,-89428.02961408983,4576297.932503973,23348.969339201572,4294967295,4294967295,0
51,1473458405.0,4426043.622368032,-89428.10708821814,4576298.039114122,23497.437712186973,4294967295,4294967295,0
52,1473458406.0,4426043.749868859,-89428.0985462605,4576298.207876152,23645.777479842942,4294967295,4294967295,0
53,1473458407.0,4426043.842965788,-89428.05001969778,4576298.348550551,23794.18689133272,4294967295,4294967295,0
54,1473458408.0,4426043.713446367,-89428.05431435924,4576298.289584253,23942.367043401926,4294967295,4294967295,0
55,1473458409.0,4426043.831522243,-89428.07088127932,4576298.342289255,24090.695300169107,4294967295,4294967295,0
56,1473458410.0,4426043.736653585,-89428.1023467068,4576298.241259044,24238.839749285202,4294967295,4294967295,0
57,1473458411.0,4426043.6320361085,-89428.10670112225,4576298.174824658,24386.971391123912,4294967295,4294967295,0
58,1473458412.0,4426043.573997179,-89428.09106872998,4576298.1953688655,24535.116421659655,4294967295,4294967295,0
59,1473458413.0,4426043.500697918,-89428.16295574827,4576298.18468791,24683.319833621583,4294967295,4294967295,0
60,1473458414.0,4426043.468046332,-89428.15059647568,4576298.105000989,24831.52460951391,4294967295,4294967295,0
61,1473458415.0,4426043.478918933,-89428.237897482,4576298.014286004,24979.62300440154,4294967295,4294967295,0
62,1473458416.0,4426043.564815199,-89428.25328156915,4576298.031393428,25127.69930497361,4294967295,4294967295,0
63,1473458417.0,4426043.554559504,-89428.24242852027,4576298.091840813,25275.656008436723,4294967295,4294967295,0
64,1473458418.0,4426043.563457769,-89428.2262908417,4576298.212756045,25423.74240993086,4294967295,4294967295,0
65,1473458419.0,4426043.4583054185,-89428.21333632588,4576298.215829734,25571.89934737729,4294967295,4294967295,0
66,1473458420.0,4426043.433881924,-89428.23442406247,4576298.25066817,25720.104808134387,4294967295,4294967295,0
67,1473458421.0,4426043.5118420925,-89428.14654450808,4576298.3206431735,25868.378552653172,4294967295,4294967295,0
68,1473458422.0,4426043.491961053,-89428.1180645706,4576298.214474723,26016.53324551315,4294967295,4294967295,0
69,1473458423.0,4426043.527285806,-89428.10136114723,4576298.207387111,26164.7433176846,4294967295,4294967295,0
70,1473458424.0,4426043.428839074,-89428.03760630422,4576298.2092011385,26312.883390739076,4294967295,4294967295,0
71,1473458425.0,4426043.406357328,-89428.0026324613,4576298.240211221,26461.09780326861,4294967295,4294967295,0
72,1473458426.0,4426043.365968301,-89427.97149164852,4576298.2774207555,26609.274677378846,4294967295,4294967295,0
73,1473458427.0,4426043.47267162,-89427.9986346062,4576298.309783122,26757.41066858159,4294967295,4294967295,0
74,1473458428.0,4426043.603682868,-89428.05854503199,4576298.321567785,26905.592292394977,4294967295,4294967295,0
75,1473458429.0,4426043.6270531,-89428.07891909347,4576298.286532834,27053.692253122696,4294967295,4294967295,0
76,1473458430.0,4426043.507624159,-89428.06927310926,4576298.214490504,27201.688575458087,4294967295,4294967295,0
77,1473458431.0,4426043.5426759645,-89428.14384289146,4576298.2233270975,27349.84488556014,4294967295,4294967295,0
78,1473458432.0,4426043.612562847,-89428.15870002183,4576298.208400917,27497.96679871623,4294967295,4294967295,0
79,1473458433.0,4426043.6939732125,-89428.14162050442,4576298.1948331185,27646.17371243466,4294967295,4294967295,0
80,1473458434.0,4426043.665556913,-89428.1139001832,4576298.211093657,27794.31867646703,4294967295,4294967295,0
81,1473458435.0,4426043.697299401,-89428.06368339936,4576298.1952759065,27942.445478076643,4294967295,4294967295,0
82,1473458436.0,4426043.665647002,-89428.08175183146,4576298.0400251625,28090.47178485975,4294967295,4294967295,0
83,1473458437.0,4426043.606204415,-89428.01801242758,4576298.128033108,28238.605880794203,4294967295,4294967295,0
84,1473458438.0,4426043.6910820315,-89428.09348229636,4576298.289119727,28386.986130650675,4294967295,4294967295,0
85,1473458439.0,4426043.590376429,-89428.1069108978,4576298.226624145,28535.085815397393,4294967295,4294967295,0
86,1473458440.0,4426043.605105748,-89428.10986046182,4576298.263683096,28683.219016209416,4294967295,4294967295,0
87,1473458441.0,4426043.49382752,-89428.11305888981,4576298.101421589,28831.21060208371,4294967295,4294967295,0
88,1473458442.0,4426043.567291143,-89428.13656987881,4576298.143552039,28979.494555790414,4294967295,4294967295,0
89,1473458443.0,4426043.721034781,-89428.10102007915,4576298.231771685,29127.85807978243,4294967295,4294967295,0
90,1473458444.0,4426043.74090273,-89428.17728346318,4576298.2379259225,29276.064763408074,4294967295,4294967295,0
91,1473458445.0,4426043.693335918,-89428.21078370015,4576298.25144388,29424.205480856766,4294967295,4294967295,0
92,1473458446.0,4426043.719184354,-89428.19413044243,4576298.260347439,29572.28824508355,4294967295,4294967295,0
93,1473458447.0,4426043.633262571,-89428.19756816151,4576298.240565302,29720.194974078266,4294967295,4294967295,0
94,1473458448.0,4426043.700520863,-89428.16359028977,4576298.3416707115,29868.23657607953,4294967295,4294967295,0
95,1473458449.0,4426043.643721831,-89428.15236322711,4576298.383442615,30016.259450774993,4294967295,4294967295,0
96,1473458450.0,4426043.588576867,-89428.11789986557,4576298.36115599,30164.27393125805,4294967295,4294967295,0
97,1473458451.0,4426043.55124571,-89428.123445013,4576298.313772694,30312.24787110596,4294967295,4294967295,0
98,1473458452.0,4426043.5411378695,-89428.09821873438,4576298.208198193,30460.317102695404,4294967295,4294967295,0
99,1473458453.0,4426043.395814971,-89428.0437763653,4576298.190224012,30608.279784319275,4294967295,4294967295,0
100,1473458454.0,4426043.50991376,-89428.07452036205,4576298.250334123,30756.41016344735,4294967295,4294967295,0
101,1473458455.0,4426043.511594576,-89428.14601740404,4576298.368984568,30904.571899813214,4294967295,4294967295,0
102,1473458456.0,4426043.5181640135,-89428.16871800869,4576298.344979949,31052.729836657258,4294967295,4294967295,0
103,1473458457.0,4426043.442758274,-89428.25399314173,4576298.262494732,31200.80629890363,4294967295,4294967295,0
104,1473458458.0,4426043.448145409,-89428.31563702783,4576298.184438707,31348.865773236284,4294967295,4294967295,0
105,1473458459.0,4426043.562399172,-89428.33791336024,4576298.183123405,31497.009029681027,4294967295,4294967295,0
106,1473458460.0,4426043.635112236,-89428.35614033573,4576298.258209451,31645.22341432022,4294967295,4294967295,0
107,1473458461.0,4426043.570417307,-89428.34357795931,4576298.184399335,31793.356600641328,4294967295,4294967295,0
108,1473458462.0,4426043.579536391,-89428.24510767408,4576298.101629863,31941.36088864502,4294967295,4294967295,0
109,1473458463.0,4426043.595508318,-89428.17711919965,4576297.9327273285,32089.357434327158,4294967295,4294967295,0
110,1473458464.0,4426043.548326913,-89428.10553680036,4576297.882769211,32237.4157276661,4294967295,4294967295,0
111,1473458465.0,4426043.5434981845,-89428.05723548915,4576297.927357588,32385.554609824318,4294967295,4294967295,0
112,1473458466.0,4426043.522146652,-89428.14968522765,4576297.950580687,32533.715318635375,4294967295,4294967295,0
113,1473458467.0,4426043.547619964,-89428.22511821045,4576297.955278389,32681.832700769242,4294967295,4294967295,0
114,1473458468.0,4426043.633229689,-89428.29876643576,4576298.031135326,32830.02608996629,4294967295,4294967295,0
115,1473458469.0,4426043.709186707,-89428.27994049242,4576298.094581213,32978.198359983406,4294967295,4294967295,0
116,1473458470.0,4426043.6759955855,-89428.23930049306,4576298.087982573,33126.30148742405,4294967295,4294967295,0
117,1473458471.0,4426043.636883775,-89428.26168607893,4576298.016546923,33274.47802109633,4294967295,4294967295,0
118,1473458472.0,4426043.575900698,-89428.25048244218,4576298.030794828,33422.586849242296,4294967295,4294967295,0
