epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,1473457872.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
1,1473457873.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
2,1473457874.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
3,1473457875.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
4,1473457876.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
5,1473457877.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
6,1473457878.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
7,1473457879.0,4426044.1191586405,-89428.19148041886,4576298.970596325,-54453.751405596595,4294967295,4294967295,0
8,1473457880.0,4426044.014784272,-89428.15613379468,4576298.933147354,-54305.739217591865,4294967295,4294967295,0
9,1473457881.0,4426044.119550457,-89428.17143368458,4576298.81690037,-54157.642177273294,4294967295,4294967295,0
10,1473457882.0,4426043.990903186,-89428.11882255661,4576298.653194879,-54009.693405316415,4294967295,4294967295,0
11,1473457883.0,4426043.986526728,-89428.1343879707,4576298.683829647,-53861.575994941915,4294967295,4294967295,0
12,1473457884.0,4426043.98887091,-89428.08222300545,4576298.729495633,-53713.478534272144,4294967295,4294967295,0
13,1473457885.0,4426043.946941134,-89428.04455261255,4576298.656283678,-53565.465559767836,4294967295,4294967295,0
14,1473457886.0,4426043.824059889,-89428.03420182841,4576298.6583850365,-53417.42639630794,4294967295,4294967295,0
15,1473457887.0,4426043.693891038,-89428.0242036222,4576298.601958306,-53269.37525534781,4294967295,4294967295,0
16,1473457888.0,4426043.616825758,-89428.05507059737,4576298.476063649,-53121.43344566043,4294967295,4294967295,0
17,1473457889.0,4426043.83212027,-89428.03060911054,4576298.5435049245,-52973.126104580784,4294967295,4294967295,0
18,1473457890.0,4426044.027188983,-89428.08270991615,4576298.657988616,-52824.77743316315,4294967295,4294967295,0
19,1473457891.0,4426044.068054508,-89428.12931670337,4576298.553298731,-52676.63092678971,4294967295,4294967295,0
20,1473457892.0,4426043.977640385,-89428.19604057896,4576298.491957432,-52528.6318617949,4294967295,4294967295,0
21,1473457893.0,4426044.06287718,-89428.17253631746,4576298.544186399,-52380.523397393095,4294967295,4294967295,0
22,1473457894.0,4426044.003419493,-89428.17255588164,4576298.462329848,-52232.52806301938,4294967295,4294967295,0
23,1473457895.0,4426043.928944557,-89428.1581854928,4576298.44475262,-52084.4844238633,4294967295,4294967295,0
24,1473457896.0,4426044.122836919,-89428.16423467497,4576298.655876867,-51936.170998471316,4294967295,4294967295,0
25,1473457897.0,4426044.173121664,-89428.227113808,4576298.7067687875,-51788.117624394705,4294967295,4294967295,0
26,1473457898.0,4426044.043661925,-89428.21886056339,4576298.623655687,-51640.290858360415,4294967295,4294967295,0
