epoch_id,channel,satellite_id,sx_rx_m,sy_rx_m,sz_rx_m,code_m,add_correction_m,sigma_m,ready
8,3,G04,-5998855.988820181,-15650474.55372866,20586146.16218016,24606298.38896591,19457.68385390903,16.28063366584164,1
8,4,G05,3757702.408105053,23332872.720428314,11930230.760092804,24615268.502243258,-70994.2145235071,16.329400665707336,1
8,15,G16,3183710.6650235523,-21094660.789779987,15143750.529483585,23431901.687941566,100073.20970163222,10.015137907936962,1
8,17,G18,25204471.966085013,6392432.827241665,6207155.959892319,21889368.140800953,-76835.06034624136,4.230324207634818,1
8,24,G25,16865790.709357146,18694894.117139723,8603515.088742886,22756099.243166916,116486.99383126403,6.0987178604910195,1
8,25,G26,10670718.505460562,-12187180.98682816,20743744.813899882,21239492.90622628,-117770.24113842168,3.925500914586889,1
8,27,G28,24397420.707755726,-5363825.079289065,9061986.952119647,21247204.79402939,-124094.72734939557,3.6990526920513394,1
8,28,G29,13018117.703882953,8045758.485940019,21686898.35137099,20861729.19490507,-72873.21173747664,3.433651824232587,1
8,30,G31,17870605.494508028,-10231993.679832852,16624569.731096495,20728883.27881963,-36121.91642532909,3.4240115964317686,1
9,3,G04,-5997251.450979698,-15652533.813180787,20585028.46463514,24606342.383058857,19457.685080743242,16.279365199264276,1
9,4,G05,3756796.6043913323,23331614.244691607,11932939.669276215,24615052.629927255,-70994.21040590736,16.324296610704423,1
9,15,G16,3184673.9829638423,-21092876.09850283,15146017.541496538,23431424.615740772,100073.21349995933,10.011640073823832,1
9,17,G18,25203683.8449813,6392583.48785753,6210203.293581077,21889038.8309015,-76835.05634252884,4.2297810383432735,1
9,24,G25,16866069.93278979,18696024.183806345,8600650.195436055,22756822.945856307,116486.99173447394,6.099894188449487,1
9,25,G26,10672243.926954836,-12184937.383134294,20744312.675245132,21239242.274193354,-117770.24180530346,3.9250781884526265,1
9,27,G28,24398559.487277098,-5363530.387609847,9059096.932701511,21247742.581819776,-124094.72450734115,3.6994012639368385,1
9,28,G29,13016434.459920142,8047946.129650092,21687079.984751694,20862187.27791852,-72873.20997707866,3.4339042525188788,1
9,30,G31,17872740.846075512,-10231622.733717028,16622567.53538482,20729071.593193375,-36121.91587305052,3.4240125249659545,1
10,3,G04,-5995647.117216449,-15654593.056907063,20583910.328218196,24606386.478781875,19457.686016573207,16.278097895611495,1
10,4,G05,3755890.556397929,23330355.523932338,11935648.322066713,24614836.868734237,-70994.20658333012,16.319197648230013,1
