epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,1473457283.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
1,1473457284.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
2,1473457285.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
3,1473457286.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
4,1473457287.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
5,1473457288.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
6,1473457289.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
7,1473457290.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
8,1473457291.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
9,1473457292.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
10,1473457293.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
11,1473457294.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
12,1473457295.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
13,1473457296.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
14,1473457297.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
15,1473457298.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
16,1473457299.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
17,1473457300.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
18,1473457301.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
19,1473457302.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
20,1473457303.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
21,1473457304.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
22,1473457305.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
23,1473457306.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
24,1473457307.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
25,1473457308.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
26,1473457309.0,4426044.563716744,-89428.86918265876,4576298.565223462,-138612.36140921104,4294967295,4294967295,0
27,1473457310.0,4426044.489742409,-89428.82389395504,4576298.493123897,-138465.2710743631,4294967295,4294967295,0
28,1473457311.0,4426044.440646977,-89428.77757936201,4576298.573147176,-138318.08328786131,4294967295,4294967295,0
29,1473457312.0,4426044.421995209,-89428.76437702589,4576298.639855408,-138170.9873278507,4294967295,4294967295,0
30,1473457313.0,4426044.447757355,-89428.7369715426,4576298.878566908,-138023.7293554349,4294967295,4294967295,0
31,1473457314.0,4426044.427020981,-89428.72349480298,4576298.863330699,-137876.71853775147,4294967295,4294967295,0
32,1473457315.0,4426044.284391371,-89428.71817235347,4576298.780199244,-137729.83496336205,4294967295,4294967295,0
33,1473457316.0,4426044.233151123,-89428.74078403592,4576298.70262982,-137582.7999451553,4294967295,4294967295,0
34,1473457317.0,4426044.278204023,-89428.71351785763,4576298.595223506,-137435.68191720627,4294967295,4294967295,0
35,1473457318.0,4426044.331148616,-89428.72038884473,4576298.603724026,-137288.51229522855,4294967295,4294967295,0
36,1473457319.0,4426044.309733204,-89428.70197340036,4576298.68482655,-137141.30434802244,4294967295,4294967295,0
37,1473457320.0,4426044.482087237,-89428.72647007051,4576298.805575021,-136994.06880229214,4294967295,4294967295,0
38,1473457321.0,4426044.42580256,-89428.73240350051,4576298.76974111,-136847.15912759808,4294967295,4294967295,0
39,1473457322.0,4426044.509805606,-89428.74651782656,4576298.84823735,-136700.0711689679,4294967295,4294967295,0
40,1473457323.0,4426044.409917124,-89428.69778909111,4576298.740179649,-136553.15204876265,4294967295,4294967295,0
41,1473457324.0,4426044.639034301,-89428.73169377459,4576298.903117107,-136405.8195303136,4294967295,4294967295,0
42,1473457325.0,4426044.509109552,-89428.69236276948,4576298.771947335,-136258.7989232252,4294967295,4294967295,0
43,1473457326.0,4426044.589645172,-89428.68255448325,4576298.770399102,-136111.52618554787,4294967295,4294967295,0
44,1473457327.0,4426044.487806799,-89428.65528265062,4576298.80654941,-135964.3996371538,4294967295,4294967295,0
45,1473457328.0,4426044.435787687,-89428.59980318848,4576298.898440882,-135817.24686747324,4294967295,4294967295,0
46,1473457329.0,4426044.454282934,-89428.57380554684,4576299.12317737,-135669.99319162173,4294967295,4294967295,0
