epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,1473458141.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
1,1473458142.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
2,1473458143.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
3,1473458144.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
4,1473458145.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
5,1473458146.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
6,1473458147.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
7,1473458148.0,0.0,0.0,0.0,0.0,4294967295,4294967295,0
8,1473458149.0,4426043.265569374,-89428.53596103363,4576297.58344011,-14453.239990462242,4294967295,4294967295,0
9,1473458150.0,4426043.22051109,-89428.46611177923,4576297.723206111,-14304.878354209352,4294967295,4294967295,0
10,1473458151.0,4426043.096562442,-89428.4757291124,4576297.704089753,-14156.534755337707,4294967295,4294967295,0
11,1473458152.0,4426043.02143519,-89428.47072348588,4576297.74152453,-14008.20095134038,4294967295,4294967295,0
12,1473458153.0,4426042.933105473,-89428.486440282,4576297.60531436,-13860.001441158103,4294967295,4294967295,0
13,1473458154.0,4426042.768937817,-89428.52860018435,4576297.53508773,-13711.740710671093,4294967295,4294967295,0
14,1473458155.0,4426042.923028132,-89428.53339249772,4576297.518176349,-13563.284203238845,4294967295,4294967295,0
15,1473458156.0,4426043.072095735,-89428.57717507916,4576297.514200648,-13414.821688698832,4294967295,4294967295,0
16,1473458157.0,4426042.868330296,-89428.5925645804,4576297.158220483,-13266.712859579591,4294967295,4294967295,0
17,1473458158.0,4426042.844442634,-89428.53595294055,4576297.185060905,-13118.380249969758,4294967295,4294967295,0
18,1473458159.0,4426042.8765151035,-89428.54802702925,4576297.099031257,-12970.004474043908,4294967295,4294967295,0
19,1473458160.0,4426042.951208929,-89428.60617100565,4576297.180894853,-12821.514134735624,4294967295,4294967295,0
20,1473458161.0,4426043.003160327,-89428.55818653652,4576297.392886941,-12672.983569980162,4294967295,4294967295,0
21,1473458162.0,4426042.985436287,-89428.54606410307,4576297.5278334515,-12524.517386578758,4294967295,4294967295,0
22,1473458163.0,4426043.126942328,-89428.47960953924,4576297.621292416,-12376.035060594884,4294967295,4294967295,0
23,1473458164.0,4426043.327002595,-89428.50552252505,4576297.677198621,-12227.53899891714,4294967295,4294967295,0
24,1473458165.0,4426043.272255913,-89428.47854591279,4576297.595193053,-12079.29229501916,4294967295,4294967295,0
25,1473458166.0,4426043.214934282,-89428.42761626471,4576297.625428942,-11930.924883565287,4294967295,4294967295,0
26,1473458167.0,4426043.108480286,-89428.47537601083,4576297.482966473,-11782.623736434725,4294967295,4294967295,0
27,1473458168.0,4426043.206247154,-89428.43565560225,4576297.661571189,-11634.111419406527,4294967295,4294967295,0
28,1473458169.0,4426043.282668641,-89428.41065332651,4576297.72710289,-11485.669575337663,4294967295,4294967295,0
29,1473458170.0,4426043.34481231,-89428.42414271507,4576297.840273824,-11337.20126944024,4294967295,4294967295,0
