epoch_id,t_rx_gpst_s,status,fit,iterations,used,asa,na,hits,active,x_m,y_m,z_m,clock_bias_m,var_x_m2,var_y_m2,var_z_m2,var_clock_m2,rms_m,weighted_sse,max_normalized
0,1473458141,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1473458142,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1473458143,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1473458144,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1473458145,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1473458146,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1473458147,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1473458148,TOO_FEW,NOT_EVALUATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1473458149,CONVERGED,WITHIN_RESIDUAL_BUDGET,1,9,1526890520,1526890520,0,1526890520,4426043.265548802,-89428.535961082176,4576297.58342175,-14453.240021321773,63.245091034278744,11.414292110923967,68.187355250791171,69.527028753999659,0.82533012106918546,0.033054918266722494,0.13843364957979945
9,1473458150,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426043.2205781937,-89428.466111707778,4576297.7232657932,-14304.878253840774,63.242648503892951,11.413816789393705,68.195195285184582,69.528121241935239,0.77104331933068193,0.027877313311825642,0.13164300263301054
10,1473458151,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426043.096465894,-89428.47572927922,4576297.7040034169,-14156.534900387514,63.24020191778903,11.413342018310324,68.203028560557385,69.529207561533781,0.76745824924898409,0.028103046869004902,0.12972003544223107
11,1473458152,CONVERGED,WITHIN_RESIDUAL_BUDGET,1,9,1526890520,1526890520,0,1526890520,4426043.0214112094,-89428.470723513165,4576297.7415029667,-14008.200987543412,63.237754142812832,11.412867729439405,68.210855197593588,69.530289064428842,0.74375273083948079,0.028713669212941925,0.12209678635488132
12,1473458153,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.9329505684,-89428.486440632492,4576297.6051761275,-13860.001673438634,63.235305033332864,11.412394001472373,68.218676502251654,69.531366910493347,0.6806716329571989,0.025698063979988868,0.10745531458049341
13,1473458154,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.7687791195,-89428.528600431731,4576297.5349458745,-13711.740948989405,63.232850922146213,11.411920679953084,68.226488730828706,69.532436144312641,0.68513813160986592,0.029716461758836181,0.10872618244165659
14,1473458155,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.9231198644,-89428.533392327066,4576297.518258485,-13563.284065282112,63.230402484234013,11.411448051672037,68.234299124536022,69.533507721065888,0.66092034828275836,0.027317786993044289,0.10337736318748794
15,1473458156,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426043.0721935313,-89428.577174799604,4576297.5142881582,-13414.821541742103,63.227950961457445,11.410975924183386,68.24210221943973,69.534573071600519,0.73102936525993267,0.030677934820604616,0.11252706625672851
16,1473458157,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.8679430401,-89428.592565533574,4576297.1578748617,-13266.713440244059,63.225492328694614,11.410504101437574,68.249895958856996,69.535629013379165,0.64038431682538655,0.02558440127971532,0.099540207343942505
17,1473458158,CONVERGED,WITHIN_RESIDUAL_BUDGET,1,9,1526890520,1526890520,0,1526890520,4426042.8444450917,-89428.535953036771,4576297.1850630715,-13118.380246307959,63.223033803958515,11.410032677483363,68.257681851405536,69.536679591145386,0.68153626123129718,0.02748098986707416,0.10847352055237929
18,1473458159,CONVERGED,WITHIN_RESIDUAL_BUDGET,1,9,1526890520,1526890520,0,1526890520,4426042.8764762264,-89428.548027140365,4576297.0989966914,-12970.004532143719,63.220574189413696,11.409561886476288,68.265462774870869,69.537726867286509,0.75717711281125222,0.030608859672268115,0.1257144963049428
19,1473458160,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.9513176931,-89428.606170608196,4576297.1809919477,-12821.513971664974,63.21811114038303,11.409091573218062,68.273235456506825,69.538766885888208,0.82969980635323415,0.035984059543325939,0.13825241402121591
20,1473458161,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426043.0033435225,-89428.558186133945,4576297.3930503866,-12672.983295392098,63.215646098174027,11.408621566149789,68.28099949427812,69.539800169932121,0.81933897846785575,0.034179483920096058,0.13992408754203481
21,1473458162,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426042.9855189808,-89428.546063865171,4576297.5279071173,-12524.517262800771,63.213177195959958,11.408152038793411,68.288755964225771,69.54082676857432,0.86729148608142437,0.036568786984574712,0.151378078828695
22,1473458163,CONVERGED,WITHIN_RESIDUAL_BUDGET,2,9,1526890520,1526890520,0,1526890520,4426043.1271018423,-89428.479609308255,4576297.6214350276,-12376.034821071153,63.210711189729835,11.407683093050521,68.296508731762927,69.541853036951395,0.80627004428905247,0.03060094695052399,0.13984831909709536
