invalid option value out-solstat (gps_single.conf:28)


processing : 2005/04/02 00:00:00 Q=0
processing : 2005/04/02 00:00:30 Q=5
processing : 2005/04/02 00:01:00 Q=5
processing : 2005/04/02 00:01:30 Q=5
processing : 2005/04/02 00:02:00 Q=5
processing : 2005/04/02 00:02:30 Q=5
processing : 2005/04/02 00:03:00 Q=5
processing : 2005/04/02 00:03:30 Q=5
processing : 2005/04/02 00:04:00 Q=5
processing : 2005/04/02 00:04:30 Q=5
processing : 2005/04/02 00:05:00 Q=5
processing : 2005/04/02 00:05:30 Q=5
processing : 2005/04/02 00:06:00 Q=5
processing : 2005/04/02 00:06:30 Q=5
processing : 2005/04/02 00:07:00 Q=5
processing : 2005/04/02 00:07:30 Q=5
processing : 2005/04/02 00:08:00 Q=5
processing : 2005/04/02 00:08:30 Q=5
processing : 2005/04/02 00:09:00 Q=5
processing : 2005/04/02 00:09:30 Q=5
processing : 2005/04/02 00:10:00 Q=5
processing : 2005/04/02 00:10:30 Q=5
processing : 2005/04/02 00:11:00 Q=5
processing : 2005/04/02 00:11:30 Q=5
processing : 2005/04/02 00:12:00 Q=5
processing : 2005/04/02 00:12:30 Q=5
processing : 2005/04/02 00:13:00 Q=5
processing : 2005/04/02 00:13:30 Q=5
processing : 2005/04/02 00:14:00 Q=5
processing : 2005/04/02 00:14:30 Q=5
processing : 2005/04/02 00:15:00 Q=5
processing : 2005/04/02 00:15:30 Q=5
processing : 2005/04/02 00:16:00 Q=5
processing : 2005/04/02 00:16:30 Q=5
processing : 2005/04/02 00:17:00 Q=5
processing : 2005/04/02 00:17:30 Q=5
processing : 2005/04/02 00:18:00 Q=5
processing : 2005/04/02 00:18:30 Q=5
processing : 2005/04/02 00:19:00 Q=5
processing : 2005/04/02 00:19:30 Q=5
processing : 2005/04/02 00:20:00 Q=5
processing : 2005/04/02 00:20:30 Q=5
processing : 2005/04/02 00:21:00 Q=5
processing : 2005/04/02 00:21:30 Q=5
processing : 2005/04/02 00:22:00 Q=5
processing : 2005/04/02 00:22:30 Q=5
processing : 2005/04/02 00:23:00 Q=5
processing : 2005/04/02 00:23:30 Q=5
processing : 2005/04/02 00:24:00 Q=5
processing : 2005/04/02 00:24:30 Q=5
processing : 2005/04/02 00:25:00 Q=5
processing : 2005/04/02 00:25:30 Q=5
processing : 2005/04/02 00:26:00 Q=5
processing : 2005/04/02 00:26:30 Q=5
processing : 2005/04/02 00:27:00 Q=5
processing : 2005/04/02 00:27:30 Q=5
processing : 2005/04/02 00:28:00 Q=5
processing : 2005/04/02 00:28:30 Q=5
processing : 2005/04/02 00:29:00 Q=5
processing : 2005/04/02 00:29:30 Q=5
processing : 2005/04/02 00:30:00 Q=5
processing : 2005/04/02 00:30:30 Q=5
processing : 2005/04/02 00:31:00 Q=5
processing : 2005/04/02 00:31:30 Q=5
processing : 2005/04/02 00:32:00 Q=5
processing : 2005/04/02 00:32:30 Q=5
processing : 2005/04/02 00:33:00 Q=5
processing : 2005/04/02 00:33:30 Q=5
processing : 2005/04/02 00:34:00 Q=5
processing : 2005/04/02 00:34:30 Q=5
processing : 2005/04/02 00:35:00 Q=5
processing : 2005/04/02 00:35:30 Q=5
processing : 2005/04/02 00:36:00 Q=5
processing : 2005/04/02 00:36:30 Q=5
processing : 2005/04/02 00:37:00 Q=5
processing : 2005/04/02 00:37:30 Q=5
processing : 2005/04/02 00:38:00 Q=5
processing : 2005/04/02 00:38:30 Q=5
processing : 2005/04/02 00:39:00 Q=5
processing : 2005/04/02 00:39:30 Q=5
processing : 2005/04/02 00:40:00 Q=5
processing : 2005/04/02 00:40:30 Q=5
processing : 2005/04/02 00:41:00 Q=5
processing : 2005/04/02 00:41:30 Q=5
processing : 2005/04/02 00:42:00 Q=5
processing : 2005/04/02 00:42:30 Q=5
processing : 2005/04/02 00:43:00 Q=5
processing : 2005/04/02 00:43:30 Q=5
processing : 2005/04/02 00:44:00 Q=5
processing : 2005/04/02 00:44:30 Q=5
processing : 2005/04/02 00:45:00 Q=5
processing : 2005/04/02 00:45:30 Q=5
processing : 2005/04/02 00:46:00 Q=5
processing : 2005/04/02 00:46:30 Q=5
processing : 2005/04/02 00:47:00 Q=5
processing : 2005/04/02 00:47:30 Q=5
processing : 2005/04/02 00:48:00 Q=5
processing : 2005/04/02 00:48:30 Q=5
processing : 2005/04/02 00:49:00 Q=5
processing : 2005/04/02 00:49:30 Q=5
processing : 2005/04/02 00:50:00 Q=5
processing : 2005/04/02 00:50:30 Q=5
processing : 2005/04/02 00:51:00 Q=5
processing : 2005/04/02 00:51:30 Q=5
processing : 2005/04/02 00:52:00 Q=5
processing : 2005/04/02 00:52:30 Q=5
processing : 2005/04/02 00:53:00 Q=5
processing : 2005/04/02 00:53:30 Q=5
processing : 2005/04/02 00:54:00 Q=5
processing : 2005/04/02 00:54:30 Q=5
processing : 2005/04/02 00:55:00 Q=5
processing : 2005/04/02 00:55:30 Q=5
processing : 2005/04/02 00:56:00 Q=5
processing : 2005/04/02 00:56:30 Q=5
processing : 2005/04/02 00:57:00 Q=5
processing : 2005/04/02 00:57:30 Q=5
processing : 2005/04/02 00:58:00 Q=5
processing : 2005/04/02 00:58:30 Q=5
processing : 2005/04/02 00:59:00 Q=5
processing : 2005/04/02 00:59:30 Q=5
                                        
