invalid option value out-solstat (gps_single.conf:28)

processing : 2026/09/14 21:55:41 Q=0
processing : 2026/09/14 21:55:42 Q=5
processing : 2026/09/14 21:55:43 Q=5
processing : 2026/09/14 21:55:44 Q=5
processing : 2026/09/14 21:55:45 Q=5
processing : 2026/09/14 21:55:46 Q=5
processing : 2026/09/14 21:55:47 Q=5
processing : 2026/09/14 21:55:48 Q=5
processing : 2026/09/14 21:55:49 Q=5
processing : 2026/09/14 21:55:50 Q=5
processing : 2026/09/14 21:55:51 Q=5
processing : 2026/09/14 21:55:52 Q=5
processing : 2026/09/14 21:55:53 Q=5
processing : 2026/09/14 21:55:54 Q=5
processing : 2026/09/14 21:55:55 Q=5
processing : 2026/09/14 21:55:56 Q=5
processing : 2026/09/14 21:55:57 Q=5
processing : 2026/09/14 21:55:58 Q=5
processing : 2026/09/14 21:55:59 Q=5
processing : 2026/09/14 21:56:00 Q=5
processing : 2026/09/14 21:56:01 Q=5
processing : 2026/09/14 21:56:02 Q=5
processing : 2026/09/14 21:56:03 Q=5
processing : 2026/09/14 21:56:04 Q=5
processing : 2026/09/14 21:56:05 Q=5
processing : 2026/09/14 21:56:06 Q=5
processing : 2026/09/14 21:56:07 Q=5
processing : 2026/09/14 21:56:08 Q=5
processing : 2026/09/14 21:56:09 Q=5
processing : 2026/09/14 21:56:10 Q=5
processing : 2026/09/14 21:56:11 Q=5
processing : 2026/09/14 21:56:12 Q=5
processing : 2026/09/14 21:56:13 Q=5
processing : 2026/09/14 21:56:14 Q=5
processing : 2026/09/14 21:56:15 Q=5
processing : 2026/09/14 21:56:16 Q=5
processing : 2026/09/14 21:56:17 Q=5
processing : 2026/09/14 21:56:18 Q=5
processing : 2026/09/14 21:56:19 Q=5
processing : 2026/09/14 21:56:20 Q=5
processing : 2026/09/14 21:56:21 Q=5
processing : 2026/09/14 21:56:22 Q=5
processing : 2026/09/14 21:56:23 Q=5
processing : 2026/09/14 21:56:24 Q=5
processing : 2026/09/14 21:56:25 Q=5
processing : 2026/09/14 21:56:26 Q=5
processing : 2026/09/14 21:56:27 Q=5
processing : 2026/09/14 21:56:28 Q=5
processing : 2026/09/14 21:56:29 Q=5
processing : 2026/09/14 21:56:30 Q=5
processing : 2026/09/14 21:56:31 Q=5
processing : 2026/09/14 21:56:32 Q=5
processing : 2026/09/14 21:56:33 Q=5
processing : 2026/09/14 21:56:34 Q=5
processing : 2026/09/14 21:56:35 Q=5
processing : 2026/09/14 21:56:36 Q=5
processing : 2026/09/14 21:56:37 Q=5
processing : 2026/09/14 21:56:38 Q=5
processing : 2026/09/14 21:56:39 Q=5
processing : 2026/09/14 21:56:40 Q=5
processing : 2026/09/14 21:56:41 Q=5
processing : 2026/09/14 21:56:42 Q=5
processing : 2026/09/14 21:56:43 Q=5
processing : 2026/09/14 21:56:44 Q=5
processing : 2026/09/14 21:56:45 Q=5
processing : 2026/09/14 21:56:46 Q=5
processing : 2026/09/14 21:56:47 Q=5
processing : 2026/09/14 21:56:48 Q=5
processing : 2026/09/14 21:56:49 Q=5
processing : 2026/09/14 21:56:50 Q=5
processing : 2026/09/14 21:56:51 Q=5
processing : 2026/09/14 21:56:52 Q=5
processing : 2026/09/14 21:56:53 Q=5
processing : 2026/09/14 21:56:54 Q=5
processing : 2026/09/14 21:56:55 Q=5
