invalid option value out-solstat (gps_single.conf:28)

processing : 2026/09/14 21:51:12 Q=0
processing : 2026/09/14 21:51:13 Q=5
processing : 2026/09/14 21:51:14 Q=5
processing : 2026/09/14 21:51:15 Q=5
processing : 2026/09/14 21:51:16 Q=5
processing : 2026/09/14 21:51:17 Q=5
processing : 2026/09/14 21:51:18 Q=5
processing : 2026/09/14 21:51:19 Q=5
processing : 2026/09/14 21:51:20 Q=5
processing : 2026/09/14 21:51:21 Q=5
processing : 2026/09/14 21:51:22 Q=5
processing : 2026/09/14 21:51:23 Q=5
processing : 2026/09/14 21:51:24 Q=5
processing : 2026/09/14 21:51:25 Q=5
processing : 2026/09/14 21:51:26 Q=5
processing : 2026/09/14 21:51:27 Q=5
processing : 2026/09/14 21:51:28 Q=5
processing : 2026/09/14 21:51:29 Q=5
processing : 2026/09/14 21:51:30 Q=5
processing : 2026/09/14 21:51:31 Q=5
processing : 2026/09/14 21:51:32 Q=5
processing : 2026/09/14 21:51:33 Q=5
processing : 2026/09/14 21:51:34 Q=5
processing : 2026/09/14 21:51:35 Q=5
processing : 2026/09/14 21:51:36 Q=5
processing : 2026/09/14 21:51:37 Q=5
processing : 2026/09/14 21:51:38 Q=5
processing : 2026/09/14 21:51:39 Q=5
processing : 2026/09/14 21:51:40 Q=5
processing : 2026/09/14 21:51:41 Q=5
processing : 2026/09/14 21:51:42 Q=5
processing : 2026/09/14 21:51:43 Q=5
processing : 2026/09/14 21:51:44 Q=5
processing : 2026/09/14 21:51:45 Q=5
processing : 2026/09/14 21:51:46 Q=5
processing : 2026/09/14 21:51:47 Q=5
processing : 2026/09/14 21:51:48 Q=5
processing : 2026/09/14 21:51:49 Q=5
processing : 2026/09/14 21:51:50 Q=5
processing : 2026/09/14 21:51:51 Q=5
processing : 2026/09/14 21:51:52 Q=5
processing : 2026/09/14 21:51:53 Q=5
processing : 2026/09/14 21:51:54 Q=5
processing : 2026/09/14 21:51:55 Q=5
processing : 2026/09/14 21:51:56 Q=5
processing : 2026/09/14 21:51:57 Q=5
processing : 2026/09/14 21:51:58 Q=5
processing : 2026/09/14 21:51:59 Q=5
processing : 2026/09/14 21:52:00 Q=5
processing : 2026/09/14 21:52:01 Q=5
processing : 2026/09/14 21:52:02 Q=5
processing : 2026/09/14 21:52:03 Q=5
processing : 2026/09/14 21:52:04 Q=5
processing : 2026/09/14 21:52:05 Q=5
processing : 2026/09/14 21:52:06 Q=5
processing : 2026/09/14 21:52:07 Q=5
processing : 2026/09/14 21:52:08 Q=5
processing : 2026/09/14 21:52:09 Q=5
processing : 2026/09/14 21:52:10 Q=5
processing : 2026/09/14 21:52:11 Q=5
processing : 2026/09/14 21:52:12 Q=5
processing : 2026/09/14 21:52:13 Q=5
processing : 2026/09/14 21:52:14 Q=5
processing : 2026/09/14 21:52:15 Q=5
processing : 2026/09/14 21:52:16 Q=5
processing : 2026/09/14 21:52:17 Q=5
processing : 2026/09/14 21:52:18 Q=5
processing : 2026/09/14 21:52:19 Q=5
processing : 2026/09/14 21:52:20 Q=5
processing : 2026/09/14 21:52:21 Q=5
processing : 2026/09/14 21:52:22 Q=5
processing : 2026/09/14 21:52:23 Q=5
processing : 2026/09/14 21:52:24 Q=5
processing : 2026/09/14 21:52:25 Q=5
processing : 2026/09/14 21:52:26 Q=5
