invalid option value out-solstat (gps_single.conf:28)

processing : 2026/09/14 21:59:14 Q=0
processing : 2026/09/14 21:59:15 Q=5
processing : 2026/09/14 21:59:16 Q=5
processing : 2026/09/14 21:59:17 Q=5
processing : 2026/09/14 21:59:18 Q=5
processing : 2026/09/14 21:59:19 Q=5
processing : 2026/09/14 21:59:20 Q=5
processing : 2026/09/14 21:59:21 Q=5
processing : 2026/09/14 21:59:22 Q=5
processing : 2026/09/14 21:59:23 Q=5
processing : 2026/09/14 21:59:24 Q=5
processing : 2026/09/14 21:59:25 Q=5
processing : 2026/09/14 21:59:26 Q=5
processing : 2026/09/14 21:59:27 Q=5
processing : 2026/09/14 21:59:28 Q=5
processing : 2026/09/14 21:59:29 Q=5
processing : 2026/09/14 21:59:30 Q=5
processing : 2026/09/14 21:59:31 Q=5
processing : 2026/09/14 21:59:32 Q=5
processing : 2026/09/14 21:59:33 Q=5
processing : 2026/09/14 21:59:34 Q=5
processing : 2026/09/14 21:59:35 Q=5
processing : 2026/09/14 21:59:36 Q=5
processing : 2026/09/14 21:59:37 Q=5
processing : 2026/09/14 21:59:38 Q=5
processing : 2026/09/14 21:59:39 Q=5
processing : 2026/09/14 21:59:40 Q=5
processing : 2026/09/14 21:59:41 Q=5
processing : 2026/09/14 21:59:42 Q=5
processing : 2026/09/14 21:59:43 Q=5
processing : 2026/09/14 21:59:44 Q=5
processing : 2026/09/14 21:59:45 Q=5
processing : 2026/09/14 21:59:46 Q=5
processing : 2026/09/14 21:59:47 Q=5
processing : 2026/09/14 21:59:48 Q=5
processing : 2026/09/14 21:59:49 Q=5
processing : 2026/09/14 21:59:50 Q=5
processing : 2026/09/14 21:59:51 Q=5
processing : 2026/09/14 21:59:52 Q=5
processing : 2026/09/14 21:59:53 Q=5
processing : 2026/09/14 21:59:54 Q=5
processing : 2026/09/14 21:59:55 Q=5
processing : 2026/09/14 21:59:56 Q=5
processing : 2026/09/14 21:59:57 Q=5
processing : 2026/09/14 21:59:58 Q=5
processing : 2026/09/14 21:59:59 Q=5
processing : 2026/09/14 22:00:00 Q=5
processing : 2026/09/14 22:00:01 Q=5
processing : 2026/09/14 22:00:02 Q=5
processing : 2026/09/14 22:00:03 Q=5
processing : 2026/09/14 22:00:04 Q=5
processing : 2026/09/14 22:00:05 Q=5
processing : 2026/09/14 22:00:06 Q=5
processing : 2026/09/14 22:00:07 Q=5
processing : 2026/09/14 22:00:08 Q=5
processing : 2026/09/14 22:00:09 Q=5
processing : 2026/09/14 22:00:10 Q=5
processing : 2026/09/14 22:00:11 Q=5
processing : 2026/09/14 22:00:12 Q=5
processing : 2026/09/14 22:00:13 Q=5
processing : 2026/09/14 22:00:14 Q=5
processing : 2026/09/14 22:00:15 Q=5
processing : 2026/09/14 22:00:16 Q=5
processing : 2026/09/14 22:00:17 Q=5
processing : 2026/09/14 22:00:18 Q=5
processing : 2026/09/14 22:00:19 Q=5
processing : 2026/09/14 22:00:20 Q=5
processing : 2026/09/14 22:00:21 Q=5
processing : 2026/09/14 22:00:22 Q=5
processing : 2026/09/14 22:00:23 Q=5
processing : 2026/09/14 22:00:24 Q=5
processing : 2026/09/14 22:00:25 Q=5
processing : 2026/09/14 22:00:26 Q=5
processing : 2026/09/14 22:00:27 Q=5
processing : 2026/09/14 22:00:28 Q=5
