invalid option value out-solstat (gps_single.conf:28)

processing : 2026/09/14 21:41:23 Q=0
processing : 2026/09/14 21:41:24 Q=5
processing : 2026/09/14 21:41:25 Q=5
processing : 2026/09/14 21:41:26 Q=5
processing : 2026/09/14 21:41:27 Q=5
processing : 2026/09/14 21:41:28 Q=5
processing : 2026/09/14 21:41:29 Q=5
processing : 2026/09/14 21:41:30 Q=5
processing : 2026/09/14 21:41:31 Q=5
processing : 2026/09/14 21:41:32 Q=5
processing : 2026/09/14 21:41:33 Q=5
processing : 2026/09/14 21:41:34 Q=5
processing : 2026/09/14 21:41:35 Q=5
processing : 2026/09/14 21:41:36 Q=5
processing : 2026/09/14 21:41:37 Q=5
processing : 2026/09/14 21:41:38 Q=5
processing : 2026/09/14 21:41:39 Q=5
processing : 2026/09/14 21:41:40 Q=5
processing : 2026/09/14 21:41:41 Q=5
processing : 2026/09/14 21:41:42 Q=5
processing : 2026/09/14 21:41:43 Q=5
processing : 2026/09/14 21:41:44 Q=5
processing : 2026/09/14 21:41:45 Q=5
processing : 2026/09/14 21:41:46 Q=5
processing : 2026/09/14 21:41:47 Q=5
processing : 2026/09/14 21:41:48 Q=5
processing : 2026/09/14 21:41:49 Q=5
processing : 2026/09/14 21:41:50 Q=5
processing : 2026/09/14 21:41:51 Q=5
processing : 2026/09/14 21:41:52 Q=5
processing : 2026/09/14 21:41:53 Q=5
processing : 2026/09/14 21:41:54 Q=5
processing : 2026/09/14 21:41:55 Q=5
processing : 2026/09/14 21:41:56 Q=5
processing : 2026/09/14 21:41:57 Q=5
processing : 2026/09/14 21:41:58 Q=5
processing : 2026/09/14 21:41:59 Q=5
processing : 2026/09/14 21:42:00 Q=5
processing : 2026/09/14 21:42:01 Q=5
processing : 2026/09/14 21:42:02 Q=5
processing : 2026/09/14 21:42:03 Q=5
processing : 2026/09/14 21:42:04 Q=5
processing : 2026/09/14 21:42:05 Q=5
processing : 2026/09/14 21:42:06 Q=5
processing : 2026/09/14 21:42:07 Q=5
processing : 2026/09/14 21:42:08 Q=5
processing : 2026/09/14 21:42:09 Q=5
processing : 2026/09/14 21:42:10 Q=5
processing : 2026/09/14 21:42:11 Q=5
processing : 2026/09/14 21:42:12 Q=5
processing : 2026/09/14 21:42:13 Q=5
processing : 2026/09/14 21:42:14 Q=5
processing : 2026/09/14 21:42:15 Q=5
processing : 2026/09/14 21:42:16 Q=5
processing : 2026/09/14 21:42:17 Q=5
processing : 2026/09/14 21:42:18 Q=5
processing : 2026/09/14 21:42:19 Q=5
processing : 2026/09/14 21:42:20 Q=5
processing : 2026/09/14 21:42:21 Q=5
processing : 2026/09/14 21:42:22 Q=5
processing : 2026/09/14 21:42:23 Q=5
processing : 2026/09/14 21:42:24 Q=5
processing : 2026/09/14 21:42:25 Q=5
processing : 2026/09/14 21:42:26 Q=5
processing : 2026/09/14 21:42:27 Q=5
processing : 2026/09/14 21:42:28 Q=5
processing : 2026/09/14 21:42:29 Q=5
processing : 2026/09/14 21:42:30 Q=5
processing : 2026/09/14 21:42:31 Q=5
processing : 2026/09/14 21:42:32 Q=5
processing : 2026/09/14 21:42:33 Q=5
processing : 2026/09/14 21:42:34 Q=5
processing : 2026/09/14 21:42:35 Q=5
processing : 2026/09/14 21:42:36 Q=5
processing : 2026/09/14 21:42:37 Q=5
