epoch_id,t_rx_gpst_s,x0_m,y0_m,z0_m,b0_m,asa_mask,na_mask,boundary_mask
0,796435200.0,-3976218.7926173066,3382373.205233049,3652512.6419831123,-77245.14913296004,4294967295,4294967295,0
1,796435230.0,-3976218.5132302614,3382372.605594355,3652512.6395647046,-64701.682983891784,4294967295,4294967295,0
2,796435260.0,-3976218.677500747,3382372.6120067034,3652512.4218477723,-52158.102484640876,4294967295,4294967295,0
3,796435290.0,-3976219.135459074,3382373.1903665704,3652512.488856053,-39613.90817413609,4294967295,4294967295,0
4,796435320.0,-3976218.417011111,3382372.4993515946,3652511.8457925543,-27070.638904066494,4294967295,4294967295,0
5,796435350.0,-3976218.7751235357,3382373.217538779,3652512.675516338,-14525.664772901962,4294967295,4294967295,0
6,796435380.0,-3976218.9031726336,3382372.826619831,3652512.697953001,-1981.3511113699562,4294967295,4294967295,0
7,796435410.0,-3976218.8796392824,3382372.510392533,3652512.3028840777,10562.576099259955,4294967295,4294967295,0
8,796435440.0,-3976219.1701851734,3382373.197691617,3652512.5658327085,23107.548692340508,4294967295,4294967295,0
9,796435470.0,-3976218.7277047546,3382372.860051598,3652512.7266137516,35651.97954064714,4294967295,4294967295,0
10,796435500.0,-3976218.8158229836,3382372.599414458,3652512.98023276,48196.782269915835,4294967295,4294967295,0
11,796435530.0,-3976218.8397864434,3382372.8175379946,3652512.2463579676,60741.5719744384,4294967295,4294967295,0
12,796435560.0,-3976218.811558459,3382372.7163606435,3652512.8503372036,73287.12181628235,4294967295,4294967295,0
13,796435590.0,-3976219.207317408,3382372.996002877,3652512.619371945,85833.06171094315,4294967295,4294967295,0
14,796435620.0,-3976219.088050922,3382372.7523062797,3652512.460476092,98378.793663406,4294967295,4294967295,0
15,796435650.0,-3976219.170632408,3382372.9742979766,3652512.296141579,110925.41653427349,4294967295,4294967295,0
16,796435680.0,-3976219.1833101604,3382373.0921381232,3652512.949106482,123472.53916267413,4294967295,4294967295,0
17,796435710.0,-3976219.258012603,3382372.8065743344,3652512.6769974716,136019.32303165484,4294967295,4294967295,0
18,796435740.0,-3976219.0347893834,3382372.6981206867,3652512.542570952,148566.54796141383,4294967295,4294967295,0
19,796435770.001,-3976218.879992679,3382372.6757892184,3652512.5463989987,161115.01897116876,4294967295,4294967295,0
20,796435800.001,-3976218.9451209144,3382372.6766287833,3652512.7662324565,173663.79642039904,4294967295,4294967295,0
21,796435830.001,-3976218.903044052,3382372.79245405,3652512.7531092362,186213.0815971512,4294967295,4294967295,0
22,796435860.001,-3976219.068324333,3382372.6210193583,3652512.5606928323,198762.30049241745,4294967295,4294967295,0
23,796435890.001,-3976218.6609430644,3382372.3347270545,3652512.407954488,211311.98775839992,4294967295,4294967295,0
24,796435920.001,-3976219.7207152015,3382373.4825229826,3652512.90357726,223863.2016815987,4294967295,4294967295,0
25,796435950.001,-3976219.2511064997,3382372.7455878607,3652512.3336885413,236413.4243021938,4294967295,4294967295,0
26,796435980.001,-3976218.8601555014,3382373.0804146198,3652512.76373466,248964.99951666393,4294967295,4294967295,0
27,796436010.001,-3976218.6611363515,3382372.496891296,3652512.3828011784,261516.29352281019,4294967295,4294967295,0
28,796436040.001,-3976218.8208930437,3382372.4354994926,3652512.1406631437,274068.6116539153,4294967295,4294967295,0
29,796436070.001,-3976218.9959583194,3382372.661276711,3652512.6356834522,286621.97347812454,4294967295,4294967295,0
30,796436100.001,-3976219.145923613,3382373.1320847617,3652512.670860482,299175.1728834965,4294967295,4294967295,0
31,796436130.001,-3976219.202284411,3382372.859578232,3652512.542877823,311728.53208866686,4294967295,4294967295,0
32,796436160.001,-3976218.948183753,3382372.8569660597,3652512.5610457263,324282.0596639108,4294967295,4294967295,0
33,796436190.001,-3976219.3293112926,3382373.0961881964,3652512.6341705224,336836.3057872074,4294967295,4294967295,0
34,796436220.001,-3976219.260666069,3382373.307245271,3652513.0083691566,349391.24800357403,4294967295,4294967295,0
35,796436250.001,-3976218.995736619,3382372.7696816023,3652512.4459365504,361946.58766824944,4294967295,4294967295,0
36,796436280.001,-3976219.1519933767,3382372.93402773,3652512.979119521,374504.3140714184,4294967295,4294967295,0
37,796436310.001,-3976219.3538232045,3382372.8532338897,3652512.652738045,387063.155131065,4294967295,4294967295,0
38,796436340.001,-3976219.0915696803,3382372.964971659,3652512.969986113,399623.08962363336,4294967295,4294967295,0
39,796436370.001,-3976219.225390194,3382372.780455452,3652512.7216181722,412183.8127657426,4294967295,4294967295,0
40,796436400.001,-3976219.3446648354,3382373.1684578173,3652512.9688591645,424746.34476632136,4294967295,4294967295,0
41,796436430.001,-3976219.5897460985,3382373.2222683663,3652512.8796598827,437308.1154357172,4294967295,4294967295,0
42,796436460.001,-3976219.6141500524,3382373.471266958,3652513.188125114,449869.8092997512,4294967295,4294967295,0
43,796436490.002,-3976219.834978728,3382373.2654833053,3652512.650249876,462430.8094981472,4294967295,4294967295,0
44,796436520.002,-3976219.4922871813,3382373.0160866803,3652513.0046801143,474990.9367888511,4294967295,4294967295,0
45,796436550.002,-3976219.389166367,3382373.223548429,3652512.7328770454,487550.8709947114,4294967295,4294967295,0
