epoch_id,channel,satellite_id,sx_rx_m,sy_rx_m,sz_rx_m,code_m,add_correction_m,sigma_m,ready
0,6,G07,10026598.08525048,18601804.565202475,16597421.853782233,24361933.475,-40804.53399462499,10.769048831287611,1
0,7,G08,-683799.3129329443,26351234.67031009,79787.48037738077,23407378.219,-7548.629323503136,8.739213028173452,1
0,10,G11,-14822871.234747184,8930282.106572699,20079386.096716058,20311445.258,62992.8410219369,3.2034207754185635,1
0,18,G19,-23358547.339986786,-5407838.114961779,11505396.179047579,22613015.95,-5238.47521458119,5.7018335276638865,1
0,19,G20,-23036099.814325545,13172200.884661702,766984.1650844445,21565852.19,-22596.60434871206,4.213712049867233,1
0,23,G24,-4410731.170157236,25703748.48367475,4806330.194830253,22276378.821,1775.785353833589,5.256406307444497,1
0,27,G28,-2383584.5718469326,17483710.94208407,19982740.574755028,21543408.487,14052.924416101927,4.0866321643448975,1
1,6,G07,9969108.222398797,18580343.33867304,16657076.45369629,24359892.126,-40804.73633496182,10.670323887364988,1
1,7,G08,-692567.0505590348,26351724.70234781,-16652.001550028905,23434043.135,-7548.738891488114,8.798860528459493,1
1,10,G11,-14836966.246266635,8853826.428444972,20103371.49082631,20330150.234,62992.856499275185,3.207384937923602,1
1,18,G19,-23391048.99247764,-5437274.308147686,11424432.360303793,22636892.095,-5238.52777509215,5.724815871626542,1
1,19,G20,-23037516.341689322,13163238.833589038,862296.7773440352,21563073.027,-22596.567730717405,4.196814600582482,1
1,23,G24,-4418158.393073278,25685842.173556052,4899815.055726995,22276213.129,1775.825598503837,5.233330148056039,1
1,27,G28,-2450443.257562387,17517554.721777134,19943544.450940404,21543665.837,14052.941604407855,4.074820983425995,1
2,6,G07,9911387.862325653,18558879.56869055,16716423.050585998,24357843.816,-40804.93923324846,10.573330184737365,1
2,7,G08,-701323.1640796923,26351863.065097068,-113091.15996017255,23460756.608,-7548.848887714341,8.859486781657065,1
2,10,G11,-14851181.21656266,8777304.561143277,20126969.69337035,20348911.536,62992.87208845316,3.211396305569441,1
2,18,G19,-23423344.73358102,-5466491.058764336,11343250.589153687,22660800.539,-5238.580432098356,5.748036323330203,1
2,19,G20,-23038640.946343075,13154092.909537826,957592.848600911,21560367.612,-22596.531155406312,4.180120469036117,1
2,23,G24,-4425600.858399085,25667597.230968297,4993205.6431671735,22276105.258,1775.8659984306482,5.210533680541504,1
2,27,G28,-2517119.0994347436,17551442.771295857,19903970.63185434,21544003.933,14052.95873651792,4.06315846749858,1
3,6,G07,9853437.802032076,18537414.58229763,16775460.570084454,24355789.956,-40805.14247278804,10.478021626979624,1
3,7,G08,-710069.0634943087,26351649.744420648,-209528.10542466503,23487518.167,-7548.959152849009,8.921113180373906,1
3,10,G11,-14865516.239689872,8700718.145153735,20150180.26848861,20367728.852,62992.887850003885,3.2154548750953675,1
3,18,G19,-23455433.125327103,-5495488.849335533,11261852.405920817,22684741.398,-5238.633077853034,5.771498519073631,1
3,19,G20,-23039474.40463722,13144761.96034682,1052870.5500561814,21557737.752,-22596.494546562357,4.1636275506617,1
3,23,G24,-4433059.948980599,25649014.045159742,5086500.171246622,22276054.879,1775.906650060708,5.188012783475135,1
3,27,G28,-2583610.956940575,17585373.76790281,19864019.821307153,21544423.844,14052.975887016555,4.0516430297583135,1
4,6,G07,9795258.846266536,18515949.702418443,16834187.944441114,24353729.97,-40805.34875135994,10.384352719068612,1
4,7,G08,-718806.1590804305,26351084.737784926,-305960.9495877174,23514326.477,-7549.072037911104,8.983761173400291,1
4,10,G11,-14879971.400778167,8624068.822476901,20173002.78777922,20386602.367,62992.902943433764,3.219560522714379,1
