object,requested_seconds,sample_seconds,sample_offset_seconds,position_error_m
G05,900.0,900.0,0.0,0.385513801654425
G05,3600.0,3600.0,0.0,0.5179231933062007
G05,21600.0,21600.0,0.0,0.9420459837789419
G05,86400.0,86400.0,0.0,3.0718084989178207
G05,259200.0,259200.0,0.0,15.71892981370917
G05,604800.0,604800.0,0.0,71.79958488701931
C03,900.0,900.0,0.0,3.0177483723804883
C03,3600.0,3600.0,0.0,2.961748600563228
C03,21600.0,21600.0,0.0,2.7135381097633275
C03,86400.0,86400.0,0.0,3.3590497708469327
C03,259200.0,259200.0,0.0,3.855422788334176
C03,604800.0,604800.0,0.0,100604.17371492105
C06,900.0,900.0,0.0,1.1192667705291626
C06,3600.0,3600.0,0.0,1.2459161062344466
C06,21600.0,21600.0,0.0,1.072440889761925
C06,86400.0,86400.0,0.0,2.107834964016492
C06,259200.0,259200.0,0.0,3.743288850543958
C06,604800.0,604800.0,0.0,7.628694796156033
CHANDRA,900.0,848.8152039051056,-51.18479609489441,0.12907520987507032
CHANDRA,3600.0,3548.81520318985,-51.18479681015015,0.1328485352180361
CHANDRA,21600.0,21548.81519794464,-51.18480205535889,0.1569060928700736
CHANDRA,86400.0,86348.81517910957,-51.184820890426636,0.289813080890197
CHANDRA,259200.0,259148.81512999535,-51.18487000465393,0.5847548738970678
CHANDRA,604800.0,604748.81503582,-51.184964179992676,4463.679683006754
