object,threshold_m,observed_exceedance,first_sample_seconds,previous_sample_seconds,first_sample_error_m,tested_through_seconds
G05,10.0,True,183300.0,183000.0,10.021394844223707,604800.0
G05,100.0,False,,,,604800.0
G05,1000.0,False,,,,604800.0
G05,10000.0,False,,,,604800.0
C03,10.0,True,432000.0,259200.0,29256.54669475127,604800.0
C03,100.0,True,432000.0,259200.0,29256.54669475127,604800.0
C03,1000.0,True,432000.0,259200.0,29256.54669475127,604800.0
C03,10000.0,True,432000.0,259200.0,29256.54669475127,604800.0
C06,10.0,False,,,,604800.0
C06,100.0,False,,,,604800.0
C06,1000.0,False,,,,604800.0
C06,10000.0,False,,,,604800.0
CHANDRA,10.0,True,302648.815117836,302348.815117836,2492.098409637725,604748.81503582
CHANDRA,100.0,True,302648.815117836,302348.815117836,2492.098409637725,604748.81503582
CHANDRA,1000.0,True,302648.815117836,302348.815117836,2492.098409637725,604748.81503582
CHANDRA,10000.0,False,,,,604748.81503582
