object,threshold_m,observed_exceedance,first_sample_seconds,previous_sample_seconds,first_sample_error_m,tested_through_seconds
G05,10.0,True,300.0,,19.64377355192377,604800.0
G05,100.0,True,16800.0,16500.0,101.03204211970005,604800.0
G05,1000.0,True,183600.0,183300.0,1000.7595026414216,604800.0
G05,10000.0,False,,,,604800.0
C03,10.0,True,31200.0,30900.0,10.114622887487508,604800.0
C03,100.0,True,214500.0,214200.0,100.17621072005869,604800.0
C03,1000.0,False,,,,604800.0
C03,10000.0,False,,,,604800.0
C06,10.0,True,31200.0,30900.0,10.068851509835165,604800.0
C06,100.0,True,136200.0,135900.0,100.33916481959159,604800.0
C06,1000.0,True,553200.0,552900.0,1001.3933981679446,604800.0
C06,10000.0,False,,,,604800.0
CHANDRA,10.0,True,72248.81603312492,71948.81603336334,11.574171840560624,604748.8158562183
CHANDRA,100.0,True,109148.81602096558,108848.81602096558,100.03033753887912,604748.8158562183
CHANDRA,1000.0,True,260048.81597042084,259748.81597042084,1003.8918478898514,604748.8158562183
CHANDRA,10000.0,True,302648.8159561157,302348.81595635414,19399.30731939248,604748.8158562183
