seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,8.72174299347497e-07,-1.0818146733981848e-07,-8.695052358120847e-07,1.0636530742049217,37193052.24523585,50.931743593090474,True
600.0,8.83997768406063e-07,-1.78676458517657e-07,-8.764823746787442e-07,1.089431069791317,37254704.853494704,49.92724583124358,True
900.0,9.004885109980701e-07,-2.478431326835562e-07,-8.856517084154802e-07,1.1156850010156631,37316497.31003767,48.94166795023223,True
1200.0,9.182962033277583e-07,-3.143467210975359e-07,-8.938587185980396e-07,1.1408537104725838,37378306.59294314,47.97549739272504,True
1500.0,9.415221272236206e-07,-3.834484232356772e-07,-9.045167743693128e-07,1.1654876321554184,37440010.207892574,47.02921276800265,True
1800.0,9.67421551359803e-07,-4.4851796587863646e-07,-9.16074789358845e-07,1.189880833029747,37501486.418967135,46.10328407422479,True
2100.0,9.94820163091673e-07,-5.144030410519917e-07,-9.264324773994304e-07,1.2136808410286903,37562614.471440464,45.19817286689154,True
2400.0,1.025363182307477e-06,-5.776874729690462e-07,-9.383575658716836e-07,1.2374663278460503,37623274.80632556,44.314332365721334,True
2700.0,1.0586778370219346e-06,-6.400766494607524e-07,-9.51255735515133e-07,1.2607273384928703,37683349.27203018,43.452207490891055,True
3000.0,1.094958093404652e-06,-7.018317091933568e-07,-9.654769073108582e-07,1.2837036177515984,37742721.32549282,42.61223485925845,True
3300.0,1.1328779283877166e-06,-7.640244064077706e-07,-9.792647546191802e-07,1.3060617968440056,37801276.22968262,41.794842724272655,True
3600.0,1.172781271846808e-06,-8.243515310368821e-07,-9.941607359564841e-07,1.3286029994487762,37858901.2411694,41.00045087839454,True
3900.0,1.2148827004889082e-06,-8.867834253578621e-07,-1.0087488249155285e-06,1.3507475033402443,37915485.79494612,40.22947050052971,True
4200.0,1.2594293213546801e-06,-9.453415543703159e-07,-1.0265455401281542e-06,1.3730296045541763,37970921.6772277,39.48230397665579,True
4500.0,1.303448360821549e-06,-1.0028497285929916e-06,-1.0428070282841873e-06,1.3952181488275528,38025103.19559411,38.75934466067348,True
4800.0,1.35095604861444e-06,-1.0624059143538034e-06,-1.0608324743088815e-06,1.41636823117733,38077927.340178326,38.06097662829401,True
5100.0,1.397766729306287e-06,-1.1195156162102649e-06,-1.0782064308045847e-06,1.4380745440721512,38129293.934655786,37.38757436668962,True
5400.0,1.4468594148278936e-06,-1.1767759815484169e-06,-1.0973174369155458e-06,1.4598323479294777,38179105.78817407,36.7395024566341,True
5700.0,1.4959706569960909e-06,-1.2315741173551942e-06,-1.1172004121817736e-06,1.481883481144905,38227268.83290658,36.11711520672049,True
6000.0,1.5469515066771152e-06,-1.287634944446836e-06,-1.1378613464785303e-06,1.503684714436531,38273692.25916666,35.52075627353299,True
6300.0,1.5990156944096705e-06,-1.3439833992379135e-06,-1.1590311288500743e-06,1.5251414626836777,38318288.641024634,34.95075825263608,True
6600.0,1.6502386026038832e-06,-1.3976519994685077e-06,-1.1805101038930843e-06,1.5462954118847847,38360974.056833506,34.40744225066656,True
6900.0,1.7030835917775791e-06,-1.4523205322802824e-06,-1.2029530296331359e-06,1.5685132592916489,38401668.20171748,33.89111744071023,True
7200.0,1.7552062507840204e-06,-1.5062761065109953e-06,-1.224536561039713e-06,1.5907401964068413,38440294.498566456,33.402080599938245,True
7500.0,1.8085276725576201e-06,-1.5591868702813372e-06,-1.2484143425695038e-06,1.6136724278330803,38476780.19479217,32.940615648126865,True
7800.0,1.8628916977043643e-06,-1.6129149571497692e-06,-1.2728653828730785e-06,1.636216163635254,38511056.46059044,32.5069931628503,True
