seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,1.81325902797007e-05,-4.5466125015991565e-06,-1.8109636016561126e-05,16.655409533530474,32909997.511142332,-78.42739809378675,False
600.0,1.9984156197453694e-05,-7.1926618261386466e-06,-1.9918432712984213e-05,17.20441897213459,32866521.378612656,-76.98831443244202,False
900.0,2.1909140496828123e-05,-9.218196680649271e-06,-2.178800079377652e-05,17.75537057965994,32817942.07813,-75.54685280085288,False
1200.0,2.3908349157346148e-05,-1.081733628893744e-05,-2.3724075091990926e-05,18.307218689471483,32764343.88366246,-74.10460210403065,False
1500.0,2.59807676656679e-05,-1.212008464790415e-05,-2.5728492815346726e-05,18.859812192618847,32705810.6250346,-72.6625012153864,False
1800.0,2.8125658349073552e-05,-1.3198284307236463e-05,-2.7802891096939675e-05,19.412381324917078,32642425.438227255,-71.22108439170144,False
2100.0,3.0344989096060534e-05,-1.411188918609696e-05,-2.9950466625905392e-05,19.9675558693707,32574270.531786323,-69.7806219744311,False
2400.0,3.263635361038077e-05,-1.4894215780714148e-05,-3.217006580769066e-05,20.52276896685362,32501426.988387387,-68.34120486130146,False
2700.0,3.500152801897288e-05,-1.5569547713312204e-05,-3.4464498327224646e-05,21.079129446297884,32423974.572338693,-66.90279723808956,False
3000.0,3.743828937826186e-05,-1.616500833279133e-05,-3.68316276819769e-05,21.63638374954462,32341991.57522517,-65.46527066039083,False
3300.0,3.994860763880983e-05,-1.6687055108377535e-05,-3.9274535254207876e-05,22.193554066121578,32255554.680884134,-64.02842672668143,False
3600.0,4.252871762689246e-05,-1.7151266376913554e-05,-4.1789458073537844e-05,22.75311367213726,32164738.852576,-62.5920126022186,False
3900.0,4.518191409746245e-05,-1.7561328149895417e-05,-4.4380498124496626e-05,23.31266315281391,32069617.259052705,-61.15573187534445,False
4200.0,4.7905230997865716e-05,-1.7925017914421915e-05,-4.7044844635024674e-05,23.87237809598446,31970261.21185665,-59.71925236737547,False
4500.0,5.0698515290099986e-05,-1.8250958646603976e-05,-4.97822465064246e-05,24.433532271534204,31866740.139081243,-58.28221183655755,False
4800.0,5.3561383864573216e-05,-1.8539137670359196e-05,-5.259291859260884e-05,24.99383618682623,31759121.590315916,-56.84422225892878,False
5100.0,5.6491309951460885e-05,-1.8792825557056858e-05,-5.5474478891426315e-05,25.55466327443719,31647471.258088995,-55.40487310574904,False
5400.0,5.949162283965696e-05,-1.9013960695701826e-05,-5.843055620147197e-05,26.115039378404617,31531853.041238308,-53.963733896565635,False
5700.0,6.255640202724787e-05,-1.920493423313019e-05,-6.145523158096466e-05,26.67636724933982,31412329.126459192,-52.52035626501315,False
6000.0,6.568864035825402e-05,-1.9365279712246775e-05,-6.455192444576596e-05,27.236804720014334,31288960.1092461,-51.07427561980701,False
6300.0,6.888613198834157e-05,-1.9498729386668856e-05,-6.771821364282005e-05,27.795974105596542,31161805.133596215,-49.62501256975658,False
6600.0,7.21470842571445e-05,-1.9603262842338154e-05,-7.095273062418528e-05,28.35390591993928,31030922.066526778,-48.17207412894983,False
6900.0,7.547057214228369e-05,-1.968146071362753e-05,-7.425439343222706e-05,28.90998785942793,30896367.701498177,-46.714954784595065,False
7200.0,7.885638983739355e-05,-1.9730617026425534e-05,-7.762346155004707e-05,29.46528733894229,30758197.987143796,-45.25313745702189,False
7500.0,8.230331099535372e-05,-1.9750505373394844e-05,-8.105881801867554e-05,30.016724713146687,30616468.292505346,-43.78609438662545,False
7800.0,8.581083077824289e-05,-1.9745041015539755e-05,-8.45595104905783e-05,30.56605152785778,30471233.68540095,-42.31328796191575,False
8100.0,8.937573655163207e-05,-1.970878281554178e-05,-8.812299221716557e-05,31.111250299960375,30322549.255797323,-40.83417151342877,False
8400.0,9.29993124704401e-05,-1.964378967045377e-05,-9.175028901609039e-05,31.651481736451387,30170470.452453963,-39.34819007693178,False
8700.0,9.667880019793246e-05,-1.9545913460206066e-05,-9.543908084452823e-05,32.18745560199022,30015053.45026374,-37.85478115613926,False
9000.0,0.0001004138355083307,-1.9416281588746642e-05,-9.91887589876228e-05,32.7179163955152,29856355.54680571,-36.35337547045925,False
9300.0,0.00010420389163421047,-1.925657753076848e-05,-0.00010299844065286834,33.24078379571438,29694435.578684293,-34.84339771539265,False
9600.0,0.00010804765437388265,-1.9059603488358334e-05,-0.00010686752200683713,33.755961395800114,29529354.359661177,-33.32426733415993,False
9900.0,0.00011194261382761163,-1.8824008350293298e-05,-0.00011079338979413933,34.26246492192149,29361175.146854497,-31.795399314080534,False
10200.0,0.00011588883817365182,-1.855403201034278e-05,-0.00011477530478742892,34.75876523554325,29189964.12493892,-30.256205007210873,False
10500.0,0.00011988604723218219,-1.8241307515154404e-05,-0.00011881365684018874,35.242825862020254,29015790.910597242,-28.706092995282035,False
10800.0,0.00012393321584086692,-1.7889130901949102e-05,-0.000122906606666362,35.71510123461485,28838729.072584376,-27.14447000720925,False
11100.0,0.00012802715932739618,-1.7487524189618853e-05,-0.00012705161718784552,36.17354717478156,28658856.676870875,-25.570741893323678,False
11400.0,0.00013216865470308723,-1.7041479111412627e-05,-0.0001312483397164499,36.61619569733739,28476256.8397176,-23.984314673200124,False
11700.0,0.00013635901042031434,-1.654460407962688e-05,-0.00013549816568669826,37.04088946059346,28291018.297364734,-22.384595677127557,False
12000.0,0.00014059321434311831,-1.599581520395077e-05,-0.0001397954399635637,37.44710736349225,28103235.985546593,-20.770994803953286,False
12300.0,0.00014487152252476787,-1.5387727444249322e-05,-0.00014414034309595536,37.833274990320206,27913011.6334313,-19.14292588577143,False
12600.0,0.00014919745708610703,-1.4719171190336056e-05,-0.00014853557708960352,38.19664466381073,27720454.36272638,-17.49980822096813,False
12900.0,0.00015356531550925776,-1.3984597273974941e-05,-0.00015297486606158373,38.53613494336605,27525681.28919954,-15.841068294892866,False
13200.0,0.00015797540824297982,-1.3180389743183696e-05,-0.0001574576519605131,38.848215129226446,27328818.133957416,-14.16614168521673,False
13500.0,0.0001624294996066344,-1.2299935690407438e-05,-0.0001619849154455011,39.132681366056204,27129999.82482697,-12.474475233243574,False
13800.0,0.00016692389833101027,-1.1338692559093033e-05,-0.00016655181685898413,39.38707263767719,26929371.106014106,-10.765529507117625,False
14100.0,0.00017145925195642827,-1.028832349447839e-05,-0.00017115793303190685,39.609007723629475,26727087.13337821,-9.038781584025061,False
14400.0,0.00017603492235616854,-9.142388933014445e-06,-0.0001758011883543631,39.797590151429176,26523314.060453866,-7.293728240326542,False
14700.0,0.0001806513886322026,-7.893124745805835e-06,-0.00018048047362295705,39.94870659336448,26318229.616288844,-5.52988958791441,False
15000.0,0.00018530500545502502,-6.529175436753576e-06,-0.00018519043433196103,40.0612663179636,26112023.653515648,-3.746813246145485,False
15300.0,0.00018999823984886837,-5.040073062900774e-06,-0.00018993145617951512,40.13373454660177,25904898.68229034,-1.9440791102440926,False
15600.0,0.0001947265348670089,-3.413701506360667e-06,-0.00019469661033452712,40.16282498091459,25697070.37269195,-0.12130485128741342,False
15900.0,0.0001994919750740626,-1.637167599710665e-06,-0.00019948526316704296,40.14793649315834,25488768.015875,1.7218477898445208,False
16200.0,0.00020428931564176747,3.075350036851887e-07,-0.00020428908506664456,40.08549163118005,25280234.953064635,3.5856657302243806,False
16500.0,0.00020911875476204532,2.438541201854605e-06,-0.00020910466553747398,39.97488509118557,25071728.94325379,5.47037619709346,False
16800.0,0.00021397893174208665,4.7749883833603235e-06,-0.00021392652594887096,39.81432660296559,24863522.483163275,7.376137081257389,False
17100.0,0.00021886593073025144,7.344600874148455e-06,-0.00021874588480130797,39.60139272734523,24655903.055738576,9.30302580903573,False
17400.0,0.00022377667346547663,1.017201128661327e-05,-0.0002235541735018387,39.33315936103463,24449173.30262083,11.251026486223804,True
17700.0,0.00022870702928951347,1.329460855004072e-05,-0.000228340540076033,39.01081646233797,24243651.1052143,13.220015011808073,True
18000.0,0.00023365385702054105,1.6748395779586644e-05,-0.00023309423642103866,38.63054255768657,24039669.581328794,15.209741824222856,True
18300.0,0.00023860989834906688,2.0575710323100793e-05,-0.0002377991294153503,38.19202344119549,23837576.95404437,17.219811849118702,True
