seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,4.50624000251806e-06,1.542516852737208e-05,3.967169874385945e-06,-1.0921613946557045,35875998.8546646,82.03576603807993,True
600.0,4.478096623103591e-06,1.5818119550203846e-05,3.904242404928482e-06,-1.1259752213954926,35875920.163805224,82.03010278398379,True
900.0,4.448925603801448e-06,1.6185444906113844e-05,3.8404654247869985e-06,-1.1604643613100052,35875827.70302789,82.02411222978328,True
1200.0,4.417373852840054e-06,1.654500573522455e-05,3.772869760609865e-06,-1.195380836725235,35875721.52042557,82.01779582868213,True
1500.0,4.384347496203193e-06,1.6876686942168817e-05,3.704188088704541e-06,-1.2293942496180534,35875601.665308364,82.01115566334965,True
1800.0,4.349292912796876e-06,1.7201812568146124e-05,3.631933807923815e-06,-1.2633866667747498,35875468.19147239,82.00419445615753,True
2100.0,4.31441616585575e-06,1.7507106150560503e-05,3.5599184684542706e-06,-1.297555647790432,35875321.15428475,81.99691555547156,True
2400.0,4.27567638509048e-06,1.7793056144910224e-05,3.483246160840281e-06,-1.331559382379055,35875160.610819176,81.98932294697431,True
2700.0,4.236740910148277e-06,1.805655631414993e-05,3.406713830145236e-06,-1.3649342954158783,35874986.620271996,81.98142123010678,True
3000.0,4.196648422434961e-06,1.831178218481e-05,3.3277157740485563e-06,-1.3989125341176987,35874799.24578623,81.97321562855497,True
3300.0,4.153665641576704e-06,1.853623086844891e-05,3.2464447627944537e-06,-1.4326075315475464,35874598.550652035,81.964711972017,True
3600.0,4.110271041750551e-06,1.8750636087361272e-05,3.163801252981102e-06,-1.4658803641796112,35874384.60119545,81.95591668887259,True
3900.0,4.065369578073709e-06,1.894530373647285e-05,3.0794600718309084e-06,-1.4990761056542397,35874157.46654549,81.94683679734362,True
4200.0,4.018077883127466e-06,1.910715099029403e-05,2.9938898080672516e-06,-1.5323956236243248,35873917.21804413,81.93747989139268,True
4500.0,3.969915487094803e-06,1.9262054763657943e-05,2.9059279853527187e-06,-1.5655104890465736,35873663.928907014,81.9278541298029,True
4800.0,3.920317531568093e-06,1.9398337769871432e-05,2.8162254750441207e-06,-1.597767487168312,35873397.67448115,81.91796821817525,True
5100.0,3.868851931277994e-06,1.9509371838921652e-05,2.7250878957829627e-06,-1.6302087530493736,35873118.53432541,81.90783139536961,True
5400.0,3.814535830826934e-06,1.9590430412108617e-05,2.631840260391982e-06,-1.6623336598277092,35872826.58903963,81.89745341731886,True
5700.0,3.7603093014016562e-06,1.9656762447084475e-05,2.5385290456370058e-06,-1.6944858357310295,35872521.92272559,81.88684453546176,True
6000.0,3.7047387106891523e-06,1.9713401059107127e-05,2.4422002411483845e-06,-1.7261077985167503,35872204.62132194,81.87601548561655,True
6300.0,3.647660562458009e-06,1.9740082990438168e-05,2.3457706674889778e-06,-1.7576037347316742,35871874.77455338,81.86497745734226,True
6600.0,3.5900498354805772e-06,1.975043872448623e-05,2.248563191642461e-06,-1.788053721189499,35871532.47373701,81.85374208278093,True
6900.0,3.5295461792022843e-06,1.973437105107223e-05,2.1485392380782287e-06,-1.8191348016262054,35871177.81580086,81.84232141301416,True
7200.0,3.468935330445654e-06,1.970155315689226e-05,2.0484180396351803e-06,-1.8491145893931389,35870810.89738019,81.83072788981133,True
7500.0,3.406555089953561e-06,1.964565481671343e-05,1.9465981750954597e-06,-1.8787243366241455,35870431.82079786,81.8189743319208,True
7800.0,3.344223034891853e-06,1.956921613555096e-05,1.84573306682978e-06,-1.9079181477427483,35870040.69093488,81.80707390312057,True
8100.0,3.2798943520218797e-06,1.9475004933156015e-05,1.741500256002837e-06,-1.937358558177948,35869637.61683147,81.79504009955592,True
8400.0,3.214054400017098e-06,1.9354883562527903e-05,1.6363975845479217e-06,-1.9651919603347778,35869222.70858125,81.78288671159723,True
8700.0,3.1495674390613413e-06,1.9225015961410463e-05,1.5321176647375978e-06,-1.9932125806808472,35868796.08361693,81.77062780673332,True
9000.0,3.0832084943308126e-06,1.907022556224547e-05,1.4258349949614058e-06,-2.020270563662052,35868357.86024254,81.75827770823082,True
