seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,5.980980959040171e-07,-4.373945898805687e-07,5.036914672018611e-07,-0.16972897574305534,30487126.360768896,-42.493334022390265,False
600.0,6.234238927870412e-07,-4.5146856564315385e-07,5.221247576514543e-07,-0.1728040687739849,30338835.560289577,-41.01483392006554,False
900.0,6.500655723898265e-07,-4.667597295338055e-07,5.412737991150607e-07,-0.17696581780910492,30187132.785379242,-39.52938397679592,False
1200.0,6.772961701923028e-07,-4.838222764647071e-07,5.599263133149179e-07,-0.181323554366827,30032073.272358626,-38.036421308736145,False
1500.0,7.059472385839808e-07,-5.002715681712289e-07,5.803337828069743e-07,-0.18515052646398544,29873713.44005233,-36.535376686482564,False
1800.0,7.359878495328017e-07,-5.164747562957928e-07,6.023297132173866e-07,-0.18927715346217155,29712111.312457167,-35.02567527608333,False
2100.0,7.651715111832486e-07,-5.330866201802564e-07,6.228228102145295e-07,-0.19394931942224503,29547326.961139936,-33.50673740083943,False
2400.0,7.984538379830008e-07,-5.520556385363307e-07,6.467150726052751e-07,-0.1981320083141327,29379422.971258473,-31.977979337815015,False
2700.0,8.316419601615324e-07,-5.698750840110733e-07,6.709870348231561e-07,-0.20251235365867615,29208464.932277847,-30.438814119140957,False
3000.0,8.673986356312999e-07,-5.903474971091782e-07,6.96570541691699e-07,-0.20702537894248962,29034521.942924917,-28.88865240187971,False
3300.0,9.034864730095349e-07,-6.091117370488064e-07,7.23505163335858e-07,-0.21070116013288498,28857667.13679807,-27.32690337221551,False
3600.0,9.411106328332582e-07,-6.307952844508691e-07,7.502692440652936e-07,-0.21530622616410255,28677978.228615467,-25.752975716559824,False
3900.0,9.818005024359075e-07,-6.529368192786933e-07,7.80420887025457e-07,-0.22004969790577888,28495538.066768628,-24.166278676150423,False
4200.0,1.0222996660505624e-06,-6.741488505213056e-07,8.108935460882094e-07,-0.2234678752720356,28310435.20656735,-22.5662231750054,False
4500.0,1.0651941499051225e-06,-6.992442536102317e-07,8.415564138886111e-07,-0.2275615558028221,28122764.49738757,-20.95222307878002,False
4800.0,1.110166934360619e-06,-7.243388040478749e-07,8.747878936787856e-07,-0.23077163845300674,27932627.668295417,-19.32369657401425,False
5100.0,1.1560522231216522e-06,-7.494140277231054e-07,9.091954211726261e-07,-0.23369111865758896,27740133.93386698,-17.68006769586302,False
5400.0,1.2047090286485354e-06,-7.77180844124814e-07,9.451561169271372e-07,-0.23690753057599068,27545400.59723247,-16.02076804962877,False
5700.0,1.2528654241782342e-06,-8.05461695563281e-07,9.801679379251027e-07,-0.23891519755125046,27348553.6557084,-14.345238735944388,False
6000.0,1.3031086595358672e-06,-8.343161255197629e-07,1.0175496516495741e-06,-0.2411605305969715,27149728.413267717,-12.652932539816776,False
6300.0,1.3543534906646034e-06,-8.662777304380143e-07,1.0539833130707166e-06,-0.2427908033132553,26949070.079336118,-10.943316391200876,False
6600.0,1.4065513809796214e-06,-8.980733809949015e-07,1.0920340027809061e-06,-0.2431727796792984,26746734.368594874,-9.21587419171819,False
6900.0,1.4602280090475595e-06,-9.316958085037186e-07,1.1308761846962057e-06,-0.24378229305148125,26542888.08966272,-7.470110016466275,False
7200.0,1.5137632255163194e-06,-9.659509316861659e-07,1.1694613650803376e-06,-0.2440359704196453,26337709.71311374,-5.705551789207016,False
7500.0,1.5665227312376452e-06,-1.0004951889186486e-06,1.2073463575568155e-06,-0.24338363111019135,26131389.926604502,-3.9217554898448794,False
7800.0,1.622658229380955e-06,-1.0400561336609826e-06,1.2461062848245774e-06,-0.2426447868347168,25924132.16506777,-2.1183099820071143,False
8100.0,1.6777366876615188e-06,-1.0792135753945331e-06,1.2845735993249896e-06,-0.24083013832569122,25716153.106656987,-0.2948425519239318,False
8400.0,1.7321165940818015e-06,-1.1212719073228072e-06,1.320566486828767e-06,-0.2389933541417122,25507683.139846217,1.5489747154284252,False
8700.0,1.7864664694387908e-06,-1.1635219721028989e-06,1.3573791939336388e-06,-0.23578881472349167,25298966.779586937,3.41341759322868,False
9000.0,1.8416185066444371e-06,-1.2087330389931594e-06,1.3939092839976297e-06,-0.23297006264328957,25090263.04329905,5.298701270917645,False
9300.0,1.895287379887744e-06,-1.2552508223961922e-06,1.4287213350172578e-06,-0.22895685955882072,24881845.756640732,7.204970604466181,False
9600.0,1.9500921419115184e-06,-1.3057441492492217e-06,1.4631610234516756e-06,-0.22427088022232056,24674003.80391339,9.132288863868613,False
9900.0,2.0019972802238902e-06,-1.3570589203482086e-06,1.4947935635944987e-06,-0.2200891561806202,24467041.29462378,11.080624739051666,True
10200.0,2.054329392239508e-06,-1.4121838489700167e-06,1.5256747811775995e-06,-0.2145974040031433,24261277.640370425,13.04983728606719,True
