seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
300.0,7.59228822096155e-07,7.126049013095326e-07,-3.4417112715345866e-07,0.04403641074895859,39914972.276742436,18.255653490014915,True
600.0,7.734653375473927e-07,7.313986429835495e-07,-3.468060221223368e-07,0.0400582030415535,39834590.65794657,19.046673639888077,True
900.0,7.861893041798528e-07,7.5009290867456e-07,-3.4655946379302804e-07,0.03640718758106232,39756980.90231015,19.814388316349586,True
1200.0,7.993694895765698e-07,7.691553776112414e-07,-3.4690098260625746e-07,0.03204956650733948,39682209.148780815,20.557772994976002,True
1500.0,8.124978114514408e-07,7.902141874183144e-07,-3.4341145038752074e-07,0.0268629789352417,39610337.717765674,21.27580748173958,True
1800.0,8.239114833702645e-07,8.096977808236261e-07,-3.390622786980657e-07,0.021521545946598053,39541424.98773437,21.96748048390836,True
2100.0,8.371332972037437e-07,8.314956687627273e-07,-3.3434302082469003e-07,0.01584523916244507,39475525.28156074,22.631794531875006,True
2400.0,8.485670306043162e-07,8.519937466644478e-07,-3.2779061598375847e-07,0.01006288081407547,39412688.75869294,23.267771264628486,True
2700.0,8.594119308629915e-07,8.72431115794825e-07,-3.1958438029278113e-07,0.0036984458565711975,39352961.31895547,23.87445703872061,True
3000.0,8.694473980781567e-07,8.926293162403454e-07,-3.092909786062137e-07,-0.0030979737639427185,39296384.51364189,24.450928808347616,True
3300.0,8.804724012630571e-07,9.140940449015034e-07,-2.980939797225801e-07,-0.010443635284900665,39242995.46901215,24.996300232360486,True
3600.0,8.901210241099846e-07,9.342412568003056e-07,-2.852888485449512e-07,-0.017740517854690552,39192826.81849855,25.509727932356434,True
3900.0,9.013953664422508e-07,9.564882361701166e-07,-2.7080095676979e-07,-0.025497473776340485,39145906.648661755,25.99041783723792,True
4200.0,9.08745979571227e-07,9.744667295308318e-07,-2.5389824287458396e-07,-0.03354400396347046,39102258.45279759,26.437631518138975,True
4500.0,9.169029794980207e-07,9.926273207838676e-07,-2.3750417810219915e-07,-0.041504718363285065,39061901.098326854,26.850692428305976,True
4800.0,9.252717146809644e-07,1.01126261142781e-06,-2.1810081918260948e-07,-0.05093963444232941,39024848.80758377,27.228991926435395,True
5100.0,9.329117904070292e-07,1.0282250570980977e-06,-1.9895806602221455e-07,-0.05978841334581375,38991111.14279662,27.571995015431487,True
5400.0,9.395710458903242e-07,1.0438270123813709e-06,-1.7738103963438334e-07,-0.06902766227722168,38960693.015268035,27.879245640048637,True
5700.0,9.444154594715226e-07,1.0565311754362483e-06,-1.553148365474044e-07,-0.07819269597530365,38933594.69544696,28.150371487265296,True
6000.0,9.495635101948779e-07,1.0689486771298107e-06,-1.3137542254071377e-07,-0.08798836171627045,38909811.84209836,28.385088147120126,True
6300.0,9.546651470107927e-07,1.0804021428612032e-06,-1.0632026459234112e-07,-0.098451167345047,38889335.53895602,28.583202574329448,True
6600.0,9.580537531245643e-07,1.0887104338053177e-06,-8.185259758874963e-08,-0.10940137505531311,38872152.34546087,28.744615750915745,True
6900.0,9.61224973769392e-07,1.0958131611005228e-06,-5.536906400038788e-08,-0.11979573220014572,38858244.35800258,28.869324487912486,True
7200.0,9.644658143983735e-07,1.1017545205049828e-06,-2.9554637848150378e-08,-0.1303265020251274,38847589.28576035,28.957422338242242,True
7500.0,9.65371658224616e-07,1.1038559364351386e-06,-2.194571635527609e-09,-0.14079788327217102,38840160.53237017,29.009099559044763,True
7800.0,9.663361387078904e-07,1.1047308134948253e-06,2.5903386102754666e-08,-0.15211953222751617,38835927.292903036,29.024642155186047,True
8100.0,9.661978390916346e-07,1.103110236044813e-06,5.268072555963954e-08,-0.1633569747209549,38834854.65618931,29.00442999127533,True
8400.0,9.66336819881165e-07,1.1004538293946098e-06,8.07896789467577e-08,-0.17570263147354126,38836903.72390305,28.94893401361402,True
8700.0,9.638497045112747e-07,1.093459360390625e-06,1.0900990687900958e-07,-0.18709956854581833,38842031.72964654,28.858712656161497,True
9000.0,9.6230607359676e-07,1.0865126682801929e-06,1.3551181865523176e-07,-0.19879672676324844,38850192.178783804,28.734407476789425,True
9300.0,9.582270472847227e-07,1.0753963692877733e-06,1.622627685549105e-07,-0.2103336602449417,38861334.98495731,28.5767381217461,True
9600.0,9.542042985719635e-07,1.0632300870838662e-06,1.8856075101325587e-07,-0.22236349433660507,38875406.62210358,28.386496728894294,True
9900.0,9.495255020982758e-07,1.049233759431445e-06,2.1441476150130256e-07,-0.23549461364746094,38892350.279530205,28.164541855368277,True
10200.0,9.450463438997789e-07,1.0342580480937613e-06,2.404629420027504e-07,-0.24725324660539627,38912106.021518044,27.911792053537315,True
10500.0,9.377557712904025e-07,1.0156264522720448e-06,2.640544565224445e-07,-0.2596943899989128,38934610.963322386,27.629219206925196,True
10800.0,9.306506287985056e-07,9.96487557358705e-07,2.868091399932382e-07,-0.2714412361383438,38959799.436688535,27.317841719484836,True
11100.0,9.223817475118491e-07,9.748098364070756e-07,3.100045020687503e-07,-0.28408870846033096,38987603.17414606,26.978717685149523,True
11400.0,9.140704803636452e-07,9.528874329589598e-07,3.312654115461555e-07,-0.29580050706863403,39017951.48423826,26.612938119618853,True
11700.0,9.036183182021584e-07,9.285917883516959e-07,3.501196452759814e-07,-0.30861059576272964,39050771.44352651,26.221620332549602,True
12000.0,8.934427751471265e-07,9.037887878093898e-07,3.6905485600868815e-07,-0.32039494067430496,39085988.0756711,25.805901528242494,True
12300.0,8.809171232721964e-07,8.760891319070652e-07,3.8646393107910626e-07,-0.332845076918602,39123524.5482654,25.36693270139444,True
12600.0,8.693047373659411e-07,8.498033707837749e-07,4.0199589079747966e-07,-0.3445487394928932,39163302.35588769,24.90587285831958,True
12900.0,8.561683949820369e-07,8.221695111387817e-07,4.1548801377189193e-07,-0.35703857988119125,39205241.51660774,24.42388362152233,True
13200.0,8.413503673599915e-07,7.918451956356876e-07,4.288936423790801e-07,-0.36863987147808075,39249260.75617439,23.922124235944274,True
13500.0,8.259134349263127e-07,7.625803277733212e-07,4.3856540798969945e-07,-0.3808140531182289,39295277.70399911,23.401747006762978,True
13800.0,8.106586532186452e-07,7.328672779749468e-07,4.4850417779684904e-07,-0.3921433389186859,39343209.07552296,22.863893145899283,True
14100.0,7.941822601271627e-07,7.025871013865981e-07,4.563239599519875e-07,-0.40346117317676544,39392970.86394055,22.309689074938643,True
14400.0,7.768131325527025e-07,6.721487864069786e-07,4.6220929661444643e-07,-0.41483124345541,39444478.52148049,21.740243126554574,True
14700.0,7.588972013790516e-07,6.419820692826761e-07,4.663373047719688e-07,-0.4256090670824051,39497647.141002096,21.156642665463693,True
15000.0,7.401316660989397e-07,6.115569419762323e-07,4.689558430470697e-07,-0.4369145929813385,39552391.636792846,20.55995159654591,True
15300.0,7.202321793727362e-07,5.802114628750132e-07,4.704093754526184e-07,-0.44737057387828827,39608626.915007934,19.95120824110017,True
15600.0,6.98916110287893e-07,5.491197612172982e-07,4.6903495842798293e-07,-0.457845963537693,39666268.04910897,19.33142355902611,True
15900.0,6.781125721697626e-07,5.185232794246986e-07,4.6755992499925014e-07,-0.46826833486557007,39725230.443014145,18.701579680365313,True
16200.0,6.56765704943778e-07,4.888363775990001e-07,4.64061095328816e-07,-0.47773418575525284,39785429.9928687,18.062628743339875,True
16500.0,6.3473797750137e-07,4.59172611044778e-07,4.5928177172527285e-07,-0.4874952584505081,39846783.24672347,17.415491980082557,True
16800.0,6.099917642754964e-07,4.27943490421967e-07,4.518678409226595e-07,-0.49693919718265533,39909207.5519797,16.76105905182332,True
17100.0,5.860351172283348e-07,3.999320767889003e-07,4.424840511774164e-07,-0.5062020495533943,39972621.204006396,16.100187586666834,True
