seconds_after_cutoff,line_of_sight_error_deg,azimuth_error_deg,elevation_error_deg,range_error_m,reference_range_m,reference_elevation_deg,reference_visible
248.81605744361877,5.116299702870689e-10,-2.611102445371216e-10,-4.427214150837244e-10,0.0022544264793395996,137995425.9355022,-10.837129876876826,False
548.8160572052002,7.077022732497863e-10,-4.0668624023965094e-10,-5.842313299808666e-10,0.002082228660583496,137791444.095156,-10.854578235484208,False
848.8160572052002,9.75942418574637e-10,-6.016023235133616e-10,-7.767759768739779e-10,0.0017483830451965332,137584409.7837002,-10.859274726723974,False
1148.8160569667816,1.188859697987135e-09,-7.477183316950686e-10,-9.349570007088914e-10,0.0015613734722137451,137374319.45561796,-10.851228690247767,False
1448.8160569667816,1.4411716137148425e-09,-9.183054316963535e-10,-1.1240341990514935e-09,0.001287907361984253,137161170.07980382,-10.830455875258744,False
1748.8160569667816,1.7194303190267324e-09,-1.102449687095941e-09,-1.3355396788483631e-09,0.0009593963623046875,136944959.13860676,-10.796978419903487,False
2048.816056728363,1.9468752204883145e-09,-1.243847691512201e-09,-1.5156000898741695e-09,0.0007643997669219971,136725684.62593234,-10.750824815939131,False
2348.816056728363,2.2443230123705163e-09,-1.4301804185379297e-09,-1.74985004264272e-09,0.0004063844680786133,136503345.04563284,-10.692029858808414,False
2648.8160564899445,2.4790688572623623e-09,-1.566121454743552e-09,-1.9432917497397284e-09,0.00021147727966308594,136277939.40970498,-10.620634584710077,False
2948.8160564899445,2.791197806389196e-09,-1.7504930838185828e-09,-2.1974972952421012e-09,-0.0001652538776397705,136049467.23604733,-10.536686192755207,False
3248.816056251526,3.0067468123448124e-09,-1.8622472452989314e-09,-2.3846222774182024e-09,-0.0002936422824859619,135817928.54612333,-10.440237955653055,False
3548.816056251526,3.3173326794840553e-09,-2.0330617189756595e-09,-2.6465549751719664e-09,-0.0006486177444458008,135583323.8626633,-10.33134911591444,False
3848.816056251526,3.6450189210532036e-09,-2.208423666161252e-09,-2.926146436266208e-09,-0.001037001609802246,135345654.20664713,-10.210084772094657,False
4148.816056013107,3.905951299802328e-09,-2.3331097054324346e-09,-3.1590641214052084e-09,-0.001249760389328003,135104921.09448865,-10.076515752361122,False
4448.816056013107,4.241839676413878e-09,-2.5000588266266277e-09,-3.4538096826963738e-09,-0.0016407668590545654,134861126.53490245,-9.930718477288913,False
4748.816055774689,4.5173096128923935e-09,-2.621504791022744e-09,-3.705647344531826e-09,-0.0018708407878875732,134614273.02566683,-9.772774814503213,False
5048.816055774689,4.834349546038636e-09,-2.7625901566352695e-09,-3.993914532429699e-09,-0.0021953284740448,134364363.54983535,-9.602771921793495,False
5348.816055774689,5.178901311955479e-09,-2.913509433710715e-09,-4.30813074103753e-09,-0.0025795847177505493,134111401.57249427,-9.420802084461746,False
5648.81605553627,5.470031775837302e-09,-3.0248372695496073e-09,-4.5833168371700594e-09,-0.002817973494529724,133855391.03638102,-9.226962543813887,False
5948.81605553627,5.8354241070820244e-09,-3.1735112315800507e-09,-4.9222670384097e-09,-0.003233864903450012,133596336.35784052,-9.021355318812521,False
6248.816055297852,6.135940359637703e-09,-3.2767104585218476e-09,-5.211955311779093e-09,-0.003473445773124695,133334242.42273019,-8.804087024353734,False
6548.816055297852,6.513750722087558e-09,-3.417284233364626e-09,-5.5687294775452756e-09,-0.0038982778787612915,133069114.58164863,-8.57526868161578,False
6848.816055059433,6.829823895819464e-09,-3.51536755260895e-09,-5.877778264107292e-09,-0.004153743386268616,132800958.64545664,-8.335015528207787,False
7148.816055059433,7.189394742733811e-09,-3.630532319220947e-09,-6.22633145042073e-09,-0.00450780987739563,132529780.88001995,-8.083446821686692,False
7448.816055059433,7.577913525918774e-09,-3.753655164473457e-09,-6.602712154801793e-09,-0.004924297332763672,132255588.00166216,-7.820685644551609,False
7748.816054821014,7.91179553064384e-09,-3.8399150525947334e-09,-6.93583857014346e-09,-0.0051873475313186646,131978387.17135845,-7.54685870588617,False
8048.816054821014,8.322864325862785e-09,-3.959144123655278e-09,-7.3379649023763704e-09,-0.005636885762214661,131698185.9893022,-7.262096142309558,False
8348.816054582596,8.66648756590769e-09,-4.0359111608267995e-09,-7.684990421807925e-09,-0.0058994293212890625,131414992.4894916,-6.966531322308492,False
8648.816054582596,9.09537908991658e-09,-4.148091647948604e-09,-8.108688831498512e-09,-0.006370171904563904,131128815.13354419,-6.660300647561126,False
8948.816054344177,9.419928800310674e-09,-4.2010981360363076e-09,-8.444011712072097e-09,-0.006556496024131775,130839662.80476049,-6.343543360995434,False
9248.816054344177,9.849185082488857e-09,-4.29767510468082e-09,-8.873524137698041e-09,-0.007001593708992004,130547544.8019544,-6.01640135253064,False
9548.816054344177,1.0298266915884685e-08,-4.395275254864828e-09,-9.323362526458823e-09,-0.0074842870235443115,130252470.83278918,-5.67901897312447,False
9848.816054105759,1.0675634580097848e-08,-4.45172076979361e-09,-9.711975224035996e-09,-0.007765293121337891,129954451.00718577,-5.331542849499304,False
10148.816054105759,1.113714066433518e-08,-4.538833309197798e-09,-1.0177911846653842e-08,-0.008251368999481201,129653495.83041477,-4.974121703312274,False
10448.81605386734,1.1528774427348688e-08,-4.587093371810624e-09,-1.0583330656288581e-08,-0.00853864848613739,129349616.19626085,-4.606906178971398,False
