API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: Sep 02, 2026  Chandra Spacecraft (X-ray observatory) / (Earth)   -151
                          http://xrtpub.harvard.edu/index.html

 Chandra X-ray Observatory:
  Deployment (STS-93)    = July 23, 1999   Data storage             = 1.8 gbs
  Science mission        = ~5 years        Length (sun shade open)  = 45.3 m
  Orbital check-out      = 2 months        Length (sun shade clsd)  = 38.7 m

 ORBITAL DATA:
  Inclination            = 28.5 degrees    Orbital period           = ~64 hours 
  Apogee altitude        = ~ 86,487 km     Observing time / orbit   = ~55 hours
  Perigee altitude       = ~  5,999 km   

 WEIGHTS & PROPULSION:
  Dry                    = 10,560 lbs      Propellant               = 2,153 lbs
  Pressurant             = 10 lb           Total launch weight      = 12,930 lb
  Engines                = 4               Thrust per engine        = 105 lb

 SPACECRAFT TRAJECTORY (from CFA): 
  Trajectory after 2026-Sep-01 is a prediction

  Trajectory name               Start        Stop
  ----------------------------  -----------  -----------
  cxo_99219_06045               1999-Aug-07  2006-Feb-14
  cxo_06002_10103               2006-Feb-03  2010-Feb-25 
  CXO_10056_27061               2010-Feb-25  2027-Mar-02
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 20:52:05 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Chandra Observatory (spacecraft) (-151) {source: chandra_merged}
Center body name: Earth (399)                     {source: chandra_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jan-25 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Feb-02 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460700.500000000, A.D. 2025-Jan-25 00:00:00.0000, -5.475508393107883E+03, -1.128605422919679E+05,  9.055284866079730E+04,  5.245192698797991E-01, -5.435659511304513E-01,  3.283885236723936E-02,
2460700.503472222, A.D. 2025-Jan-25 00:05:00.0000, -5.318120523019200E+03, -1.130229453687944E+05,  9.056216495156735E+04,  5.247320728374016E-01, -5.391221044196729E-01,  2.927124683111388E-02,
2460700.506944444, A.D. 2025-Jan-25 00:10:00.0000, -5.160669822521437E+03, -1.131840160758591E+05,  9.057041230049040E+04,  5.249381457307746E-01, -5.346834712703191E-01,  2.571255733308070E-02,
2460700.510416667, A.D. 2025-Jan-25 00:15:00.0000, -5.003158304957596E+03, -1.133437559638559E+05,  9.057759336797307E+04,  5.251375261674852E-01, -5.302499624923833E-01,  2.216268799088892E-02,
2460700.513888889, A.D. 2025-Jan-25 00:20:00.0000, -4.845587972449984E+03, -1.135021665568499E+05,  9.058371078580033E+04,  5.253302510479917E-01, -5.258214894555250E-01,  1.862154386871457E-02,
2460700.517361111, A.D. 2025-Jan-25 00:25:00.0000, -4.687960816315986E+03, -1.136592493522400E+05,  9.058876715741148E+04,  5.255163565748888E-01, -5.213979640839319E-01,  1.508903096648155E-02,
2460700.520833333, A.D. 2025-Jan-25 00:30:00.0000, -4.530278816999982E+03, -1.138150058211989E+05,  9.059276505818754E+04,  5.256958782625034E-01, -5.169792988377414E-01,  1.156505619855986E-02,
2460700.524305556, A.D. 2025-Jan-25 00:35:00.0000, -4.372543944384363E+03, -1.139694374087267E+05,  9.059570703571991E+04,  5.258688509458255E-01, -5.125654067055069E-01,  8.049527381485509E-03,
2460700.527777778, A.D. 2025-Jan-25 00:40:00.0000, -4.214758158043866E+03, -1.141225455337564E+05,  9.059759561007719E+04,  5.260353087892484E-01, -5.081562011949274E-01,  4.542353220523460E-03,
2460700.531250000, A.D. 2025-Jan-25 00:45:00.0000, -4.056923407319145E+03, -1.142743315894309E+05,  9.059843327407165E+04,  5.261952852954729E-01, -5.037515963193265E-01,  1.043443292682472E-03,
2460700.534722222, A.D. 2025-Jan-25 00:50:00.0000, -3.899041631767353E+03, -1.144247969430099E+05,  9.059822249351749E+04,  5.263488133136415E-01, -4.993515065943957E-01, -2.447291961619772E-03,
