API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: Sep 02, 2026  Chandra Spacecraft (X-ray observatory) / (Earth)   -151
                          http://xrtpub.harvard.edu/index.html

 Chandra X-ray Observatory:
  Deployment (STS-93)    = July 23, 1999   Data storage             = 1.8 gbs
  Science mission        = ~5 years        Length (sun shade open)  = 45.3 m
  Orbital check-out      = 2 months        Length (sun shade clsd)  = 38.7 m

 ORBITAL DATA:
  Inclination            = 28.5 degrees    Orbital period           = ~64 hours 
  Apogee altitude        = ~ 86,487 km     Observing time / orbit   = ~55 hours
  Perigee altitude       = ~  5,999 km   

 WEIGHTS & PROPULSION:
  Dry                    = 10,560 lbs      Propellant               = 2,153 lbs
  Pressurant             = 10 lb           Total launch weight      = 12,930 lb
  Engines                = 4               Thrust per engine        = 105 lb

 SPACECRAFT TRAJECTORY (from CFA): 
  Trajectory after 2026-Sep-01 is a prediction

  Trajectory name               Start        Stop
  ----------------------------  -----------  -----------
  cxo_99219_06045               1999-Aug-07  2006-Feb-14
  cxo_06002_10103               2006-Feb-03  2010-Feb-25 
  CXO_10056_27061               2010-Feb-25  2027-Mar-02
*******************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 21:08:35 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Chandra Observatory (spacecraft) (-151) {source: chandra_merged}
Center body name: Earth (399)                     {source: chandra_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jan-05 11:55:00.0000 TDB
Stop  time      : A.D. 2025-Jan-05 12:10:00.0000 TDB
Step-size       : 900 steps
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460680.996527778, A.D. 2025-Jan-05 11:55:00.0000, -9.930753745050810E+03,  8.871879498557753E+03,  1.501798716634597E+02, -5.405478225297078E+00, -1.404891782220781E+00,  4.872834967280083E+00,
2460680.996539352, A.D. 2025-Jan-05 11:55:01.0000, -9.936158370111998E+03,  8.870473856390152E+03,  1.550526846177437E+02, -5.403801811724398E+00, -1.406388887878840E+00,  4.872809172338892E+00,
2460680.996550926, A.D. 2025-Jan-05 11:55:02.0000, -9.941561318702517E+03,  8.869066717663030E+03,  1.599254713167417E+02, -5.402125676762596E+00, -1.407884693454414E+00,  4.872782573138723E+00,
2460680.996562500, A.D. 2025-Jan-05 11:55:03.0000, -9.946962591102689E+03,  8.867658083676277E+03,  1.647982309575357E+02, -5.400449821286507E+00, -1.409379199661169E+00,  4.872755170843388E+00,
2460680.996574074, A.D. 2025-Jan-05 11:55:04.0000, -9.952362187593708E+03,  8.866247955729074E+03,  1.696709627383765E+02, -5.398774246168756E+00, -1.410872407213611E+00,  4.872726966615794E+00,
2460680.996585648, A.D. 2025-Jan-05 11:55:05.0000, -9.957760108457664E+03,  8.864836335119908E+03,  1.745436658586829E+02, -5.397098952279772E+00, -1.412364316827088E+00,  4.872697961617947E+00,
2460680.996597222, A.D. 2025-Jan-05 11:55:06.0000, -9.963156353977529E+03,  8.863423223146545E+03,  1.794163395190399E+02, -5.395423940487776E+00, -1.413854929217783E+00,  4.872668157010952E+00,
2460680.996608797, A.D. 2025-Jan-05 11:55:07.0000, -9.968550924437157E+03,  8.862008621106055E+03,  1.842889829211992E+02, -5.393749211658797E+00, -1.415344245102711E+00,  4.872637553955002E+00,
2460680.996620371, A.D. 2025-Jan-05 11:55:08.0000, -9.973943820121294E+03,  8.860592530294793E+03,  1.891615952680770E+02, -5.392074766656672E+00, -1.416832265199712E+00,  4.872606153609391E+00,
2460680.996631945, A.D. 2025-Jan-05 11:55:09.0000, -9.979335041315555E+03,  8.859174952008398E+03,  1.940341757637536E+02, -5.390400606343041E+00, -1.418318990227448E+00,  4.872573957132500E+00,
2460680.996643519, A.D. 2025-Jan-05 11:55:10.0000, -9.984724588306441E+03,  8.857755887541807E+03,  1.989067236134725E+02, -5.388726731577358E+00, -1.419804420905401E+00,  4.872540965681806E+00,
