API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API

*******************************************************************************
 Revised: July 31, 2013             Moon / (Earth)                          301
 
 GEOPHYSICAL DATA (updated 2018-Aug-15):
  Vol. mean radius, km  = 1737.53+-0.03    Mass, x10^22 kg       =    7.349
  Radius (gravity), km  = 1738.0           Surface emissivity    =    0.92
  Radius (IAU), km      = 1737.4           GM, km^3/s^2          = 4902.800066
  Density, g/cm^3       =    3.3437        GM 1-sigma, km^3/s^2  =  +-0.0001  
  V(1,0)                =   +0.21          Surface accel., m/s^2 =    1.62
  Earth/Moon mass ratio = 81.3005690769    Farside crust. thick. = ~80 - 90 km
  Mean crustal density  = 2.97+-.07 g/cm^3 Nearside crust. thick.= 58+-8 km 
  Heat flow, Apollo 15  = 3.1+-.6 mW/m^2   Mean angular diameter = 31'05.2"
  Heat flow, Apollo 17  = 2.2+-.5 mW/m^2   Sid. rot. rate, rad/s = 0.0000026617
  Geometric Albedo      = 0.12             Mean solar day        = 29.5306 d
  Obliquity to orbit    = 6.67 deg         Orbit period          = 27.321582 d
  Semi-major axis, a    = 384400 km        Eccentricity          = 0.05490
  Mean motion, rad/s    = 2.6616995x10^-6  Inclination           = 5.145 deg
  Apsidal period        = 3231.50 d        Nodal period          = 6798.38 d
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         1414+-7     1323+-7     1368+-7
  Maximum Planetary IR (W/m^2)   1314        1226        1268
  Minimum Planetary IR (W/m^2)      5.2         5.2         5.2
********************************************************************************


*******************************************************************************
Ephemeris / API_USER Mon Sep 14 19:49:07 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2025-Jan-09 00:00:00.0000 TDB
Step-size       : 5 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260914.p261211
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-SEP-14. PREDICTS-> 2026-DEC-10
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460676.500000000, A.D. 2025-Jan-01 00:00:00.0000,  1.520523605713538E+05, -3.078236314310748E+05, -1.668798858747519E+05,  9.326235215333673E-01,  3.943996002465365E-01,  2.127771994708945E-01,
2460676.503472222, A.D. 2025-Jan-01 00:05:00.0000,  1.523320980579155E+05, -3.077052123937453E+05, -1.668159987534283E+05,  9.322929484042157E-01,  3.950606162844355E-01,  2.131369252220759E-01,
2460676.506944444, A.D. 2025-Jan-01 00:10:00.0000,  1.526117362761179E+05, -3.075865950807279E+05, -1.667520037301105E+05,  9.319617324895635E-01,  3.957214380838081E-01,  2.134965460542872E-01,
2460676.510416667, A.D. 2025-Jan-01 00:15:00.0000,  1.528912750331420E+05, -3.074677795503685E+05, -1.666879008363147E+05,  9.316298739021067E-01,  3.963820651484825E-01,  2.138560616970089E-01,
2460676.513888889, A.D. 2025-Jan-01 00:20:00.0000,  1.531707141362031E+05, -3.073487658611619E+05, -1.666236901036383E+05,  9.312973727550965E-01,  3.970424969822811E-01,  2.142154718797182E-01,
2460676.517361111, A.D. 2025-Jan-01 00:25:00.0000,  1.534500533925505E+05, -3.072295540717518E+05, -1.665593715637599E+05,  9.309642291623408E-01,  3.977027330890228E-01,  2.145747763318893E-01,
2460676.520833333, A.D. 2025-Jan-01 00:30:00.0000,  1.537292926094673E+05, -3.071101442409309E+05, -1.664949452484393E+05,  9.306304432382052E-01,  3.983627729725213E-01,  2.149339747829941E-01,
2460676.524305556, A.D. 2025-Jan-01 00:35:00.0000,  1.540084315942717E+05, -3.069905364276403E+05, -1.664304111895173E+05,  9.302960150976114E-01,  3.990226161365879E-01,  2.152930669625021E-01,
2460676.527777778, A.D. 2025-Jan-01 00:40:00.0000,  1.542874701543159E+05, -3.068707306909704E+05, -1.663657694189160E+05,  9.299609448560385E-01,  3.996822620850303E-01,  2.156520525998805E-01,
2460676.531250000, A.D. 2025-Jan-01 00:45:00.0000,  1.545664080969869E+05, -3.067507270901604E+05, -1.663010199686387E+05,  9.296252326295229E-01,  4.003417103216542E-01,  2.160109314245949E-01,
2460676.534722222, A.D. 2025-Jan-01 00:50:00.0000,  1.548452452297067E+05, -3.066305256845983E+05, -1.662361628707696E+05,  9.292888785346578E-01,  4.010009603502634E-01,  2.163697031661097E-01,
2460676.538194444, A.D. 2025-Jan-01 00:55:00.0000,  1.551239813599325E+05, -3.065101265338207E+05, -1.661711981574743E+05,  9.289518826885942E-01,  4.016600116746608E-01,  2.167283675538881E-01,
