epoch_id,slot,satellite_id,sat_rxframe_x_m,sat_rxframe_y_m,sat_rxframe_z_m,corrected_code_m,sigma_m
0,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.78753934,0.7
0,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.61260365,0.7999999999999999
0,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046905.23258446,0.8999999999999999
0,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.746304713,1.0
0,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070856.762859464,1.1
0,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082934.812935963,1.2
0,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095007.33424895,1.3
0,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107041.733223457,1.4
0,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.344703883,1.5
0,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131149.79022478,1.6
0,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.23784499,1.7
0,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.536615502,1.8
1,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.695874676,0.7
1,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.544896778,0.7999999999999999
1,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046905.12167679,0.8999999999999999
1,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.805605087,1.0
1,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070856.95683103,1.1
1,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082935.09927608,1.2
1,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095007.776998233,1.3
1,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107041.989916578,1.4
1,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.60664467,1.5
1,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131149.930710804,1.6
1,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.314510275,1.7
1,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.491157666,1.8
2,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.6045834,0.7
2,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.477400698,0.7999999999999999
2,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046905.01091518,0.8999999999999999
2,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.864897706,1.0
2,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070857.15053279,1.1
2,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082935.385356266,1.2
2,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095008.219425697,1.3
2,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107042.246542454,1.4
2,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.8686384,1.5
2,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131150.071429297,1.6
2,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.391276572,1.7
2,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.446003042,1.8
3,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.51403831,0.7
3,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.41032587,0.7999999999999999
3,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046904.90044544,0.8999999999999999
3,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.92417483,1.0
3,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070857.343695354,1.1
3,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082935.670916993,1.2
3,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095008.661210015,1.3
3,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107042.503033947,1.4
3,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119124.13073793,1.5
3,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131150.21261236,1.6
3,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.46824473,1.7
3,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.401454363,1.8
4,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.424611017,0.7
4,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.34388213,0.7999999999999999
4,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046904.790412966,0.8999999999999999
4,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.983428802,1.0
4,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070857.536050227,1.1
4,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082935.955699626,1.2
4,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095009.102030933,1.3
4,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107042.759324186,1.4
4,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119124.39299599,1.5
4,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131150.35449137,1.6
4,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.54551534,1.7
4,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.35781343,1.8
5,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.336671352,0.7
5,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.27827832,0.7999999999999999
5,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046904.68096246,0.8999999999999999
5,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058934.042652026,1.0
5,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070857.72733022,1.1
5,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082936.239446778,1.2
5,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095009.54156971,1.3
5,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107043.015346646,1.4
5,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119124.65546506,1.5
5,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131150.49729659,1.6
5,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143019.62318853,1.7
5,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155059.315380603,1.8
6,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023068.250586804,0.7
6,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.213722024,0.7999999999999999
6,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046904.57223774,0.8999999999999999
6,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058934.10183705,1.0
6,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070857.917269904,1.1
