epoch_id,x_m,y_m,z_m,clock_m,east_m,north_m,up_m,expected_status
0,3920052.1828496833,343110.69940503134,5002782.387216101,23000.0,150.0,-75.0,12.0,ok
1,3920052.0015969723,343110.8843114414,5002782.566453785,23000.15,150.2,-74.7600639948802,12.039997333386665,ok
2,3920051.820635772,343111.06924335536,5002782.745442542,23000.3,150.4,-74.52051183618497,12.079978668373268,ok
3,3920051.6402571183,343111.2542262355,5002782.92393383,23000.45,150.6,-74.28172675626648,12.119928012958889,ok
4,3920051.4607510883,343111.43928546034,5002783.10167987,23000.6,150.8,-74.04409076031452,12.159829387938345,ok
5,3920051.28240633,343111.6244462833,5002783.278434033,23000.75,151.0,-73.80798401522964,12.199666833293657,ok
6,3920051.1055095852,343111.80973379104,5002783.453951213,23000.9,151.2,-73.5737842414372,12.239424414577838,ok
7,3920050.9303452205,343111.9951728624,5002783.627988209,23001.05,151.4,-73.34186610861532,12.279086229288472,ok
8,3920050.757194761,343112.18078812765,5002783.800304098,23001.2,151.6,-73.1126006363033,12.318636413228491,ok
9,3920050.5863364288,343112.366603928,5002783.970660604,23001.35,151.8,-72.88635460034946,12.358059146851648,ok
10,3920050.418044683,343112.55264427554,5002784.138822466,23001.5,152.0,-72.6634899461481,12.397338661590123,ok
11,3920050.2525897734,343112.73893281416,5002784.3045577975,23001.65,152.2,-72.444363209604,12.43645924616174,ok
12,3920050.090237293,343112.9254927801,5002784.467638444,23001.8,152.4,-72.2293249467511,12.47540525285427,ok
13,3920049.9312477442,343113.1123469645,5002784.627840332,23001.95,152.6,-72.01871917293758,12.51416110378431,ok
14,3920049.7758761095,343113.29951767536,5002784.784943816,23002.1,152.8,-71.8128828124747,12.552711297128228,ok
15,3920049.624371431,343113.48702670104,5002784.938734012,23002.25,153.0,-71.61214515962979,12.591040413322679,ok
16,3920049.476976403,343113.67489527457,5002785.089001126,23002.4,153.2,-71.41682735182565,12.629133121232236,ok
17,3920049.3339269715,343113.8631440384,5002785.235540776,23002.55,153.4,-71.22724185588919,12.666974184281628,ok
18,3920049.195451943,343114.05179301085,5002785.3781543095,23002.7,153.6,-71.04369196817116,12.70454846655018,ok
19,3920049.0617726133,343114.24086155236,5002785.516649098,23002.85,153.8,-70.86647132933669,12.741840938825966,ok
20,3920048.9331023954,343114.4303683345,5002785.650838839,23003.0,154.0,-70.69586345460286,12.778836684617302,ok
21,3920048.8096464723,343114.6203313083,5002785.780543836,23003.15,154.2,-70.53214128017484,12.81552090611914,ok
22,3920048.691601455,343114.810767675,5002785.905591271,23003.3,154.4,-70.37556672660618,12.851878930132,ok
23,3920048.579155059,343115.0016938576,5002786.025815469,23003.45,154.6,-70.22639027978181,12.88789621393104,ok
24,3920048.4724857924,343115.1931254735,5002786.141058151,23003.6,154.8,-70.08485059019401,12.923558351082965,ok
25,3920048.3717626585,343115.3850773087,5002786.251168669,23003.75,155.0,-69.95117409115262,12.958851077208406,ok
26,3920048.2771448786,343115.57756329305,5002786.356004238,23003.9,155.2,-69.82557463653997,12.993760275687473,ok
27,3920048.1887816214,343115.7705964773,5002786.455430149,23004.05,155.4,-69.70825315869031,13.028271983306226,ok
28,3920048.1068117605,343115.9641890112,5002786.54931997,23004.2,155.6,-69.59939734694098,13.062372395841766,ok
29,3920048.0313636363,343116.15835212317,5002786.63755574,23004.35,155.8,-69.4991813473694,13.096047873583746,ok
30,3920047.9625548446,343116.35309610143,5002786.720028135,23004.5,156.0,-69.40776548419664,13.12928494679007,ok
31,3920047.9004920353,343116.5484302768,5002786.796636646,23004.65,156.2,-69.32529600330277,13.16207032107461,ok
32,3920047.8452707366,343116.7443630066,5002786.867289709,23004.8,156.4,-69.25190483826465,13.194390882724784,ok
33,3920047.796975187,343116.94090166106,5002786.931904852,23004.95,156.6,-69.18770939929041,13.226233703946868,ok
34,3920047.755678195,343117.13805261,5002786.990408814,23005.1,156.8,-69.1328123853881,13.257586048036938,ok
35,3920047.7214410123,343117.3358212121,5002787.0427376395,23005.25,157.0,-69.08730162006924,13.288435374475382,ok
36,3920047.6943132253,343117.5342118058,5002787.088836782,23005.4,157.2,-69.05124991084988,13.318769343942947,ok
37,3920047.6743326676,343117.73322770104,5002787.128661172,23005.55,157.4,-69.02471493277416,13.34857582325629,ok
38,3920047.6615253524,343117.9328711736,5002787.162175279,23005.7,157.6,-69.0077391361465,13.377842890221103,ok
39,3920047.6559054176,343118.13314346055,5002787.18935316,23005.85,157.8,-69.0003496786202,13.40655883840082,ok
40,3920047.6574751004,343118.3340447574,5002787.210178483,23006.0,158.0,-69.00255838175097,13.434712181799046,ok
41,3920047.666224719,343118.5355742174,5002787.224644553,23006.15,158.2,-69.01436171208496,13.462291659453792,ok
42,3920047.6821326837,343118.7377299515,5002787.232754299,23006.3,158.4,-69.03574078681154,13.489286239941718,ok
43,3920047.7051655254,343118.9405090315,5002787.234520273,23006.45,158.6,-69.06666140397179,13.515685125790554,ok
44,3920047.7352779345,343119.1439074935,5002787.229964606,23006.6,158.8,-69.10707409717429,13.541477757797939,ok
45,3920047.772412833,343119.3479203436,5002787.219118972,23006.75,159.0,-69.15691421473083,13.566653819254967,ok
46,3920047.8165014507,343119.5525415654,5002787.202024527,23006.9,159.2,-69.21610202308531,13.591203240072732,ok
47,3920047.8674634355,343119.7577641288,5002787.178731827,23007.05,159.4,-69.28454283437043,13.615116200810228,ok
48,3920047.9252069686,343119.9635800009,5002787.149300743,23007.2,159.6,-69.36212715788805,13.638383136601997,ok
49,3920047.9896289096,343120.16998015787,5002787.113800358,23007.35,159.8,-69.448730875271,13.660994740983941,ok
