epoch_id,slot,satellite_id,sat_rxframe_x_m,sat_rxframe_y_m,sat_rxframe_z_m,corrected_code_m,sigma_m
0,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023069.65909208,0.7
0,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034983.815033562,0.7999999999999999
0,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046906.65126046,0.8999999999999999
0,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058935.24598036,1.0
0,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070858.20056639,1.1
0,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082936.051613454,1.2
0,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095008.255810335,1.3
0,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107042.249813657,1.4
0,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.407074876,1.5
0,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131149.39243056,1.6
0,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143018.417808417,1.7
0,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155058.37251301,1.8
1,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023070.114550676,0.7
1,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034983.982603703,0.7999999999999999
1,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046906.043238178,0.8999999999999999
1,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.86797608,1.0
1,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070856.13679446,1.1
1,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082933.70208489,1.2
1,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095006.322747182,1.3
1,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107041.01994057,1.4
1,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.482010566,1.5
1,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131150.69781279,1.6
1,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143020.687799934,1.7
1,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155060.959437422,1.8
2,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023070.042290326,0.7
2,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034982.993990898,0.7999999999999999
2,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046904.190878607,0.8999999999999999
2,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058932.367816046,1.0
2,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070856.18055678,1.1
2,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082935.722668685,1.2
2,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095009.592715356,1.3
2,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107043.55122849,1.4
2,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119124.055320036,1.5
2,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131148.989952512,1.6
2,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143017.91150779,1.7
2,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155058.7581677,1.8
3,0,G01,-8376520.570479282,-732850.5897086428,21992175.987571605,21023069.435599696,0.7
3,1,G02,5135546.519088706,6987010.2169092335,24899631.032974966,21034981.5902893,0.7999999999999999
3,2,G03,3429578.5817035493,16520664.265988369,18421082.856187493,21046903.446194388,0.8999999999999999
3,3,G04,16406920.098849319,8547916.24210515,19810544.008534085,21058933.799540725,1.0
3,4,G05,20033446.268971935,13636045.656463386,2420402.5618253434,21070858.716985013,1.1
3,5,G06,24691061.4835535,2681884.9312656224,7574972.513853825,21082936.687629856,1.2
3,6,G07,21517774.593416587,-8462568.120984985,-2534437.2306143027,21095007.948369473,1.3
3,7,G08,19448887.245363735,-7889235.399977439,16648407.106806064,21107041.023265164,1.4
3,8,G09,10944749.510893766,-16220481.7190472,16018564.421176393,21119123.882331666,1.5
3,9,G10,-107735.47345301788,-15483022.228717456,18376803.125337426,21131151.53101828,1.6
3,10,G11,12970435.608127272,-869257.7294950492,24046834.877560943,21143020.573077682,1.7
3,11,G12,-285548.37942463346,-1441253.208214551,25635109.197705623,21155058.80073972,1.8
