epoch_id,tick_ms,status,iterations,used,asa,na,hits,output_mask,q_after,blend,x_m,y_m,z_m,clock_m,rms_m,chi2,sigma_x_m,sigma_y_m,sigma_z_m,sigma_clock_m,east_m,north_m,up_m,rho,theta_rad,delta_rho,delta_theta_rad,otan_raw_rad,otan_relative_rad,otan_directed_rad,chart_status,otan_status,cone_residual_m,cone_class,sphere_l_m,sphere_r_m,sphere_flags,key_contiguous,key_morton
0,1280000000000,ok,3,12,4095,4095,0,4095,1,0,3920052.1828496829,343110.69940503029,5002782.3872161033,23000.000000001743,2.1507973566264873e-09,4.8416231381580311e-17,0.84379389234715507,0.72947324799157909,1.1357763050432454,0.82892495514989417,149.99999999901536,-74.999999998163901,12.00000000127336,-4.0881333022329702,-0.46364760899363927,nan,nan,nan,nan,nan,0,1,-13.142296069568662,-1,-331.86612477118194,-409.065957970331,3,14676103987472629988,14717998450411357183
1,1280000001000,ok,3,12,4095,4095,0,4095,1,0,3920052.0015969737,343110.88431144296,5002782.5664537866,23000.150000003203,3.2261960349397309e-09,9.8162288558477954e-17,0.84379389290405871,0.72947324706194061,1.1357762990627094,0.82892495173914382,150.20000000145183,-74.760063995523353,12.039997336068573,-4.0877049138975634,-0.46183539247941913,0.0004283883354068152,0.0018122165142201441,1.3386683178779544,1.076868930078805,1.076868930078805,0,0,-13.141005628368006,-1,-331.79159145600534,-409.36850048508143,3,14676508612856021220,14718035980378495390
2,1280000002000,ok,3,12,4095,4095,0,4095,1,0,3920051.8206357704,343111.06924335432,5002782.7454425404,23000.29999999893,3.2261960349397309e-09,1.189083000139126e-16,0.84379389345857914,0.72947324613346687,1.135776293087752,0.82892494833118247,150.39999999913189,-74.520511836030749,12.079978665946509,-4.0872724138386278,-0.4600267826795284,0.00043250005893558097,0.0018086097998907258,1.3360703612644398,1.0742709734652904,1.0742709734652904,0,0,-13.139340856843171,-1,-331.71633303076442,-409.67064392480239,3,14676895645986259172,14718598929889399416
3,1280000003000,ok,3,12,4095,4095,0,4095,1,0,3920051.6402571183,343111.25422623492,5002782.9239338292,23000.44999999908,0,0,0.84379389400833726,0.72947324520732093,1.1357762871239454,0.82892494492879643,150.59999999943048,-74.281726756834914,12.119928012460505,-4.0868348132271315,-0.45822383902554986,0.000437600611496336,0.0018029436539785393,1.3326862483792148,1.0708868605800654,1.0708868605800654,0,0,-13.137204439296429,-1,-331.64018417439161,-409.97207330466517,3,14677300271369650404,14727043171140503571
4,1280000004000,ok,3,12,4095,4095,0,4095,1,0,3920051.4607510888,343111.43928546167,5002783.101679869,23000.600000002982,2.1507973566264873e-09,3.7147860076577964e-17,0.8437938945509641,0.72947324428466409,1.1357762811768424,0.82892494153476459,150.80000000128604,-74.044090761570629,12.159829387202482,-4.0863911430545361,-0.4564286178416142,0.00044367017259538954,0.001795221183935658,1.3285116496265208,1.0667122618273714,1.0667122618273714,0,0,-13.13450056476303,-1,-331.56298260827145,-410.27247452811912,3,14677722488871977188,14727606121062205927
5,1280000005000,ok,3,12,4095,4095,0,4095,1,0,3920051.2824063301,343111.62444628211,5002783.2784340316,23000.750000002041,4.5625301874860709e-09,1.6534572880071271e-16,0.84379389508410485,0.72947324336665154,1.1357762752519776,0.82892493815185875,150.99999999880237,-73.807984015936398,12.199666832505901,-4.0859404555410199,-0.45464316883097228,0.00045068751351617919,0.0017854490106419263,1.3235389608760095,1.0617395730768602,1.0617395730768602,0,0,-13.131135079534426,-1,-331.48456932684417,-410.57153487038795,3,14678127114121150692,14862151159395402454
6,1280000006000,ok,3,10,4092,4092,0,4092,1,0,3920051.1055095857,343111.80973379186,5002783.4539512144,23000.900000000329,1.1780402288468105e-09,8.2117087620203874e-18,1.3395381251980039,0.74806772416200396,1.3341241751289543,1.1460925324852849,151.20000000079025,-73.57378424090669,12.239424416571946,-4.0854818253911374,-0.45286953146441,0.00045863014988256623,0.0017736373665622751,1.3177572285246799,1.0559578407255306,1.0559578407255306,0,0,-13.127015587081463,-1,-331.40478880521118,-410.86894347367274,3,14678549331556368612,14862713982070315046
7,1280000007000,ok,3,12,4095,4095,0,4095,1,0,3920050.9303452224,343111.99517286127,5002783.6279882062,23001.04999999913,2.1507973566264873e-09,5.387547832412538e-17,0.84379389611259747,0.72947324154915094,1.1357762634909243,0.82892493143044099,151.39999999874215,-73.341866111681369,12.279086228350291,-4.0850143512370076,-0.45110973149278083,0.00046747415412973226,0.0017597999716291723,1.3111522138092642,1.0493528260101148,1.0493528260101148,0,0,-13.122051563273416,-1,-331.32348923763516,-411.16439180447225,3,14678989141177630948,14871158230837123863
8,1280000008000,ok,3,12,4095,4095,0,4095,1,0,3920050.7571947617,343112.18078812631,5002783.8003040981,23001.199999998,2.1507973566264873e-09,3.8468826137634457e-17,0.8437938966033478,0.72947324065193786,1.1357762576656141,0.82892492809739704,151.59999999867284,-73.112600636462616,12.318636413389079,-4.0845371567200015,-0.4493657771464673,0.0004771945170061187,0.0017439543463135254,1.3037062191478668,1.0419068313487174,1.0419068313487174,0,0,-13.116154476514906,-1,-331.24052271202737,-411.45757415204497,3,14679428950664675556,14871721180759069372
9,1280000009000,ok,3,12,4095,4095,0,4095,1,0,3920050.5863364316,343112.36660392972,5002783.9706606055,23001.350000002971,2.1507973566264873e-09,3.7227286814937263e-17,0.84379389707541796,0.72947323976391709,1.1357762518842822,0.82892492478640889,151.80000000152106,-72.88635460199562,12.358059149569218,-4.084049391603422,-0.44763965579146764,0.00048776511657955268,0.0017261213549996657,1.2953980068879294,1.03359861908878,1.03359861908878,0,0,-13.109237858285407,-1,-331.15574539365014,-411.74818804712584,3,14679868760151720164,17023878844700459421
