epoch_id,tick_ms,status,iterations,used,asa,na,hits,output_mask,q_after,blend,x_m,y_m,z_m,clock_m,rms_m,chi2,sigma_x_m,sigma_y_m,sigma_z_m,sigma_clock_m,east_m,north_m,up_m,rho,theta_rad,delta_rho,delta_theta_rad,otan_raw_rad,otan_relative_rad,otan_directed_rad,chart_status,otan_status,cone_residual_m,cone_class,sphere_l_m,sphere_r_m,sphere_flags,key_contiguous,key_morton
0,1280000000000,ok,3,12,4095,4095,0,4095,1,0,3920052.2658323022,343109.62004940596,5002782.9283480635,23001.103254651971,0.66017267215350328,2.095581341677164,0.84379387612014467,0.72947323779104345,1.1357762799705959,0.82892492040137389,148.91751923688292,-74.657858480283011,12.419396065409188,-4.0948407877469037,-0.46471661615572257,nan,nan,nan,nan,nan,0,1,-14.066061406188682,-1,-332.9537047188449,-408.6903232269126,3,14669929127218249956,14717998450403447316
1,1280000001000,ok,3,12,4095,4095,0,4095,1,0,3920053.1134125991,343110.50343359838,5002781.1792305047,22999.955376339291,0.34194803776959842,0.76537390954089912,0.84379389649797709,0.72947325793081297,1.1357763468484297,0.82892498911946344,149.7236703954342,-76.460754123563248,11.608310475147182,-4.0856784601632548,-0.47215437104557889,0.0091623275836489881,-0.0074377548898563184,-0.68188011609013599,-0.94367950388928534,-0.94367950388928534,0,0,-12.596985359160497,-1,-331.48241257983773,-407.75733572940152,3,14678373355719917796,14718035964335755588
2,1280000002000,whole_word_absorbed,0,0,4095,4095,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,nan,2,nan,nan,0,0,0
3,1280000003000,insufficient_observations,0,3,7,7,0,7,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,nan,2,nan,nan,0,0,0
4,1280000004000,rank_deficient,0,12,4095,4095,0,4095,1,0,3920131.4607510883,343061.43928546034,5002808.1016798699,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,1,nan,2,nan,nan,0,0,0
5,1280000005000,ok,3,12,4095,4095,0,4095,1,0,3920051.3644634928,343111.4615703547,5002783.9811630296,23000.931613264544,1.0082886017727868,9.2519470716535785,0.84379387328557909,0.72947323145642595,1.1357762360375148,0.82892489279560677,150.83059211051827,-73.428570449026992,12.795012364793021,-4.0878378788554723,-0.45305467080104811,nan,nan,nan,nan,nan,0,1,-13.806021309941359,-1,-331.75810623981772,-410.70779445099839,3,14676385492131938532,14862151160397091119
6,1280000006000,ok,3,10,4092,4092,0,4092,1,0,3920051.1761649055,343111.18093953189,5002783.2683811765,23000.854103609025,0.98868131101616141,6.5326260676689509,1.3395381289057333,0.74806772833877688,1.3341241850235133,1.1460925421699013,150.56744047593412,-73.700312470120309,12.10278734510694,-4.0885371952699696,-0.45519925557126933,-0.00069931641449727522,-0.0021445847702212251,1.2555836105989138,0.99378422279976442,-2.1478084307900289,0,0,-13.265173142759531,-1,-331.9263029168805,-410.43554577392564,3,14675734575279702244,14862713981067627042
7,1280000007000,ok,3,12,4095,4095,0,4095,1,0,3920050.3173573837,343111.89166865498,5002783.6146235894,23000.769256943058,1.1797377589211402,12.176139975319707,0.84379391600860698,0.72947324745226949,1.1357762810850391,0.82892495779273345,151.350315067585,-72.861782665566551,11.887043990243818,-4.0865224377758018,-0.44866653369526971,0.0020147574941677959,0.0065327218759996253,1.2716418024207667,1.0098424146216174,1.0098424146216174,0,0,-12.909289351156994,-1,-331.60445653436227,-411.58657889181364,3,14677599365258117348,14871158230841311368
8,1280000008000,ok,3,12,4095,4095,0,4095,1,0,3920048.3279876132,343112.6492471674,5002780.8416677751,22998.983595877104,0.7719730894690906,4.2060561775067962,0.84379405459060697,0.72947331027116724,1.1357764793207572,0.82892520580611295,152.27839576499565,-73.059335559405753,8.5224577886400255,-4.0810481602299813,-0.44733692215949655,0.0054742775458205273,0.0013296115357731564,0.23826962056157078,-0.02352976723757863,-0.02352976723757863,0,0,-9.5344393061759707,-1,-330.88758586105621,-412.32075325424273,3,14682648326415057124,14871721180947024771
9,1280000009000,ok,3,12,4095,4095,0,4095,1,0,3920050.2088422705,343112.50006334932,5002783.3089605113,23000.914037642782,0.48337820734120035,1.1387769992841124,0.84379392712686685,0.72947325379477979,1.1357762968901115,0.82892497998160675,151.9658523517175,-73.006566308854218,11.612269355923797,-4.0828532088027254,-0.44785662834629014,-0.0018050485727441057,-0.00051970618679358926,0.28033597548080208,0.018536587681652672,-3.1230560659081408,0,0,-12.362591248164961,-1,-331.00762205120714,-411.8405826692312,3,14680977067268538596,17023878844700463256
10,1280000010000,ok,3,12,4095,4095,0,4095,1,0,3920052.6622912311,343112.06086775061,5002787.1961245975,23003.704279449725,0.75316028861655115,3.74200118724207,0.84379374269713436,0.72947316944877016,1.1357760242053045,0.82892464558223045,151.31449585840804,-72.50921253337637,16.156576030095319,-4.0876240050883599,-0.44686584787830091,-0.0047707962856344821,0.00099078046798922736,-0.2047654328206151,-0.46656482061976451,2.6750278329700286,0,0,-16.699279762603101,-1,-331.43340334422487,-411.18052485660837,3,14676579023580102884,17024441794147963362
11,1280000011000,ok,3,12,4095,4095,0,4095,1,0,3920051.263074541,343112.56746305141,5002784.9254472647,23002.294458345445,1.1674623686607952,11.689665455557371,0.84379384904596544,0.72947321861955239,1.1357761811119873,0.828924839248667,151.94111318103538,-72.843571803431999,13.53627522604614,-4.0834039560204864,-0.44704828080875086,0.0042200490678734326,-0.00018243293044994946,-0.043203149765371394,-0.30500253756452078,-0.30500253756452078,0,0,-14.07524247254274,-1,-330.95705109419907,-411.68763788486308,3,14680466896163143908,17032883990994404043
