generation,branch,rho,phi,alive,cell,status,orientation
1,2,-0.567636549,0.879428208,1,18575,0,0
1,3,-0.566653311,0.73895818,1,18552,0,0
2,4,-0.524464846,0.988576114,1,20641,0,0
2,5,-0.523394942,0.848495424,1,20618,0,0
2,6,-0.522366464,0.842777014,1,20617,0,0
2,7,-0.521421969,0.702232361,1,20594,0,0
3,8,-0.482251287,1.10151875,1,22707,0,0
3,9,-0.524464846,0.988576114,0,4294967295,1,0
3,10,-0.523394942,0.848495424,0,4294967295,1,0
3,11,-0.523394942,0.848495424,0,4294967295,1,0
3,12,-0.522366464,0.842777014,0,4294967295,1,0
3,13,-0.477842957,0.810319424,1,22660,0,0
3,14,-0.476862103,0.804562271,1,22659,0,0
3,15,-0.475956202,0.66392386,1,22636,0,0
4,16,-0.441050291,1.21782756,1,23750,0,0
4,17,-0.439824998,1.07868278,1,23727,0,0
4,26,-0.434106767,0.916908145,1,24725,0,0
4,27,-0.477842957,0.810319424,0,4294967295,1,0
4,28,-0.476862103,0.804562271,0,4294967295,1,0
4,29,-0.432074338,0.770590901,1,24701,0,0
4,30,-0.431130022,0.764715493,1,24700,0,0
4,31,-0.430261523,0.623968005,1,24677,0,0
5,32,-0.441050291,1.21782756,0,4294967295,1,0
5,33,-0.399667233,1.19858515,1,25795,0,0
5,34,-0.439824998,1.07868278,0,4294967295,1,0
5,35,-0.39719972,1.05508316,1,25771,0,0
5,52,-0.39125514,1.02739477,1,25767,0,0
5,53,-0.390147418,0.887418926,1,26768,0,0
5,58,-0.388023674,0.875634015,1,26766,0,0
5,59,-0.387051195,0.735194564,1,26743,0,0
5,60,-0.387033135,0.869523406,1,26765,0,0
5,61,-0.431130022,0.764715493,0,4294967295,1,0
5,62,-0.385161459,0.723078609,1,26741,0,0
5,63,-0.38433516,0.582222998,1,26718,0,0
6,66,-0.359409422,1.31749094,1,27862,0,0
6,67,-0.358115226,1.17880595,1,27840,0,0
6,70,-0.355591685,1.17011237,1,27838,0,0
6,71,-0.354373872,1.03068566,1,27815,0,0
6,104,-0.349369407,1.14149511,1,27834,0,0
6,105,-0.348189265,1.00200331,1,27811,0,0
6,106,-0.347041279,0.996846557,1,27810,0,0
6,107,-0.345958799,0.856763542,1,27787,0,0
6,116,-0.388023674,0.875634015,0,4294967295,1,0
6,117,-0.343744397,0.844502389,1,28809,0,0
6,118,-0.342734277,0.838854134,1,28808,0,0
6,119,-0.341793925,0.698298752,1,28785,0,0
6,120,-0.343783855,0.978334606,1,27807,0,0
6,121,-0.387033135,0.869523406,0,4294967295,1,0
6,124,-0.340755314,0.826257408,1,28806,0,0
6,125,-0.339827359,0.685671031,1,28783,0,0
6,126,-0.338963062,0.679549098,1,28782,0,0
6,127,-0.33818537,0.53861177,1,28759,0,0
7,132,-0.320323527,1.43895268,1,28906,0,0
7,133,-0.31900686,1.3010416,1,29908,0,0
7,134,-0.317653984,1.29719484,1,29907,0,0
7,135,-0.358115226,1.17880595,0,4294967295,1,0
7,140,-0.31507194,1.28834772,1,29905,0,0
7,141,-0.313786417,1.14949799,1,29883,0,0
7,142,-0.312543362,1.14497435,1,29882,0,0
7,143,-0.311341941,1.00543785,1,29859,0,0
7,208,-0.308558673,1.25893891,1,29901,0,0
7,209,-0.307319045,1.12003207,1,29878,0,0
7,210,-0.348189265,1.00200331,0,4294967295,1,0
7,211,-0.304908574,0.975687087,1,29855,0,0
7,212,-0.30488199,1.10998523,1,29876,0,0
7,213,-0.347041279,0.996846557,0,4294967295,1,0
7,214,-0.302592963,0.965060413,1,29853,0,0
7,215,-0.301543474,0.824901521,1,29830,0,0
7,234,-0.300279647,0.952354074,1,29851,0,0
7,235,-0.299237281,0.812135935,1,29828,0,0
7,236,-0.299228489,0.946519613,1,29850,0,0
7,237,-0.342734277,0.838854134,0,4294967295,1,0
7,238,-0.297203422,0.80045557,1,29826,0,0
7,239,-0.29630658,0.659839392,1,30827,0,0
7,240,-0.301462531,1.09088123,1,29873,0,0
7,241,-0.300312936,0.95116806,1,29851,0,0
