generation,branch,rho,phi,alive,cell,status,orientation
1,2,-0.569208682,0.878413141,1,18575,0,0
1,3,-0.566649616,0.744283497,1,18553,0,0
2,4,-0.528941751,0.982997596,1,20640,0,0
2,5,-0.526413679,0.848572552,1,20618,0,0
2,6,-0.523887098,0.849474907,1,20618,0,0
2,7,-0.521451712,0.715381324,1,20596,0,0
3,8,-0.490732878,1.08814228,1,21681,0,0
3,9,-0.528941751,0.982997596,0,4294967295,1,0
3,10,-0.526413679,0.848572552,0,4294967295,1,0
3,11,-0.526413679,0.848572552,0,4294967295,1,0
3,12,-0.523887098,0.849474907,0,4294967295,1,0
3,13,-0.480816156,0.820614219,1,22661,0,0
3,14,-0.478416711,0.821546435,1,22661,0,0
3,15,-0.476110041,0.687480271,1,22640,0,0
4,16,-0.454442561,1.19399452,1,23746,0,0
4,17,-0.452024817,1.059026,1,23724,0,0
4,26,-0.439802527,0.926996171,1,23703,0,0
4,27,-0.480816156,0.820614219,0,4294967295,1,0
4,28,-0.478416711,0.821546435,0,4294967295,1,0
4,29,-0.435144037,0.793619573,1,24705,0,0
4,30,-0.432859212,0.79457891,1,24705,0,0
4,31,-0.430699736,0.660520792,1,24683,0,0
5,32,-0.454442561,1.19399452,0,4294967295,1,0
5,33,-0.41760996,1.16547251,1,24765,0,0
5,34,-0.452024817,1.059026,0,4294967295,1,0
5,35,-0.412866861,1.03063273,1,25767,0,0
5,52,-0.400716603,1.03379607,1,25768,0,0
5,53,-0.398458928,0.899191141,1,25746,0,0
5,58,-0.393843561,0.900875568,1,25746,0,0
5,59,-0.391665429,0.766563952,1,25724,0,0
5,60,-0.391584128,0.901868582,1,25746,0,0
5,61,-0.432859212,0.79457891,0,4294967295,1,0
5,62,-0.387275577,0.768514633,1,26749,0,0
5,63,-0.385232776,0.63447237,1,26727,0,0
6,66,-0.382536441,1.27271581,1,26831,0,0
6,67,-0.38029322,1.13756788,1,26809,0,0
6,70,-0.375549227,1.137797,1,26809,0,0
6,71,-0.373318315,1.0029515,1,26787,0,0
6,104,-0.363442779,1.14116096,1,27833,0,0
6,105,-0.361238331,1.00630724,1,27812,0,0
6,106,-0.358989269,1.00672853,1,27812,0,0
6,107,-0.356830359,0.872167826,1,27790,0,0
6,116,-0.393843561,0.900875568,0,4294967295,1,0
6,117,-0.352273941,0.873914123,1,27790,0,0
6,118,-0.35011667,0.874623716,1,27790,0,0
6,119,-0.348048747,0.740336537,1,27768,0,0
6,120,-0.352181375,1.00951028,1,27812,0,0
6,121,-0.391584128,0.901868582,0,4294967295,1,0
6,124,-0.345768511,0.876636505,1,27790,0,0
