machine,state,head,status,steps
0,1,128,1,1
1,1,129,1,2
2,1,130,1,3
3,1,131,1,4
4,1,132,1,5
5,1,133,1,6
6,1,134,1,7
7,1,135,1,8
8,1,128,1,1
9,1,129,1,2
10,1,130,1,3
11,1,131,1,4
12,1,132,1,5
13,1,133,1,6
14,1,134,1,7
15,1,135,1,8
16,1,128,1,1
17,1,129,1,2
18,1,130,1,3
19,1,131,1,4
20,1,132,1,5
21,1,133,1,6
22,1,134,1,7
23,1,135,1,8
24,1,128,1,1
25,1,129,1,2
26,1,130,1,3
27,1,131,1,4
28,1,132,1,5
29,1,133,1,6
30,1,134,1,7
31,1,135,1,8
32,1,128,1,1
33,1,129,1,2
34,1,130,1,3
35,1,131,1,4
36,1,132,1,5
37,1,133,1,6
38,1,134,1,7
39,1,135,1,8
40,1,128,1,1
41,1,129,1,2
42,1,130,1,3
43,1,131,1,4
44,1,132,1,5
45,1,133,1,6
46,1,134,1,7
47,1,135,1,8
48,1,128,1,1
49,1,129,1,2
50,1,130,1,3
51,1,131,1,4
52,1,132,1,5
53,1,133,1,6
54,1,134,1,7
55,1,135,1,8
56,1,128,1,1
57,1,129,1,2
58,1,130,1,3
59,1,131,1,4
60,1,132,1,5
61,1,133,1,6
62,1,134,1,7
63,1,135,1,8
