lane,word,q
0,0,0
1,32833,1
2,1143021904,0
3,8458240,1
4,0,1
5,2149580864,1
6,8388737,0
7,33554432,0
8,103319812,0
9,0,1
10,201981969,0
11,164368,1
12,2286190593,1
13,1140850720,1
14,2113664,0
15,0,0
16,16920200,0
17,537395204,1
18,3222016001,0
19,8464,1
20,1678017537,1
21,0,1
22,2147483648,0
23,536875012,0
24,2215002128,0
25,1074266144,1
26,268976208,0
27,0,1
28,2147485728,1
29,1073758341,1
30,1073872912,0
31,0,0
32,538970116,0
33,36864,1
34,71303234,0
35,524289,1
36,395264,1
37,0,1
38,335548424,0
39,1074791432,0
40,0,0
41,134283344,1
42,2822898688,0
43,2149658784,1
44,1073774596,1
45,0,1
46,269484288,0
47,1181696,0
48,131076,0
49,1082753088,1
50,33554698,0
51,8454184,1
52,0,1
53,0,1
54,0,0
55,8781824,0
56,1074790528,0
57,2098176,1
58,8,0
59,12928,1
60,0,1
61,35655682,1
62,538968096,0
63,268435776,0
64,101974016,0
65,0,1
66,0,0
67,838860801,1
68,4194308,1
69,314703904,1
70,0,0
71,4,0
72,947912704,0
73,131072,1
74,285247488,0
75,134217798,1
76,1209537600,1
77,50332712,1
78,2097168,0
79,8781888,0
80,0,0
81,0,1
82,80478208,0
83,612786180,1
84,16977920,1
85,0,1
86,2424309760,0
87,0,0
88,285253888,0
89,2099200,1
90,36700188,0
91,4194320,1
92,76570624,1
93,0,1
94,503349248,0
95,0,0
96,0,0
97,1073754120,1
98,2550136933,0
99,16778244,1
100,1107821600,1
101,100671488,1
102,574685440,0
103,0,0
104,67109408,0
105,331862,1
106,2162425856,0
107,268510208,1
108,687865861,1
109,2415919104,1
110,2151877120,0
111,0,0
112,37767680,0
113,0,1
114,0,0
115,336166912,1
116,1487011842,1
117,536887824,1
118,16777221,0
119,151065105,0
120,135286792,0
121,805322817,1
122,2147484672,0
123,0,1
124,2222981768,1
125,819656,1
126,536870912,0
127,1179712,0
128,0,0
129,0,1
130,11608096,0
131,33556480,1
132,608174336,1
133,169345048,1
134,1409319424,0
135,4194370,0
136,1091174538,0
137,0,1
138,2617376792,0
139,17303552,1
140,20971648,1
141,160,1
142,553681024,0
143,1296,0
144,268968200,0
145,0,1
146,134217745,0
147,92352640,1
148,0,1
149,0,1
150,0,0
151,2364680,0
152,67126272,0
153,0,1
154,410272,0
155,1233125504,1
156,8945682,1
157,197635,1
158,33824768,0
159,268438536,0
160,50593792,0
161,1208107012,1
162,0,0
163,4718624,1
164,0,1
165,0,1
166,262288,0
167,0,0
168,16384,0
169,2181238810,1
170,0,0
171,0,1
172,69345312,1
173,0,1
174,1124598018,0
175,0,0
176,809501209,0
177,0,1
178,1107296256,0
179,0,1
180,548470784,1
181,4464640,1
182,1207959568,0
183,806354944,0
184,0,0
185,1051146,1
186,26689,0
187,109314088,1
188,0,1
189,36868,1
190,4599808,0
191,1073741824,0
192,4354,0
193,6145,1
194,0,0
195,135286800,1
196,268435586,1
197,4480,1
198,0,0
199,1076372480,0
200,2818572296,0
201,0,1
202,2122754,0
203,6572032,1
204,0,1
205,272629856,1
206,0,0
207,18878804,0
208,1077941636,0
209,2688581698,1
210,1792,0
211,34095424,1
212,262144,1
213,0,1
214,2395153,0
215,0,0
216,0,0
217,0,1
218,0,0
219,3774950408,1
220,32,1
221,2147483648,1
222,0,0
223,2050,0
224,571215042,0
225,570491137,1
226,2164269577,0
227,547357072,1
228,23134208,1
229,557056,1
230,2156920976,0
231,100681728,0
232,67108872,0
233,5505032,1
234,0,0
235,5554304,1
236,2248155136,1
237,4259841,1
238,1076896768,0
239,1347428480,0
240,803844,0
241,538182032,1
242,8650776,0
243,32768,1
244,18874624,1
245,0,1
246,4104,0
247,0,0
248,416,0
249,0,1
250,0,0
251,570429696,1
252,524294,1
253,0,1
254,12599554,0
255,269521408,0
256,0,0
257,0,1
258,16432,0
259,0,1
260,146806818,1
261,2281718864,1
262,65672,0
263,0,0
264,436207624,0
265,1075068932,1
266,18,0
267,268828672,1
268,3221326146,1
269,33579016,1
270,2156658688,0
271,0,0
272,0,0
273,3224412162,1
274,570425344,0
275,65537,1
