epoch,lane,input_word,q_before,produced,asa,na,hits,output,q_after,blend,blend_known,beta_status,angle_status,beta,raw,principal,line,R_state,R_reason,R_error,W_state,W_reason,W_error,P_state,P_reason,P_error,S_state,S_reason,S_error,F_state,F_reason,F_error,V_state,V_reason,V_error
0,0,3520576695,0,3520576695,29597831,25272323,1,0,0,0,0,1,1,,,,,2,1,,2,1,,2,1,,2,1,,2,1,,2,1,
0,1,4167082327,0,4167082327,536903745,32833,0,32833,1,1,1,0,0,1.5707963267948966,2.0707963267948966,2.0707963267948966,-1.0707963267948966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1194013013,0,1194013013,1143021904,1143021904,0,1143021904,0,1,1,0,0,0,1.75,1.75,-1.3915926535897931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2566903041,0,2566903041,12914688,8458240,0,8458240,1,0,1,0,0,1.0714496051147666,1.1964496051147666,1.1964496051147666,1.1964496051147666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3697919451,1,3697919451,274793555,274793539,2,0,1,1,1,0,5,0.60374933339743642,,,,2,5,,2,5,,2,5,,2,5,,2,5,,2,5,
0,5,3660597826,1,3660597826,2149580864,2149580864,0,2149580864,1,0,1,0,6,-1.2924966677897853,,,,2,6,,2,6,,2,6,,2,6,,2,6,,2,6,
0,6,3970021357,1,3970021357,8389761,8388737,0,8388737,0,0,1,0,7,-1.4994888620096063,,,,2,7,,2,7,,2,7,,2,7,,2,7,,2,7,
0,7,3332785441,1,3332785441,100664576,33554432,0,33554432,0,1,1,0,0,-0.86853939528588953,0.63146060471411047,0.63146060471411047,0.63146060471411047,0,0,0,2,100,,0,0,0,0,0,0,0,0,0,0,0,0
0,8,112000500,0,112000500,103319812,103319812,0,103319812,0,0,1,0,0,-1.5083775167989393,0.24162248320106072,0.24162248320106072,0.24162248320106072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,0
0,9,1417148601,0,1417148601,1075019793,1074823185,1,0,1,1,1,0,0,-2.485897027348257,-1.110897027348257,-1.110897027348257,-1.110897027348257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,2357977589,0,2357977589,210436177,201981969,0,201981969,0,1,1,0,0,1.0516502125483738,2.301650212548374,2.301650212548374,-0.83994244104141913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4408920985006262e-16,0,0,0
0,11,114723419,0,114723419,164368,164368,0,164368,1,0,1,0,0,1.3045442776439713,1.3045442776439713,1.3045442776439713,1.3045442776439713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,3914172007,1,3914172007,2823062529,2286190593,0,2286190593,1,1,1,0,0,1.2870022175865687,2.0370022175865685,2.0370022175865685,-1.1045904360032246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,4234521976,1,4234521976,1409286192,1140850720,0,1140850720,1,0,1,0,0,2.0552742558319199,2.6802742558319199,2.6802742558319199,-0.4613183977578732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,14,216056823,1,216056823,6307970,2113664,0,2113664,0,0,1,0,0,0.11065722117389563,1.1106572211738956,1.1106572211738956,1.1106572211738956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,0
0,15,3226975607,1,3226975607,2148926561,394337,1,0,0,1,1,0,0,-0.17670885607003661,1.5732911439299633,1.5732911439299633,-1.5683015096598298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2204460492503131e-16,0,0,4.4408920985006262e-16
0,16,4245909147,0,4245909147,84029082,16920200,0,16920200,0,0,1,2,2,,,,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,
0,17,1895489116,0,1895489116,537395724,537395204,0,537395204,1,1,1,0,0,-3.0221637275714546,-3.0221637275714546,-3.0221637275714546,0.11942892601833854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18,3382499973,0,3382499973,3247181825,3222016001,0,3222016001,0,1,1,0,0,0.26916749278570046,-0.6058325072142996,-0.6058325072142996,-0.6058325072142996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,0,0,0
0,19,1782476287,0,1782476287,8465,8464,0,8464,1,0,1,0,0,2.1815222911841055,0.80652229118410546,0.80652229118410546,0.80652229118410546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,1831257867,1,1831257867,1678018049,1678017537,0,1678017537,1,1,1,0,0,-1.2753554896511765,0.22464451034882349,0.22464451034882349,0.22464451034882349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1102230246251565e-16,0,0,0
0,21,2720854686,1,2720854686,2720006806,2717909650,1,0,1,0,1,0,0,-2.6011731533192091,-2.4761731533192091,-2.4761731533192091,0.66541950027058405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,2468357152,1,2468357152,2147483648,2147483648,0,2147483648,0,0,1,0,0,0.28805544705062586,-0.33694455294937414,-0.33694455294937414,-0.33694455294937414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5511151231257827e-17,0,0,0
0,23,2768648197,1,2768648197,603983876,536875012,0,536875012,0,1,1,0,0,-0.51554900745897903,-0.015549007458979025,-0.015549007458979025,-0.015549007458979025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7144514654701197e-17,0,0,0
