lane,word,q
0,0,0
1,33589761,1
2,1140858888,0
3,8454336,1
4,0,1
5,2153775136,1
6,262272,0
7,67648,0
8,69206279,0
9,0,1
10,101318681,0
11,197280,1
12,0,1
13,1149239424,1
14,807403528,0
15,0,0
16,50465792,0
17,0,1
18,0,0
19,8192,1
20,0,1
21,805306386,1
22,2151677952,0
23,536973636,0
24,8538112,0
25,1073741824,1
26,0,0
27,0,1
28,396544,1
29,0,1
30,2230288,0
31,0,0
32,0,0
33,67637248,1
34,0,0
35,0,1
36,786432,1
37,0,1
38,67637248,0
39,0,0
40,0,0
41,4210688,1
42,2156920834,0
43,2416189440,1
44,1082130508,1
45,0,1
46,282067202,0
47,536872960,0
48,16810112,0
49,98368,1
50,32776,0
51,65569,1
52,0,1
53,0,1
54,0,0
55,8520192,0
56,1077936128,0
57,153256960,1
58,268437504,0
59,8434304,1
60,0,1
61,740372482,1
62,640680096,0
63,268439888,0
64,34869248,0
65,0,1
66,0,0
67,570425345,1
68,20971524,1
69,4325504,1
70,0,0
71,578814084,0
72,530432,0
73,134217728,1
74,268437504,0
75,0,1
76,1342177360,1
77,33555744,1
78,0,0
79,131136,0
80,0,0
81,0,1
82,0,0
83,0,1
84,16781584,1
85,0,1
86,0,0
87,0,0
88,16949312,0
89,65808,1
90,34603044,0
91,268959744,1
92,0,1
93,0,1
94,302024960,0
95,0,0
96,0,0
97,33288,1
98,0,0
99,64,1
100,1074536706,1
101,0,1
102,35914048,0
103,0,0
104,0,0
105,0,1
106,2155872256,0
107,4673856,1
108,17956868,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,1210056716,1
117,67127696,1
118,16777761,0
119,270602240,0
120,409664,0
121,3355443456,1
122,66560,0
123,0,1
124,805306944,1
125,270464,1
126,537927681,0
127,131584,0
128,0,0
129,0,1
130,2138112,0
131,0,1
132,20979968,1
133,135794840,1
134,1145078528,0
135,0,0
136,1628045966,0
137,0,1
138,2348941312,0
139,526337,1
140,2059,1
141,34078884,1
142,0,0
143,0,0
144,2416443432,0
145,0,1
146,0,0
147,63246464,1
148,0,1
149,0,1
150,0,0
151,35651584,0
152,0,0
153,0,1
154,2147484324,0
155,1367376000,1
156,1073742875,1
157,197632,1
158,570712080,0
159,0,0
160,0,0
161,33570821,1
162,0,0
163,0,1
164,0,1
165,0,1
166,2424569984,0
167,0,0
168,16777216,0
169,1265682,1
170,0,0
171,0,1
172,2105344,1
173,0,1
174,3540517954,0
175,0,0
176,549585429,0
177,0,1
178,1124074000,0
179,0,1
180,814284808,1
181,3221528576,1
182,0,0
183,268435472,0
184,0,0
185,1057290,1
186,2684383265,0
187,75761792,1
188,33587328,1
189,1073774848,1
190,134352928,0
191,0,0
192,269222194,0
193,3225427968,1
194,71440384,0
195,0,1
196,268435586,1
197,0,1
198,0,0
199,10485760,0
200,0,0
201,0,1
202,10503202,0
203,0,1
204,0,1
205,274727008,1
206,0,0
207,0,0
208,0,0
209,0,1
210,335554816,0
211,0,1
212,0,1
213,0,1
214,0,0
215,0,0
216,0,0
217,0,1
218,545808672,0
219,3221366792,1
220,18,1
221,2151677952,1
222,0,0
223,0,0
224,301993096,0
225,1082884097,1
226,2197815305,0
227,280,1
228,423690256,1
229,42056,1
230,0,0
231,0,0
232,0,0
233,5242890,1
234,49156,0
235,5275648,1
236,641867776,1
237,16648,1
238,68165729,0
239,1124356,0
240,278660,0
241,69469056,1
242,262160,0
243,17825792,1
244,2197815552,1
245,0,1
246,24576,0
247,0,0
248,537002800,0
249,0,1
250,0,0
251,528640,1
252,67108870,1
253,0,1
254,8438530,0
255,0,0
256,0,0
257,0,1
258,2048,0
259,0,1
260,683671586,1
261,0,1
262,65672,0
263,67145728,0
264,167772168,0
265,2157183104,1
266,32,0
267,1350713476,1
268,1073842434,1
269,33579016,1
270,0,0
271,75509760,0
272,0,0
273,2150903840,1
274,33685504,0
275,16941057,1
276,805568643,1
277,338,1
278,0,0
279,343932928,0
