lane,word,q
0,0,0
1,34640129,1
2,0,0
3,0,1
4,0,1
5,0,1
6,1082597606,0
7,0,0
8,0,0
9,0,1
10,0,0
11,0,1
12,0,1
13,0,1
14,874534920,0
15,0,0
16,0,0
17,0,1
18,0,0
19,268542208,1
20,0,1
21,943800338,1
22,2216725528,0
23,0,0
24,277203201,0
25,1493180425,1
26,537018373,0
27,0,1
28,134572298,1
29,0,1
30,0,0
31,0,0
32,0,0
33,2415919136,1
34,0,0
35,1572880,1
36,10912000,1
37,0,1
38,642257682,0
39,0,0
40,0,0
41,574636424,1
42,2148536354,0
43,0,1
44,412093830,1
45,0,1
46,3503292546,0
47,537005104,0
48,16885000,0
49,0,1
50,0,0
51,0,1
52,0,1
53,0,1
54,0,0
55,2696286412,0
56,1078136900,0
57,1231197472,1
58,471869443,0
59,1352307242,1
60,0,1
61,407211010,1
62,645922992,0
63,1158156370,0
64,18093057,0
65,0,1
66,269811848,0
67,0,1
68,2253467653,1
69,402785888,1
70,304152625,0
71,0,0
72,2148018688,0
73,136445952,1
74,272630552,0
75,0,1
76,1651785755,1
77,0,1
78,149428290,0
79,0,0
80,0,0
81,0,1
82,0,0
83,0,1
84,163336465,1
85,0,1
86,0,0
87,0,0
88,94502980,0
89,330000,1
90,0,0
91,985712,1
92,0,1
93,0,1
94,170446660,0
95,0,0
96,59281409,0
97,0,1
98,0,0
99,0,1
100,1350970370,1
101,0,1
102,0,0
103,0,0
104,0,0
105,0,1
106,2198388992,0
107,2153074952,1
108,1628585987,1
109,0,1
110,0,0
111,0,0
112,0,0
113,0,1
114,0,0
115,0,1
116,1082982544,1
117,1151486096,1
118,51384589,0
119,3290532480,0
120,1276035212,0
121,0,1
122,1359873024,0
123,536894982,1
124,2426929664,1
125,3831865368,1
126,0,0
127,3775006860,0
128,0,0
129,0,1
130,19262912,0
131,0,1
132,29892864,1
133,136843398,1
134,1698742816,0
135,0,0
136,0,0
137,0,1
138,1275151289,0
139,74033185,1
140,0,1
141,1644269984,1
142,541884688,0
143,0,0
144,3095658640,0
145,0,1
146,0,0
147,4540548,1
148,0,1
149,0,1
150,0,0
151,2188661764,0
152,0,0
153,0,1
154,0,0
155,1279951248,1
156,571999323,1
157,1082336786,1
158,0,0
159,0,0
160,0,0
161,641736727,1
162,0,0
163,0,1
164,0,1
165,0,1
166,2458132608,0
167,0,0
168,0,0
169,0,1
170,0,0
171,0,1
172,0,1
173,0,1
174,0,0
175,2232424,0
176,683803649,0
177,0,1
178,0,0
179,0,1
180,2963341320,1
181,0,1
182,0,0
183,4161864068,0
184,0,0
185,68300314,1
186,0,0
187,2292454784,1
188,1646363456,1
189,8421794,1
190,1813446664,0
191,2183563529,0
192,705467802,0
193,0,1
194,0,0
195,0,1
196,2426405554,1
197,0,1
198,0,0
199,48235620,0
200,0,0
201,0,1
202,81814018,0
203,0,1
204,0,1
205,0,1
206,18162981,0
207,0,0
208,0,0
209,947030278,1
210,0,0
211,0,1
212,51216392,1
213,941950752,1
214,0,0
215,0,0
216,0,0
217,0,1
218,0,0
219,0,1
220,541196338,1
221,0,1
222,0,0
223,0,0
224,0,0
225,0,1
226,2434793481,0
227,568336792,1
228,2977498297,1
229,17212505,1
230,0,0
231,0,0
232,0,0
233,1615930378,1
234,0,0
235,1343275576,1
236,541597732,1
237,676348297,1
238,2148593745,0
239,0,0
240,0,0
241,0,1
242,262233,0
243,34707468,1
244,3641410048,1
245,0,1
246,0,0
247,0,0
248,1090683381,0
249,0,1
250,0,0
251,0,1
252,0,1
253,0,1
254,6447110,0
255,0,0
256,0,0
257,0,1
258,2099872,0
259,0,1
260,2827099170,1
261,0,1
262,0,0
263,341854352,0
264,42217616,0
265,0,1
266,0,0
267,3565650580,1
268,1342218466,1
269,437003400,1
270,0,0
271,0,0
272,0,0
273,0,1
274,0,0
275,0,1
276,0,1
277,1055010,1
278,0,0
279,0,0
280,0,0
281,0,1
282,0,0
283,0,1
284,0,1
285,0,1
286,75502353,0
287,135824128,0
288,38341680,0
289,0,1
290,0,0
291,0,1
292,621281304,1
293,17552,1
294,0,0
295,0,0
296,0,0
297,273440961,1
298,404751504,0
299,0,1
300,0,1
301,0,1
302,0,0
303,0,0
304,0,0
305,188909952,1
306,0,0
307,0,1
308,0,1
309,0,1
310,0,0
311,0,0
312,0,0
313,3372271616,1
314,0,0
315,0,1
316,0,1
317,317978,1
318,0,0
319,0,0
320,0,0
321,0,1
322,2147485587,0
323,0,1
324,0,1
325,1283737158,1
326,0,0
327,2420932864,0
328,339775560,0
329,4178491394,1
330,672294980,0
331,0,1
332,0,1
333,0,1
334,555783456,0
335,0,0
336,0,0
337,0,1
338,1428835840,0
339,402702848,1
340,0,1
341,0,1
342,1116996624,0
343,0,0
344,0,0
345,0,1
346,0,0
347,0,1
348,3257936954,1
349,1078662537,1
350,0,0
351,0,0
352,1651245204,0
353,0,1
354,0,0
355,3768647688,1
356,478826632,1
357,2444804610,1
358,1377962240,0
359,0,0
360,0,0
361,0,1
362,0,0
363,1371013509,1
364,80298291,1
365,0,1
