lane,initial_word,initial_q,jitter,j,k,north,axis,kinematic,blend_known,dr,dp,alpha,interval,profile,axis_known,frame_known,increment_known
0,3520576695,0,1196904221,0,0,0,0,0,0,0,0,1.125,0.125,0,1,1,1
1,4167082327,0,106282885,1,0,1,0,0,1,0,1,-0.5,0.125,1,1,1,1
2,1194013013,0,1183710753,0,1,0,1,0,1,-1,0,-1.75,0.125,0,1,1,1
3,2566903041,0,850355603,1,1,1,1,0,1,0.75,1.375,-0.125,0.125,1,1,1,1
4,3697919451,1,2624827800,0,0,0,0,1,1,-3.625,-2.5,0.25,0.125,0,0,1,1
5,3660597826,1,4036233495,1,0,1,0,1,1,0.75,-2.625,0.125,0.125,1,1,0,1
6,3970021357,1,3343327732,0,1,0,1,1,1,0.125,-1.75,0.25,0.125,0,1,1,0
7,3332785441,1,2485341042,1,1,1,1,1,1,2.75,-3.25,-1.5,0,1,1,1,1
8,112000500,0,741351914,0,0,0,0,0,1,0.125,-2,-1.75,0.125,0,1,1,1
9,1417148601,0,3332968970,1,0,1,0,0,1,-3.25,-2.5,-1.375,0.125,1,1,1,1
10,2357977589,0,2016320711,0,1,0,1,0,1,0.5,0.875,-1.25,0.125,0,1,1,1
11,114723419,0,2413096684,1,1,1,1,0,1,0.375,1.375,0,0.125,1,1,1,1
12,3914172007,1,3245939598,0,0,0,0,1,1,-0.875,-3,-0.75,0.125,0,1,1,1
13,4234521976,1,3870797453,1,0,1,0,1,1,-1.25,2.375,-0.625,0.125,1,1,1,1
14,216056823,1,501854556,0,1,0,1,1,1,-1.125,-0.125,-1,0.125,0,1,1,1
15,3226975607,1,1364332685,1,1,1,1,1,1,3.5,-0.625,-1.75,0.125,1,1,1,1
16,4245909147,0,3593655207,0,0,0,0,0,1,0,-3.125,1.875,0.125,0,1,1,1
17,1895489116,0,1558104543,1,0,1,0,0,1,-3.125,-0.375,0,0.125,1,1,1,1
18,3382499973,0,2767350389,0,1,0,1,0,1,3.625,1,0.875,0.125,0,1,1,1
19,1782476287,0,1954444170,1,1,1,1,0,1,-1.75,2.5,1.375,0.125,1,1,1,1
20,1831257867,1,618305770,0,0,0,0,1,1,-0.875,2.875,-1.5,0.125,0,1,1,1
21,2720854686,1,286405778,1,0,1,0,1,1,-3.75,-2.25,-0.125,0.125,1,1,1,1
22,2468357152,1,2397126800,0,1,0,1,1,1,3.375,1,0.625,0.125,0,1,1,1
23,2768648197,1,740364751,1,1,1,1,1,1,3.75,-2.125,-0.5,0.125,1,1,1,1
24,4096148795,0,2025998601,0,0,0,0,0,1,-3.625,3,1.75,0.125,0,1,1,1
25,1177047536,0,4011972931,1,0,1,0,0,1,-3.75,-3.25,1.5,0.125,1,1,1,1
26,3498994168,0,2830590088,0,1,0,1,0,1,-3.375,0.375,1.875,0.125,0,1,1,1
27,1008839783,0,1953016767,1,1,1,1,0,1,-2,-3.875,-0.375,0.125,1,1,1,1
28,2561210929,1,2114839131,0,0,0,0,1,1,3.75,0.375,-0.25,0.125,0,1,1,1
29,1549420989,1,777114543,1,0,1,0,1,1,0,0,-0.875,0.125,1,1,1,1
30,1847203413,1,595544125,0,1,0,1,1,1,0,1,0.125,0.125,0,1,1,1
31,3388642649,1,2085501036,1,1,1,1,1,0,-1,0,1.75,0.125,1,1,1,1
32,707529788,0,3255823522,0,0,0,0,0,1,-0.5,1.25,-1,0.125,0,1,1,1
33,2704644259,0,2360111837,1,0,1,0,0,1,3.625,2.375,1.5,0.125,1,1,1,1
34,2254450802,0,1534263606,0,1,0,1,0,1,3.125,-2.125,-0.25,0.125,0,1,1,1
35,1858770259,0,1225809204,1,1,1,1,0,1,2.75,0.875,-0.25,0.125,1,1,1,1
36,1664511955,1,1520604290,0,0,0,0,1,1,-1,0.5,-0.25,0.125,0,1,1,1
37,71542365,1,4115079507,1,0,1,0,1,1,-2.75,0,1.625,0.125,1,1,1,1
38,505542796,1,747902244,0,1,0,1,1,1,-0.25,-2.375,-1.875,0.125,0,1,1,1
39,3293742088,1,3590945897,1,1,1,1,1,1,-1,-2.875,1.5,0.125,1,1,1,1
40,2399535528,0,507683505,0,0,0,0,0,1,-2.375,-1.625,1.875,0.125,0,1,1,1
41,3959918557,0,920031502,1,0,1,0,0,1,-3.25,2.375,-1.75,0.125,1,1,1,1
42,2907619008,0,2235153014,0,1,0,1,0,1,3.125,3.5,-0.25,0.125,0,1,1,1
43,2728639459,0,2568267329,1,1,1,1,0,1,2.375,-2.5,-0.75,0.125,1,1,1,1
44,3829195815,1,1572752178,0,0,0,0,1,1,0,3.375,1.5,0.125,0,1,1,1
45,2093835608,1,1498235985,1,0,1,0,1,1,1.875,-1.75,-1.375,0.125,1,1,1,1
46,3709126996,1,1018246467,0,1,0,1,1,1,-3.5,0.75,1,0.125,0,1,1,1
47,3720341967,1,573177798,1,1,1,1,1,1,3.125,2,-0.625,0.125,1,1,1,1
48,672530693,0,242265072,0,0,0,0,0,1,2.625,1,1.375,0.125,0,1,1,1
49,4176213738,0,2822915557,1,0,1,0,0,1,2.75,1.5,-1.875,0.125,1,1,1,1
50,2001473823,0,1303214477,0,1,0,1,0,1,-3.5,-1.5,0.5,0.125,0,1,1,1
51,1890832254,0,2001031989,1,1,1,1,0,1,-1.5,0.25,-0.375,0.125,1,1,1,1
52,1280130282,1,456852192,0,0,0,0,1,1,-2.25,3.125,-0.5,0.125,0,1,1,1
53,3663700220,1,1879801735,1,0,1,0,1,1,-1.375,0.875,-1.5,0.125,1,1,1,1
54,3773610783,1,2202597,0,1,0,1,1,1,2.875,2.875,-1.5,0.125,0,1,1,1
55,2480830643,1,4187108290,1,1,1,1,1,1,0,-0.75,1.25,0.125,1,1,1,1
56,2090660760,0,3563080025,0,0,0,0,0,1,-3.875,-2.25,1.75,0.125,0,1,1,1
57,921708098,0,771678139,1,0,1,0,0,1,1.75,-0.375,-0.75,0.125,1,1,1,1
58,793798425,0,980973776,0,1,0,1,0,1,0,0,0.375,0.125,0,1,1,1
59,2202235807,0,2209138314,1,1,1,1,0,1,0,1,-1.875,0.125,1,1,1,1
60,3281893314,1,2726711254,0,0,0,0,1,1,-1,0,0.25,0.125,0,1,1,1
61,3538949566,1,4063202475,1,0,1,0,1,1,-1.75,-2.875,-1.875,0.125,1,1,1,1
62,942478124,1,1690470910,0,1,0,1,1,0,0.375,-1,0.375,0.125,0,1,1,1
63,2084815205,1,3073053010,1,1,1,1,1,1,1.5,-0.75,0.25,0.125,1,1,1,1
64,3342083724,0,2341902241,0,0,0,0,0,1,-2.875,2.125,0.5,0.125,0,1,1,1
65,1437578181,0,1702736784,1,0,1,0,0,1,-1.125,2.25,0.375,0.125,1,1,1,1
66,2374829522,0,3878782387,0,1,0,1,0,1,2.375,1.25,-0.875,0.125,0,1,1,1
67,2051144193,0,705980485,1,1,1,1,0,1,-2.625,3.625,-1.125,0.125,1,1,1,1
68,2187899341,1,2304295341,0,0,0,0,1,1,-3.25,0.625,-0.125,0.125,0,1,1,1
69,3001248568,1,608574354,1,0,1,0,1,1,1.625,2.125,-1,0.125,1,1,1,1
70,1499574088,1,300094757,0,1,0,1,1,1,-2,-2.375,0.75,0.125,0,1,1,1
71,2486493788,1,2081583757,1,1,1,1,1,1,3.5,1.125,0.625,0.125,1,1,1,1
72,4253476374,0,4211892755,0,0,0,0,0,1,-2.25,-0.625,1.125,0.125,0,1,1,1
73,1886090638,0,1563967635,1,0,1,0,0,1,1,3,-0.5,0.125,1,1,1,1
74,2578225412,0,916642120,0,1,0,1,0,1,3.625,-1.5,1.625,0.125,0,1,1,1
75,1585691238,0,872462520,1,1,1,1,0,1,-0.25,1.875,1,0.125,1,1,1,1
76,1230746699,1,1660931184,0,0,0,0,1,1,-1,-0.5,-1.75,0.125,0,1,1,1
77,1796289583,1,984506225,1,0,1,0,1,1,-1.625,1,1.375,0.125,1,1,1,1
78,871288122,1,149848117,0,1,0,1,1,1,-1.25,2.75,-1.75,0.125,0,1,1,1
79,416796753,1,3794422387,1,1,1,1,1,1,-3.375,0.625,-1,0.125,1,1,1,1
80,2496133815,0,2688936999,0,0,0,0,0,1,2.625,-3.375,1.375,0.125,0,1,1,1
81,187688579,0,2179775125,1,0,1,0,0,1,1.375,3,-1,0.125,1,1,1,1
82,2531123974,0,2444009956,0,1,0,1,0,1,3.875,1,0.25,0.125,0,1,1,1
83,4253480967,0,3611053467,1,1,1,1,0,1,0.75,-3.125,0.625,0.125,1,1,1,1
84,3443241026,1,1495782284,0,0,0,0,1,1,0.875,-3,0.125,0.125,0,1,1,1
85,2809848325,1,3202524299,1,0,1,0,1,1,2.875,-3.375,-1.75,0.125,1,1,1,1
86,2961821110,1,1257000564,0,1,0,1,1,1,-2.875,-3,1.625,0.125,0,1,1,1
87,1389481452,1,48066397,1,1,1,1,1,1,0,0,-1.625,0.125,1,1,1,1
88,903718804,0,2407512142,0,0,0,0,0,1,0,1,1.125,0.125,0,1,1,1
89,2822257153,0,2924921760,1,0,1,0,0,1,-1,0,0.75,0.125,1,1,1,1
90,3476640477,0,2815787382,0,1,0,1,0,1,2.625,3.625,0.5,0.125,0,1,1,1
91,83284281,0,280911713,1,1,1,1,0,1,-0.5,2.375,1.375,0.125,1,1,1,1
92,1457218565,1,139655210,0,0,0,0,1,1,3.625,-0.375,0.125,0.125,0,1,1,1
93,2784098163,1,3469784277,1,0,1,0,1,0,-1.5,0.25,1.625,0.125,1,1,1,1
94,1598087254,1,1527102444,0,1,0,1,1,1,1.375,3.5,1.25,0.125,0,1,1,1
95,2809228999,1,3914098064,1,1,1,1,1,1,0,0,0.125,0.125,1,1,1,1
96,1830187361,0,372840739,0,0,0,0,0,1,-3.75,2.5,-0.25,0.125,0,1,1,1
97,3595189528,0,2093808633,1,0,1,0,0,1,0.625,-1.25,0.875,0.125,1,1,1,1
98,2682414447,0,1238443947,0,1,0,1,0,1,-2.625,2.375,-1.875,0.125,0,1,1,1
99,554016156,0,4065692121,1,1,1,1,0,1,1.125,1.625,-0.125,0.125,1,1,1,1
100,4262104697,1,3678923139,0,0,0,0,1,1,1.125,3.25,-0.625,0.125,0,1,1,1
101,2811281041,1,1456956233,1,0,1,0,1,1,-0.375,-1.875,0.5,0.125,1,0,1,1
102,1926338452,1,2209770359,0,1,0,1,1,1,1,1.625,-0.625,0.125,0,1,0,1
103,1147358741,1,819748832,1,1,1,1,1,1,3.75,-0.125,-1.125,0.125,1,1,1,0
104,2255487712,0,3642127308,0,0,0,0,0,1,-2.625,-0.875,0.125,0,0,1,1,1
105,2358631767,0,1249675449,1,0,1,0,0,1,3.875,0.625,0,0.125,1,1,1,1
106,3925154313,0,2311364197,0,1,0,1,0,1,1.25,1.625,0.875,0.125,0,1,1,1
107,3216584355,0,2371355616,1,1,1,1,0,1,1.125,3,-1.125,0.125,1,1,1,1
108,3919907397,1,2471743028,0,0,0,0,1,1,2,3.875,0.25,0.125,0,1,1,1
109,3531738752,1,3825612349,1,0,1,0,1,1,1.75,-2.5,1.25,0.125,1,1,1,1
110,2975272832,1,2128977205,0,1,0,1,1,1,-1.125,2.625,0.875,0.125,0,1,1,1
111,3420224951,1,1376555334,1,1,1,1,1,1,-2.125,-2,1.5,0.125,1,1,1,1
112,511273496,0,629253481,0,0,0,0,0,1,-3.25,2.375,1.25,0.125,0,1,1,1
113,3190813133,0,3948570159,1,0,1,0,0,1,-0.5,-2.5,1.75,0.125,1,1,1,1
